timestamp,sn,text,EST
2017-07-17 00:46:31,Financeolizer,Trump lashes out as new poll finds record low approval rating #President #DonaldTrump https://t.co/VUxIgwCvI3 https://t.co/rCBt3O9HL7,2017-07-16 19:46:31
2017-07-17 00:46:30,MrScavellz,Trump still hasn't acknowledged McCain having surgery but he has found plenty of time to tweet about himself &amp; insult the media #DonaldTrump,2017-07-16 19:46:30
2017-07-17 00:46:19,dp42049,"RT @ShirlsAdams: @20thgrader @20committee @lulu_lemew My gawd, #DonaldTrump was talking about Russia when he wrote this tweet in 2013!",2017-07-16 19:46:19
2017-07-17 00:46:10,KingOfTerror201,Younus AlGohar's Solution to #Terrorism https://t.co/lE1dwkin0E #Daesh #ISIS ##BokoHaram #Taliban #AlNusra #AlQaeda #DonaldTrump,2017-07-16 19:46:10
2017-07-17 00:46:00,SubiksaS,"RT @Timesolizer: #Russia, others intervened in US #presidentialelection: #DonaldTrump - #TimesofIndia... https://t.co/T2yeifV36J https://t.…",2017-07-16 19:46:00
2017-07-17 00:45:29,roldandin,Reebok schools us (I'm belong polite).  #donaldtrump #covfefe #macron #reebok #youreinsuchgoodshape https://t.co/8QrfCXHBzQ,2017-07-16 19:45:29
2017-07-17 00:45:14,artistproco,#DonaldTrump te desafía a vencerlo en su nuevo juego par Android. Descargalo Gratis https://t.co/6b6fxysW9G https://t.co/bHr2SKQ22n,2017-07-16 19:45:14
2017-07-17 00:45:11,socialcompleta,"Estás en desacuerdo con #DonaldTrump ? Derrotalo ahora, https://t.co/tVzceEV7E7 #MobileGame #AndroidGame #TrumpGame https://t.co/FwGwEzmwnJ",2017-07-16 19:45:11
2017-07-17 00:43:59,liltrumpcomic,Leaked conversations with Jane and Bernie sander with trump #BernieSanders #DonaldTrump #AmericaFirst… https://t.co/B68uSfOk8a,2017-07-16 19:43:59
2017-07-17 00:43:29,earaliehs,RT @rafshmatko: Donald Trump is the heart of America #Trump #DonaldTrump #MAGA #USA #TrumpTrain #Art #World #ArtForTrump https://t.co/KfCDx…,2017-07-16 19:43:29
2017-07-17 00:42:03,Caplea44,#donaldtrump @realDonaldTrump : Poll Showing My Approval Rating At 70-Year Historic Low Is ‘Not Bad’ https://t.co/FeuD9PqNce via @TPM,2017-07-16 19:42:03
2017-07-17 00:41:28,Kashif_Noor_MHD,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:28
2017-07-17 00:41:28,1rizwan_shoukat,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:28
2017-07-17 00:41:27,FaisalBashir_pk,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:27
2017-07-17 00:41:26,Rehman_ali0,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:26
2017-07-17 00:41:25,Haashir_Ali,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:25
2017-07-17 00:41:25,KartikGohar,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:25
2017-07-17 00:41:24,Yasirali093,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:24
2017-07-17 00:41:23,Sameer_Shakir1,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:23
2017-07-17 00:41:23,Shahzad_Ikram1,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:23
2017-07-17 00:41:22,waseemeawan77,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:22
2017-07-17 00:41:21,Awais_Khan_pk,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:21
2017-07-17 00:41:21,Murtaza_ali_CA,RT @rafu007: The Mischief of the Pseudo #Muslims https://t.co/aHrad9F7Hd #ISIS #Taliban #BokoHaram #AlShabab #AlQaeda #AlNusra #DonaldTrump…,2017-07-16 19:41:21
2017-07-17 00:41:13,PoliticsVillage,"1 year ago yesterday, #DonaldTrump announced #MikePence as his running mate--now he's Vice President and possibly t… https://t.co/2jqdQ9kjBZ",2017-07-16 19:41:13
2017-07-17 00:41:10,Jeff81442228,#MAGA #makeamericagreatagain #AmericaFirst #trumptrain #Trumprussia #DonaldTrumpJr #DonaldTrump #ccot #fakenews… https://t.co/vSfW1oC5t5,2017-07-16 19:41:10
2017-07-17 00:40:46,ocanannain,"RT @JamesReader_RP: #DonaldTrump’s Sunday Tweet About His Approval Rating is Complete, Total, Delusional Horseshit &gt;&gt;https://t.co/EPYVjn34Z…",2017-07-16 19:40:46
2017-07-17 00:40:08,LocksmithUnited,How To Stay Safe At A Donald Trump Rally https://t.co/RhrkYY112E #Safety #Rally #DonaldTrump #POTUS,2017-07-16 19:40:08
2017-07-17 00:40:06,DTRUMP_Fans,Trump's lawyer insists nothing 'nefarious' in Trump Jr. Russia meeting - Washington Post https://t.co/D94M8Aflea… https://t.co/2KNsdGidL8,2017-07-16 19:40:06
2017-07-17 00:40:01,TheAVHub,"Man is a military animal, glories in gunpowder, and loves parade. - #DonaldTrump",2017-07-16 19:40:01
2017-07-17 00:39:57,mromero08151,RT @amjoyshow: Now on #AMJoy... #DonaldTrump's personal attorney Jay Sekulow going on ALL FIVE #SundayMorning political shows. Thoughts #re…,2017-07-16 19:39:57
2017-07-17 00:39:17,Pollizer,"Fox News Just Shared A Poll That Trump Is Going To HATE, Meltdown Inevitable (TWEET) #foxnews #DonaldTrump https://t.co/YveSnppex5",2017-07-16 19:39:17
2017-07-17 00:38:59,YMcglaun,"RT @WashTimes: #DonaldTrump names #TyCobb as White House special counsel in light of ongoing #Russian investigation. #russiameeting
https:/…",2017-07-16 19:38:59
2017-07-17 00:38:57,RashidGohar1,The #Wahhabi Mind-Set https://t.co/kZIbQA4R2y #Wahhabism #Salafism #SaudiArabia #ISIS #Taliban #BokoHaram #AlShabab #DonaldTrump,2017-07-16 19:38:57
2017-07-17 00:38:37,Chris19702,RT @Jeff81442228: Another great thread by @ThomasWictor #AmericaFirst #trumptrain #Trumprussia #DonaldTrumpJr #DonaldTrump #ccot #russiagat…,2017-07-16 19:38:37
