timestamp;sn;text
2017-01-26 22:41:16;algore;Today we face a challenging political climate, but climate shouldn’t be a political issue https://t.co/pHCgPXoRrB
2017-01-26 21:01:19;algore;"We will host Climate &amp; Health Meeting to fill gap left by canceled CDC summit. https://t.co/qQR2UWxyMW"
2017-01-24 15:40:33;algore;We're gathering experts and leaders to help solve the climate crisis. Join me for our next @ClimateReality training… https://t.co/5fO0ADC64c
2017-01-23 21:00:34;algore;US Senators who care about solving the climate crisis should oppose Tillerson today.
2017-01-23 16:29:06;algore;We can, we must, and we will solve the climate crisis. I hope you join me in Colorado March 2 – 4:… https://t.co/nwl60XAPae
2017-01-23 01:35:38;algore;Now more than ever, we need people like you to #LeadOnClimate. Join me and @ClimateReality in Denver this March… https://t.co/Ry0BrhOwVi
2017-01-22 22:02:55;algore;"RT @sundancefest: LIVE NOW - #PowerOfStory: #TheNewClimate w/ @jeffskoll, @DavidSuzuki, @MohamedNasheed, @heather_rae22, &amp; Amy Goodman http…"
2017-01-21 23:25:20;algore;It's great to be here @sundancefest premiering @aitruthfilm! Learn more here: https://t.co/HBwM5gJuT7 #TruthtoPower
2017-01-21 03:44:40;algore;"Excited about premiering @aitruthfilm @sundancefest &amp; look forward to its release in theaters July 28! https://t.co/HBwM5gJuT7 #TruthtoPower"
2017-01-20 21:47:37;algore;RT @aitruthfilm: Watch the first official clip from An Inconvenient Sequel: Truth To Power. In theaters July 28th. #TruthToPower https://t.…
2017-01-20 16:24:07;algore;Had a great time at @aitruthfilm's @sundancefest premiere! Excited to show it to a new audience today! https://t.co/HBwM5gJuT7 #truthtopower
2017-01-20 02:40:29;algore;Thank you to everyone who attended the @aitruthfilm premiere. https://t.co/HBwM5gJuT7 #TruthToPower
2017-01-20 02:38:57;algore;"RT @aitruthfilm: LIVE: Join @AlGore for a live Q&amp;A from the premiere of An Inconvenient Sequel: Truth to Power. https://t.co/0jblgzv2PR #Tr…"
2017-01-20 02:38:12;algore;"RT @ParamountPics: Tune-in now for a LIVE Q&amp;A with @AlGore and filmmakers of An Inconvenient Sequel: Truth to Power. https://t.co/k4xYmt3fk…"
2017-01-18 21:47:15;algore;Only one more day until the @aitruthfilm world premiere at @SundanceFest. #TruthToPower https://t.co/HBwM5gJuT7 https://t.co/HVevaIrqNY
2017-01-18 21:03:42;algore;In-depth coverage by @JustinHGillis of this new record here: https://t.co/AEjAbDXCpT
2017-01-18 20:07:49;algore;I’m excited to be heading to Denver to train new @ClimateReality Leaders this March. Join me:… https://t.co/ruW6kTFcj1
2017-01-18 17:48:37;algore;"Thank you @TomWheelerFCC for your service as @FCC chair &amp; upholding the agency's goals, which are vital for a fair democracy."
2017-01-18 15:44:58;algore;"2016 was the hottest year on record: confirmed by @NASA &amp; @NOAA"
2017-01-18 15:30:58;algore;Excited to see my good friend @jmeacham has a new column in the @nytimes. Read his most recent article here: https://t.co/4PoYI7bik2
2017-01-10 16:12:19;algore;RT @tim_cook: Proud to lead the @Greenpeace clean energy report for the third year in a row. https://t.co/GlCj8QKf5B
2017-01-06 20:53:46;algore;In 2016 UK generated more electricity from wind than from the burning of coal! https://t.co/pIpgB3ogf0
2017-01-05 18:37:43;algore;Putting their money where their #ParisAgreement commitment is, China will invest $361billion in renewables by 2020! https://t.co/HGSd7yIDDx
2017-01-03 02:28:30;algore;Solar power is on track to be the cheapest source of energy on earth! In a growing number of places, it already is. https://t.co/6Mw9uLQbaD
2016-12-31 22:55:28;algore;"Capturing an inspiring moment with deep historical resonance; this picture is one of my favorites from 2016! https://t.co/XX1D7WGZw0"
2016-12-20 22:58:08;algore;keeping us on a path toward a sustainable future https://t.co/rlWasZMlu4 (2/2)
