timestamp;sn;text
2017-01-31 21:06:57;AmandaRenteria;Yup, agree, so Garland should be voted in.  https://t.co/g8PEHrxXfx
2017-01-31 13:28:23;AmandaRenteria;RT @SteveKopack: INBOX: Oprah Winfrey Becomes a Special Contributor to 60 Minutes https://t.co/h0y5r9pEeH
2017-01-31 13:28:01;AmandaRenteria;https://t.co/OnqaT9dGAu
2017-01-31 13:09:13;AmandaRenteria;RT @clairecmc: This is the former Communications Director for Reagan. I would add ....and making us less safe. https://t.co/7pBsK04azD
2017-01-31 13:07:05;AmandaRenteria;RT @keithellison: It's not just that @realdonaldtrump fired the Attorney General. It's that he fired her for refusing to violate the Consti…
2017-01-31 13:06:02;AmandaRenteria;"RT @nicallyss: ""Mentoring is the seeds we plant."" -Rev. Jesse Jackson.   #CaresGala17 #CARESGALA17 https://t.co/jTHdriWV3A"
2017-01-31 13:05:37;AmandaRenteria;I think Nixon would be offended reading this. And, I believe we r going 2 wish 4 Nixon as we see more of this Pres.  https://t.co/vDQsbRchyl
2017-01-31 12:58:17;AmandaRenteria;How about after Garland goes through? https://t.co/GvXtFhXuzu
2017-01-31 06:44:45;AmandaRenteria;"RT @PattyMurray: We should all find strength &amp; resolve in the many thousands of people standing up to say, this is our country too. https:/…"
2017-01-31 06:43:37;AmandaRenteria;All these women leading by speaking out ....go!  https://t.co/9sxeFWgG25
2017-01-30 23:49:19;AmandaRenteria;Voices from diff sectors are coming together as one.  https://t.co/0tsCUbfP8e
2017-01-30 23:48:10;AmandaRenteria;RT @AP: BREAKING: Acting attorney general says Justice Department, under her watch, will not defend refugee executive order in court.
2017-01-30 23:04:09;AmandaRenteria;This is what democracy looks like.  https://t.co/9U95tv5Png
2017-01-30 23:03:04;AmandaRenteria;Thank you for stepping up to help others. Thank you for role modeling.  https://t.co/86ayJPIT0u
2017-01-30 23:00:15;AmandaRenteria;You got this. You are genuine public servants. https://t.co/8iX1IVxOKl
2017-01-30 22:35:47;AmandaRenteria;Must not stop. Thank you @RepDanKildee  https://t.co/MHUh4Os6JE
2017-01-30 22:34:44;AmandaRenteria;RT @SenSchumer: Our greatest weapon will always be our values. That’s what makes us strong. #NoBanNoWall #MuslimBan
2017-01-30 20:19:35;AmandaRenteria;"RT @Vegalteno: After tough weekend of health challenges, @realDonaldTrump cruel #MuslimBan &amp; escalating anger/frustration, I will only do g…"
2017-01-30 20:17:17;AmandaRenteria;Here's a way to get involved. Apply now! https://t.co/fYK046833Y
2017-01-30 15:46:02;AmandaRenteria;RT @RepKarenBass: Here at LAX --- Thousands protesting to stop the bigotry! End the Muslim Ban!
