timestamp;sn;text
2017-01-30 20:31:45;AndraDayMusic;RT @PopCrush: .@DemiLovato, @NickJonas, @AndraDayMusic, @PTXofficial and more will perform at a Bee Gees tribute: https://t.co/aVNpeu3ORP h…
2017-01-24 19:56:44;AndraDayMusic;"Andra Day is performing at @CTJazzFest on Saturday, April 1st. #CTIJF2017

Tickets ➜ https://t.co/8GOBHBrqGh https://t.co/2wcNc5LuBE"
2017-01-21 23:57:44;AndraDayMusic;"RT @sundancefest: LIVE STREAM ALERT, 7:00p MT: A Celebration of Music &amp; Film. Live music &amp; readings on free speech, diversity &amp; art https:/…"
2017-01-21 22:14:18;AndraDayMusic;"RT @sundancefestnow: 7p, Festival Base Camp: @common, @AndraDayMusic, @HunterHayes, @jimjames (of @mymorningjacket), &amp; more https://t.co/5t…"
2017-01-19 03:14:34;AndraDayMusic;"Please go to iTunes and support my brother Nando Raio and his deeply personal project. ""Something Beyond Knowing"" ➜… https://t.co/O9ken0TDWO"
2017-01-18 23:40:08;AndraDayMusic;RT @MrsMacSYE: Culminating our MLK Jr study with @mavisstaples, @AndraDayMusic, and @TheBonnieRaitt. You have 17 new fans. https://t.co/x9Z…
2017-01-17 19:44:29;AndraDayMusic;"Rise Up ❤️
➜ https://t.co/bBsNrqDUoN
📷 @masklab https://t.co/LwC0HB03go"
2017-01-16 19:22:02;AndraDayMusic;RT @sounddiego: The nominees for this year's @SDMusicAwards are announced, including @AndraDayMusic + @blink182. Read the full list: https:…
2017-01-13 20:38:25;AndraDayMusic;RT @ShantiDas404: #SilenceTheShame is truly humbled and honored to have the amazing songstress @andradaymusic on board as supporter! #Menta…
2017-01-11 20:10:17;AndraDayMusic;"When We Rise Official Trailer. @ABCNetwork 
https://t.co/ydVe78Z4rP"
2017-01-11 00:41:54;AndraDayMusic;RT @jazzgardens: We invite you to the #JITG20172017 located in the beautiful @CityofMiaGarden, March 18 -19!  https://t.co/SMqKiFOq8U https…
2017-01-10 05:50:53;AndraDayMusic;"RT @Beats1: It's @eltonofficial's Best of #RocketHour
with tracks by @QueensChristine, @GregoryPorter &amp; @AndraDayMusic.
https://t.co/rAPwDb…"
2017-01-09 20:48:12;AndraDayMusic;"Andra Day is playing @BottleRockNapa on Saturday, May 27th. 
Single Day Passes go on sale tomorrow at 10am PST.… https://t.co/jiLJxmEXoi"
