timestamp;sn;text
2017-01-31 04:24:07;AndrewJenks;"On Amazon and iTunes for now. 
I'll buy back the show one day and make it available for free. 1 love. https://t.co/9ko6LmBo3g"
2017-01-30 06:09:52;AndrewJenks;I've worked with, supported, and made docs on homeless + vets and have time to care about all people. Not pathetic.… https://t.co/m7WbPpNGXE
2017-01-30 02:56:21;AndrewJenks;And Trump will take credit for it. https://t.co/IgC30tX16Q
2017-01-29 03:25:41;AndrewJenks;"""media only cares about degrading Trump""? So ur standing up for white guys like us? Because we have it so though? P… https://t.co/JZQ7Djal7h"
2017-01-29 03:18:06;AndrewJenks;"""cool"" is sticking up for women &amp; loving Muslims. If u feel so bad for Melania, u should meet the female refugees I… https://t.co/8Lnwc1csPG"
2017-01-29 02:39:21;AndrewJenks;Damn right, kid. I got your back. https://t.co/3lgrV2CRv5
2017-01-29 02:37:42;AndrewJenks;Let's make America...America again. https://t.co/lV7P1hNTYH
2017-01-22 21:08:13;AndrewJenks;Trump could never love strong women. He wouldn't know what to do. @ New Orleans, Louisiana https://t.co/XjCKELw8rg
2017-01-16 20:53:17;AndrewJenks;He won't. But he controls another day of news cycle. He is always negotiating for attention. Media falls for it, he… https://t.co/OwNxOmeW1f
2017-01-15 15:58:31;AndrewJenks;"It sucks but ""fake news"" isn't a new phenomena. Read an American history textbook."
2017-01-15 13:22:36;AndrewJenks;Celebs attending inauguration, Trump's tweets, a wall...and no debate about education. The obsolete SAT tests, the broken schools. Nothing.
2017-01-02 23:32:41;AndrewJenks;Empathy always sounds good to me. 😎 https://t.co/1F2CGZZLHj
2017-01-02 23:32:01;AndrewJenks;And you as well. Have a great new year. We can all work on the endless judging and cynicism! https://t.co/hAt8HhkUN6
2017-01-02 23:26:32;AndrewJenks;iTunes! Thank you. Very nice. https://t.co/yrjeco9hOi
2016-12-28 15:31:22;AndrewJenks;i started a documentary film camp with my boys @HSFilmFest - its this summer - lets do it...https://t.co/T5QehaR6FG
2016-12-20 02:07:40;AndrewJenks;Happy B-Day to my best friend. Ur favorite cologne is in the mail. #autism #BFF #AbercrombieAndFitch https://t.co/tese9Jn1Ff
2016-12-08 21:53:22;AndrewJenks;@CalliJansen be back soon! On iTunes in meantime. Much love. #Room335 my summer stay in a nursing home
2016-12-08 00:29:41;AndrewJenks;"Just left Kaylin's funeral in Sacramento. Let's all inspire &amp; love each other, just as Kaylin did for so many. https://t.co/7BfI1LtV3S"
2016-12-02 02:32:49;AndrewJenks;RT @WilliKilliams: This is heartbreaking but Kaylin definitely lived her life to the fullest, she was truly an inspiration https://t.co/Ao6…
2016-12-02 02:27:01;AndrewJenks;"RT @docReiner: So sad to hear. She radiated with passion &amp; compassion in what we saw. https://t.co/b8nkouyvVo"
2016-12-02 02:26:48;AndrewJenks;"RT @KrystolReyes_: Wow, I remember watching her story on your show a few years back. So inspirational &amp; such a lovely woman. https://t.co/O…"
2016-12-02 02:26:03;AndrewJenks;You clearly know how to make risky but fantastic decisions. https://t.co/yTeyFWlv3g
2016-12-02 02:23:50;AndrewJenks;"RT @karissasweird: Watched @AndrewJenks new doc ""It's Not Over"" on Netflix-a moving, empathetic portrait into HIV today to spread #HIVaware…"
2016-11-30 15:39:31;AndrewJenks;"@lizeswein do what tony does -&gt; https://t.co/udmNy9v9SL"
2016-11-28 15:51:09;AndrewJenks;Changed all of ours! Thanks for watching. Still available on iTunes and Amazon. https://t.co/q6YweW4n4d
2016-11-28 15:50:31;AndrewJenks;Hahaha. Amazing. https://t.co/4ukF52p0eI
