timestamp;sn;text
2017-01-22 18:07:02;BarackObama;I read letters like these every single day. It was one of the best parts of the job – hearing from you. https://t.co/so1luBcszV
2017-01-20 21:17:01;BarackObama;RT @ObamaFoundation: Add your voice: https://t.co/mA9MSHmi7o https://t.co/Uf7oEvkZF3
2017-01-20 21:05:04;BarackObama;In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT
2017-01-20 21:04:08;BarackObama;Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we’ll get back to work.
2017-01-10 23:44:14;BarackObama;Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell
2016-11-05 16:31:13;BarackObama;"RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""

Watch the weekly address: https://t.co/Pfk…"
2016-11-05 15:38:53;BarackObama;In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx
2016-11-04 22:16:14;BarackObama;Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a
2016-11-04 18:25:16;BarackObama;The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro
2016-11-04 16:12:12;BarackObama;The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport
2016-11-03 21:02:36;BarackObama;There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered
2016-11-03 19:08:49;BarackObama;The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34
2016-11-03 17:22:00;BarackObama;RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before…
2016-11-02 18:22:43;BarackObama;Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU
