timestamp;sn;text
2017-02-01 03:08:32;BarbaraBoxer;SCOTUS anncmt is an effort to distract from the travesty Trump inflicted w/ the #MuslimBan. While we should speak out, let's not lose focus
2017-01-31 22:31:58;BarbaraBoxer;"Trump continues to follow in Nixon's footsteps, first attacking the press &amp; now firing acting AG for ""disobeying.""  https://t.co/VSqes5VQRN"
2017-01-31 20:44:12;BarbaraBoxer;I bet the only time Trump sheds a tear is when one of his businesses goes bankrupt.
2017-01-31 20:13:24;BarbaraBoxer;Empathy allows our elected leaders to be better public servants. Cold-hearted Trump instead attacks Schumer for caring.
2017-01-31 19:08:38;BarbaraBoxer;"The only ""huddled masses"" Trump seems to care about are the ones who visit his Trump Hotel."
2017-01-31 04:26:24;BarbaraBoxer;Thank God there are people who will follow the Constitution. We must all stand with her. #ThankYouSally https://t.co/9gzPV3gqg8
2017-01-30 18:23:53;BarbaraBoxer;Donald Trump, you have made it clear that hate is the driving force standing in the way of America being great.
2017-01-30 18:23:46;BarbaraBoxer;In 1st 7 days, Trump declared economic/political war on Mexico, Planned Parenthood, an Indian nation, sanctuary cities, press, immigrants.
2017-01-30 00:54:12;BarbaraBoxer;"RT @ValaAfshar: US tech companies founded by 1st/2nd generation immigrants 🇺🇸

Apple
Google
Facebook
Amazon
Oracle
IBM
Uber
Yahoo
EMC
eBay…"
2017-01-30 00:24:46;BarbaraBoxer;"As Trump dictates policy to turn away immigrants &amp; refugees, it's worth reminding that Steve Jobs’ father was a Syrian immigrant."
2017-01-29 23:11:09;BarbaraBoxer;"Trump should know how many American immigrants won Nobel Prizes &amp; founded successful businesses. Exclusion based on prejudice is un-American"
2017-01-29 22:26:09;BarbaraBoxer;Donald Trump, you have no understanding what makes America great: our openness to refugees who yearn for freedom and who love this country.
2017-01-28 00:58:45;BarbaraBoxer;Memorable quotes on Mexico. G.W. Bush: “Mexico is our neighbor and friend.” Obama: “Mexico is a critical partner.” Trump: “They’re rapists.”
2017-01-26 23:57:23;BarbaraBoxer;The last president to attack the press was Richard Nixon, and we all know what happened to him.
2017-01-26 23:55:09;BarbaraBoxer;"Saying the media should ""keep its mouth shut"" is dangerous and is an unprecedented attack on freedom of the press. https://t.co/oodrnkFwiz"
2017-01-26 17:49:30;BarbaraBoxer;"Is Trump going to make a citizens arrest of his daughter &amp; treasury sec nominee for being registered in two states? https://t.co/d4h8Acr6xX"
2017-01-26 16:22:25;BarbaraBoxer;President Trump, get over it. You lost the popular vote. Now if you call for a new election, I am with you!
2017-01-26 00:48:19;BarbaraBoxer;After Trump meets w/ victims of violence by undocumented, I trust he'll meet w/ victims' families of gun violence perpetrated by documented.
2017-01-25 23:52:29;BarbaraBoxer;A broken promise by Trump: he said Mexico will pay for the wall, but now the taxpayers are stuck with the bill. https://t.co/CvkeSqdDz3
2017-01-25 20:18:06;BarbaraBoxer;Proud to be part of a great panel on MSNBC about what's next after marches. We can't stop. It's our country. https://t.co/OoTRVWl0gx
2017-01-25 04:02:10;BarbaraBoxer;So pleased to be on a panel today talking about what's next after the march. https://t.co/tBNfn3Xpex
2017-01-24 22:39:21;BarbaraBoxer;"Trump signs exec order expediting environmental reviews: who's telling him the water we drink &amp; the air we breathe is too clean? No one."
2017-01-24 18:13:29;BarbaraBoxer;"Polluters &amp; climate change deniers back in charge: Trump ignores health &amp; safety by resurrecting #KeystoneXL &amp; #DAPL https://t.co/2QLDVf0F28"
2017-01-24 01:01:45;BarbaraBoxer;"There's no such things as ""alternative facts."" Alternative facts = lies, and we will interpret them as such. Period. https://t.co/HYCeQ1xywf"
2017-01-23 20:36:01;BarbaraBoxer;"U.S. politicians should not dictate health care decisions/access of women across the globe. #GlobalGagRule decision is dangerous &amp; shameful."
2017-01-21 18:59:30;BarbaraBoxer;We will defend our rights and the rights of our neighbors -- whatever their income, status, ethnicity and whomever they love. #WomensMarch
2017-01-21 18:57:51;BarbaraBoxer;This country is for all of us. One of us, even if he is president, is not going to take our freedoms away, our respect away. #WomensMarch
2017-01-20 18:00:23;BarbaraBoxer;"With our voices, a free press &amp; soon enough at the ballot box, we the people will hold you accountable, @realDonaldTrump. We won't go back."
2017-01-20 16:42:29;BarbaraBoxer;"Thank you, @BarackObama. Your legacy will live on for generations. I am deeply grateful for your service &amp; the opportunity to work with you."
2017-01-18 22:13:27;BarbaraBoxer;"I’m a proud product of public schools, from kindergarten to college. Public education isn't a dead end &amp; I’m shocked Betsy DeVos thinks so."
2017-01-18 16:24:08;BarbaraBoxer;Betsy DeVos wants to dismantle our public education system, one of the great institutions of our nation. America's children deserve better.
2017-01-12 20:22:34;BarbaraBoxer;"As record numbers sign up for Obamacare,  Repubs ignore the people &amp; in the middle of the night, push repeal w/ no replacement. Disgraceful."
