timestamp;sn;text
2017-02-01 02:22:15;SenSanders;Judge Gorsuch must explain his hostility to women's rights, support of corporations over workers and opposition to campaign finance reform.
2017-01-31 21:39:56;SenSanders;Is President Trump already selling out the American people and caving to the pharmaceutical industry? https://t.co/sXDO5G6tS2
2017-01-31 19:23:15;SenSanders;Not only will the repeal of the Affordable Care Act throw 20 million off health insurance. It will also cost nearly 1.2 million jobs.
2017-01-31 18:23:58;SenSanders;.@SenateMajLdr should understand that if he repeals the Affordable Care Act 56,000 people in his state of Kentucky… https://t.co/WeQw9Z7iaH
2017-01-31 17:17:51;SenSanders;We must strengthen public education in America, not destroy it. The U.S. Senate should not approve Betsy DeVos as s… https://t.co/iJYf2mIAzv
2017-01-31 16:39:58;SenSanders;Trump told the American people he would stand up to Pharma. Is he lying again or is he going to work with us? https://t.co/NGiFzvGWUv
2017-01-31 15:32:21;SenSanders;This country has always welcomed people into our nation. To tell Muslims they are not welcome runs absolutely contrary to American values.
2017-01-31 02:13:45;SenSanders;President Trump's Muslim ban is un-American, is unconstitutional and is going to make us less safe, not more safe. https://t.co/Mw4aDYrgam
2017-01-30 22:13:39;SenSanders;We're not going to shut up. We're going to resist. Stand with @SenateDems tonight at the Supreme Court. https://t.co/Ny57jNFcnt
2017-01-30 19:37:01;SenSanders;On virtually every major issue, Trump represents a minority of Americans. Our job now is to bring the majority together and fight back.
2017-01-30 18:07:01;SenSanders;Democracy means one person, one vote. It does not mean billionaires buying elections.
2017-01-30 18:03:02;SenSanders;You get one vote. The Koch brothers get one vote + the ability to spend $400 million to elect those who will represent the rich and powerful
2017-01-30 17:55:00;SenSanders;When Trump makes delusional statements about voter fraud, he's really saying he wants Republican governors to suppress voters more.
2017-01-30 16:19:45;SenSanders;We need experienced people who will protect our country on the National Security Council, not an extreme right-wing political operative.
2017-01-30 16:16:53;SenSanders;Steve Bannon sitting on the National Security Council is dangerous and unprecedented. He must be removed.
2017-01-29 18:32:35;SenSanders;Trump's executive order banning entry into the United States is an ugly stain on everything this country is suppose… https://t.co/qw1xG8YYAd
2017-01-29 01:30:28;SenSanders;This country has never been about one person or one president. It's about the millions of people who speak up and fight for justice.
2017-01-28 19:09:00;SenSanders;While we fight against Trump's hateful agenda, we must push forward a progressive vision demanding our government represents all of us.
2017-01-28 16:36:21;SenSanders;Demagogues survive by fostering hatred. We won't allow anyone to divide us up by our religion, country of origin or the color of our skin.
2017-01-28 16:33:02;SenSanders;Trump's anti-Muslim order plays into the hands of fanatics wishing to harm America. Love and compassion trump hatre… https://t.co/GTknkVjlAQ
2017-01-28 15:43:07;SenSanders;Puzder is perfect for Trump's cabinet. He's a billionaire, pays employees starvation wages and knows nothing about being Secretary of Labor.
2017-01-28 15:07:59;SenSanders;On almost every issue, Trump and Republicans ignore the views of the people while they follow the dictates of their campaign contributors.
2017-01-28 02:12:00;SenSanders;The attacks on abortion rights that we see now would not be happening if 80 percent of the U.S. Senate were women, not men.
2017-01-28 00:50:01;SenSanders;Goldman Sachs’ president gets a $285 million exit package but no top Wall Street exec has been prosecuted. That’s how a rigged system works.
2017-01-27 22:05:00;SenSanders;The American people know climate change is real and a threat to our planet. That’s why they want to aggressively move to sustainable energy.
2017-01-27 21:41:03;SenSanders;We don't need a Secretary of State whose company spent millions denying climate change and working to stop limits on carbon emissions.
2017-01-27 21:30:41;SenSanders;I will vote NO on the nomination of Rex Tillerson, one of the worst choices Trump has made for his cabinet, and he’s made many bad choices.
2017-01-27 21:22:01;SenSanders;When we fight for sane environmental policy it’s not only the right thing to do, it’s what a strong majority of Americans want us to do.
2017-01-27 19:53:05;SenSanders;What a shock. Despite Trump's assertions that he would stand up for working people, Goldman Sachs is running the th… https://t.co/zOHq2pIKDA
2017-01-27 15:36:50;SenSanders;"Science is science. There are no ""alternative facts."" A modern society cannot survive unless decisions are made on evidence-based research."
2017-01-27 14:44:37;SenSanders;Science is not Democratic or Republican, progressive or conservative. Congratulations to @ScienceMarchDC for fighting back.
2017-01-26 21:25:07;SenSanders;"Congratulations to the winners of the VT State of the Union Essay Contest: Quinn Mayo, Musa Mayange and AJ DeFelice
https://t.co/LViv3qHbC3"
2017-01-26 20:00:37;SenSanders;RT @SenWhitehouse: RT to tell Pruitt we won't accept his elusive answers. We need an @EPA head who’ll protect our health, not polluters htt…
2017-01-26 17:56:01;SenSanders;97% of scientists agree climate change is real and that it’s caused by human activity. Denying science is no longer an option. #climatefacts
2017-01-26 17:49:05;SenSanders;16 of the 17 warmest years on record have occurred since 2001. That’s not an alternative fact. That is the truth.… https://t.co/vQUuwJrMDz
2017-01-26 17:35:08;SenSanders;I will be voting against Betsy DeVos for Secretary of Education. We must strengthen public education in America, not destroy it.
2017-01-26 16:07:52;SenSanders;43,000 people could die each year if Republicans repeal the ACA. We will not allow thousands to die, while billionaires get huge tax breaks.
2017-01-25 22:55:50;SenSanders;Does Trump really want to tell our adversaries that if America does it they also have the right to torture captured American soldiers?
2017-01-25 22:50:28;SenSanders;Does Donald Trump really want to ignore the advice of U.S. military leaders who vigorously oppose torture? https://t.co/87GH1LkgrG
2017-01-25 22:43:52;SenSanders;Does Trump really want to lead this country into shame and barbarity? Congress and all Americans must defend our va… https://t.co/SlceXnMpGz
2017-01-25 21:55:23;SenSanders;Our diversity is one of our great strengths. We don’t need a wall. We need an immigration policy designed to unite families not divide them.
2017-01-25 20:56:56;SenSanders;Wednesday: 82,000 gallons of diesel fuel leak from the Magellan Pipeline in Worth County, Iowa.… https://t.co/XB1lCvAtY3
2017-01-25 19:58:47;SenSanders;Claims of voter fraud have no basis in reality. An analysis of more than a billion ballots found just 31 instances… https://t.co/HiTAunVmId
2017-01-25 15:45:23;SenSanders;Republicans talk about giving people choices. And yet they try to defund Planned Parenthood, where millions choose… https://t.co/QrP0RIOh3w
2017-01-25 12:58:16;SenSanders;Our job is to fight back, and do everything we can to protect American democracy from cowardly Republican governors and legislators.
2017-01-25 12:57:29;SenSanders;The great political crisis we face is not voter fraud, which barely exists. It's voter suppression and the denial of voting rights.
2017-01-25 12:55:58;SenSanders;Trump is telling Republicans to accelerate voter suppression, to make it harder for the poor, young, elderly and pe… https://t.co/feFMLqQxnx
2017-01-24 22:12:43;SenSanders;"Friday: 50,000 gallons of oil leak on aboriginal land.
Tuesday: Trump signs an order to advance two more pipelines.
https://t.co/rtQedHEC43"
2017-01-24 21:49:09;SenSanders;"RT @ABC: Bernie Sanders: ""The great political and democratic crisis we face...is not voter fraud, it is voter suppression"" https://t.co/eZU…"
