timestamp;sn;text
2017-01-30 22:26:48;billclinton;RT @ClintonCenter: Proud to announce the 2017 class of Presidential Leadership Scholars. Join us in congratulating them! https://t.co/pgEZG…
2017-01-20 16:16:05;billclinton;"RT @HillaryClinton: I'm here today to honor our democracy &amp; its enduring values. I will never stop believing in our country &amp; its future. #…"
2017-01-18 20:09:05;billclinton;41 and Barbara—thinking about you both and sending wishes for a speedy recovery. Love, 42.
2017-01-16 14:16:22;billclinton;Life's most persistent and urgent question is, “What are you doing for others?”— Dr. Martin Luther King, Jr. #MLKDay
2017-01-12 21:50:55;billclinton;"As we remember those lost on that terrible day 7 years ago, I remain hopeful about the future of #Haiti &amp; its resilient people."
2017-01-05 23:32:19;billclinton;Terrific work by six @CGIU alumni who represent a new generation of leaders and innovators. https://t.co/yMuFXnKepF
2017-01-01 13:39:15;billclinton;"Happy New Year—2017 &amp; beyond will be bright if we use our imagination, passion &amp; skills to lift each other up &amp; make all our lives stronger."
2016-12-21 19:16:50;billclinton;I’m excited about the important work #PLScholars are doing around the world. Read about it: https://t.co/GNhewkaFKu
2016-12-20 18:17:09;billclinton;Here’s one thing @realDonaldTrump and I can agree on — I called him after the election. https://t.co/URSS89oQ6P
2016-12-20 00:30:12;billclinton;As an elector from my home state of New York, I've never been more proud to cast a vote than my vote today for @HillaryClinton.
2016-12-09 01:35:49;billclinton;Our friend John Glenn was a uniquely American hero and one of the finest men Hillary and I have ever known. https://t.co/EjYIfgUFka
2016-12-05 23:24:29;billclinton;Every day, I think of my dear friend Madiba, and the great mind and heart he shared equally with all.
2016-12-05 18:43:52;billclinton;My heart goes out to the families and friends of all those lost in the terrible fire in Oakland.
2016-12-01 16:54:04;billclinton;"On #WorldAIDSDay let’s reaffirm our commitment to ending the HIV/AIDS epidemic &amp; discrimination hindering treatment. https://t.co/MIuBY4uWWw"
2016-11-15 03:03:13;billclinton;Gwen Ifill was a trailblazer and a bright light in journalism. She informed and challenged us, and did so with grace. I will miss her.
2016-11-11 14:38:40;billclinton;Remembering and honoring our veterans today. We owe them more than we can ever repay.
2016-11-07 19:17:25;billclinton;Janet Reno was an extraordinary public servant who never forgot about the lives of real people. https://t.co/CJw6clqRfX
2016-11-03 16:57:55;billclinton;Enjoyed an early morn visit to Detroit's Eastern Mkt to see some voters. Go see @HillaryClinton tomorrow:… https://t.co/gHDihJRBTu
2016-11-02 17:11:45;billclinton;Praying for the loved ones and the communities of the two police officers killed in Iowa in a senseless act of violence.
2016-10-28 03:32:20;billclinton;"Thanks to rock &amp; roll legend @BonJovi for pumping up the crowd in Pittsburgh tonight for @HFA!  #ProudToBePA https://t.co/zXqj9kTKtq"
2016-10-26 19:55:32;billclinton;Nice to see you too, Wilmington! And it’s a perfect day to vote! #NCVotesEarly https://t.co/vEyfe9F4KJ
2016-10-26 16:43:51;billclinton;Happy Birthday Hillary! 🎂 In awe of you today and every day.
2016-10-26 01:25:42;billclinton;I loved Day 1 of our #NCVotesEarly Bus Tour. Can't wait to see you all tomorrow! #TurnNCBlue https://t.co/kdy2GZzwMV
2016-10-26 00:17:47;billclinton;Really enjoying traveling across Eastern North Carolina with my friend, Gov. Jim Hunt.  #TurnNCBlue https://t.co/uG5UY6ClZ5
2016-10-25 23:37:27;billclinton;Pumped up after visiting with our volunteers before their canvass shift. #NCVotesEarly #TurnNCBlue https://t.co/4lO2hs7EEs
2016-10-25 19:01:20;billclinton;Kicking off our #NCVotesEarly Bus Tour encouraging everyone in NC to go to the polls—you don’t have to wait until N… https://t.co/z8rYVMTs71
2016-10-25 01:25:33;billclinton;"Tom Hayden's life in pursuit of peace &amp; justice ran the gamut from protesting to legislating. He will be missed. https://t.co/ewBqMLfBsR"
2016-10-22 19:34:32;billclinton;"""This country still does offer the American dream. And if you don't vote, you're saying you don't care..."" https://t.co/G48JDo1gB6"
2016-10-21 17:04:48;billclinton;I'm kicking off our #WeAreFL bus tour in Orlando at the @FloridaEA conference. So proud to be with educators workin… https://t.co/zLjy1rkYsT
2016-10-19 00:05:57;billclinton;Pennsylvania is focused! Election Day is 3 weeks away! https://t.co/X4ngkIWv0H #proudtobePA https://t.co/j6lQukBBfF
2016-10-14 02:26:00;billclinton;Thank you Iowa for the legendary hospitality—enjoyed every minute of the Early Vote Bus Tour for @HillaryClinton!… https://t.co/CE2cabGl3P
2016-10-13 18:20:32;billclinton;"Congrats @bobdylan on a well-deserved Nobel for wise, powerful lyrics that touched minds &amp; hearts. And TY for this… https://t.co/bKPML1poG7"
2016-10-12 21:18:16;billclinton;Nothing like a bus tour thru Iowa to promote early voting. Make your voice heard, Hawkeye State!… https://t.co/RQBmPx1dUg
2016-10-11 13:01:18;billclinton;41 years ago I married my best friend and the finest changemaker I’ve ever known. And yes, I’m still in awe of her!
2016-10-07 16:51:44;billclinton;Congratulations to @AmeriCorps for reaching 1 million AmeriCorps members—you represent the very best of America! #ThanksAMillion
2016-10-05 23:53:50;billclinton;Congratulations, Mr. President!  This is a big moment for our planet. https://t.co/Ba4EuXbHUZ
2016-10-05 23:47:37;billclinton;Great trip campaigning across the Buckeye State for @HillaryforOH.  Thanks for having me!  Learn where to vote at https://t.co/X4ngkIWv0H
2016-10-05 23:45:11;billclinton;...and I enjoyed every mile!  #OHHillYes https://t.co/kIzqgS7MoX
2016-10-05 17:42:21;billclinton;"Campaigning across Ohio for @HillaryClinton &amp; stopped at Starting Lineup in Youngstown. No time for a cut but took… https://t.co/LgTtKITpGQ"
2016-10-05 17:20:30;billclinton;On the road again! Enjoying Day Two of our bus tour across Ohio campaigning for @HillaryClinton! #ImWithHer https://t.co/qiatB7JCN8
2016-10-04 20:27:30;billclinton;Praying for everyone impacted by #HurricaneMatthew. Here's how you can help in Haiti: https://t.co/OX77AS2bT6
2016-10-04 20:24:48;billclinton;RT @HillaryClinton: Concerned for the millions of families in Hurricane Matthew's path. You can donate to help those in need here. https://…
2016-10-04 18:41:01;billclinton;Ohio! Register by October 11, start voting October 12! https://t.co/X4ngkIWv0H #ImWithHer https://t.co/cz2EVqLJTq
2016-10-03 13:34:28;billclinton;Great endorsement by NBA champ focused on his Ohio community, LeBron James. #StriveForGreatness https://t.co/EIfKmcfk35
2016-10-03 12:32:28;billclinton;Congratulations to our Ryder Cup champions! A great week and a great win for @RyderCupUSA!
2016-09-28 03:36:19;billclinton;I will miss Shimon Peres, my brilliant and eloquent friend. His life was a blessing to all who strive for peace.… https://t.co/I5cWqWXN0s
2016-09-27 20:44:22;billclinton;"RT @repjohnlewis: Today is #NationalVoterRegistrationDay - I was beaten, left bloody &amp; unconscious so that every person could register and…"
2016-09-27 12:46:04;billclinton;On Nat’l Voter Registration Day, make sure you’re set for Nov 8. Your vote counts, but only if you register! https://t.co/X4ngkIWv0H #NVRD
2016-09-27 00:44:46;billclinton;Looking forward to tonight's debate knowing that millions of Americans will see the @HillaryClinton I've known for over 40 years.
2016-09-26 22:29:43;billclinton;RT @WJCLibrary: Rest in peace, Mr. Arnold Palmer. https://t.co/5opXHyRWtP
2016-09-24 18:53:27;billclinton;"Honored to be with Ruth Bonner &amp; 4 generations of her remarkable family at the opening of @NMAAHC #apeoplesjourney https://t.co/bT0DkWYYE4"
2016-09-21 20:08:52;billclinton;Honored to celebrate the last 15 years with the CF community—living proof of the power of creative cooperation. https://t.co/NmvyofotPc
2016-09-19 14:11:16;billclinton;I hope you will tune in as we gather for #CGI2016: https://t.co/vTuI2Doz4z
2016-09-19 14:04:08;billclinton;As we begin #CGI2016, I am grateful for @ClintonGlobal members who have made 3,600+ commitments, which have improved 435+ million lives.
2016-09-11 13:16:26;billclinton;"As we reflect on the lives we lost 15 years ago in NY, VA &amp; PA, we honor them best by defeating terrorism and embracing our common humanity."
2016-09-05 20:39:04;billclinton;"Proud to honor America’s workers on Labor Day—a great time celebrating with union members in Detroit &amp; Cincinnati! https://t.co/Ef7DaorTiM"
2016-09-01 11:39:02;billclinton;RT @ClintonFdn: Proud to be rated four stars by @charitynav for our impact, transparency, and the quality of our work: https://t.co/lgUoey3…
2016-08-25 16:23:13;billclinton;The peace deal in Colombia reminds us of what’s possible through dialogue and cooperation. Very hopeful the Colombian people support it.
