timestamp;sn;text
2017-02-01 00:44:18;BishopGarrison;@cFidd LMD stuff is getting a lil' old with me, TBH. GR plot was way better.
2017-01-31 03:10:55;BishopGarrison;This is heartbreaking. #veterans https://t.co/7Dfri61RFW
2017-01-30 23:05:36;BishopGarrison;Wonderful to see my friend, former colleague, and boss @rosenbergerlm speaking on today's issues: https://t.co/SfHRCHtNus #NoBanNoWall
2017-01-30 12:40:10;BishopGarrison;"You've probably heard this a 1k times now, but having served w/ an interpreter &amp; alongside Iraqis I can tell you th… https://t.co/K94RmplGzW"
2017-01-30 11:14:50;BishopGarrison;RT @SenJohnMcCain: Full statement w/ @LindseyGrahamSC on @POTUS's executive order on immigration: https://t.co/Fh9ylhWZyc
2017-01-30 01:04:08;BishopGarrison;.@TakingShip my assumption is I will be one of your first guests...or you are both dead to me...@eliejacobs @frankspring
2017-01-29 10:44:55;BishopGarrison;RT @joshrogin: Steve Bannon is now on the National Security Council Principals Committee, equal status to the Secretaries of State and Defe…
2017-01-29 10:01:38;BishopGarrison;"RT @M_Breen: Iraq vet w/ 4 Purple Hearts, drove two hours to Dulles w/ his son.

Nobody called him. He just came. Why? 

""Not what I fought…"
2017-01-28 21:17:18;BishopGarrison;RT @dyllyp: I told this story about #refugees a couple years ago on Veterans Day with a humorous slant. I'm going to tell it again today, u…
2017-01-28 19:52:03;BishopGarrison;"A Solider, an immigrant, who gave his life for his country. Today, let's remember what men &amp; women like this sacrif… https://t.co/LPDF06xRGX"
2017-01-28 19:05:50;BishopGarrison;Feels like an appropriate time to repeat this. https://t.co/1AbkIkN8vz
2017-01-28 18:44:18;BishopGarrison;RT @SebastianMurdoc: Iraqi interpreter released, excited to be with his family. He still loves America. https://t.co/ZpeQ933d9d
2017-01-28 14:19:52;BishopGarrison;RT @JMSilverbrook: #GeorgeWashington on #Refugees. https://t.co/3i3u5NZSfn
2017-01-28 14:12:13;BishopGarrison;https://t.co/BNe4xMrQdS
2017-01-28 14:00:12;BishopGarrison;RT @Carter_PE: More than 20% of Medal of Honor recipients honored in DoD Hall of Heroes (where Trump signed order) were immigrants https://…
2017-01-26 13:07:13;BishopGarrison;"RT @JusticeWillett: OTD 1945:

Audie Murphy—the most-decorated soldier in U.S. history—earned the Medal of Honor. 🇺🇸

https://t.co/RLDuxwn7…"
2017-01-26 12:43:33;BishopGarrison;Ummm, @JoeNBC is out here attempting to explain what constitutes torture...to Sen. John McCain...? https://t.co/vmkc66OkQa
2017-01-26 12:16:37;BishopGarrison;RT @nycsouthpaw: At some point this is going to turn into a thing https://t.co/GiHMErnHdj
2017-01-26 00:16:12;BishopGarrison;"RT @joshrogin: .@TulsiGabbard says Syrians told her ""there are no moderate rebels."" That's the Russian government line exactly."
2017-01-25 23:49:56;BishopGarrison;"RT @thehill: Ryan on Mexico wall: ""We’re going to pay for it"" https://t.co/zp7C5o9YH4 https://t.co/11CdB01iwh"
2017-01-25 23:43:59;BishopGarrison;"RT @madeleine: I was raised Catholic, became Episcopalian &amp; found out later my family was Jewish. I stand ready to register as Muslim in #s…"
2017-01-23 16:33:25;BishopGarrison;Also happening in the news today: Star Wars https://t.co/EyYhNY5u6H
2017-01-23 16:33:06;BishopGarrison;"RT @Carter_PE: ""Trump to nominate Air Force Academy grad + fmr Congresswoman Heather  Wilson as @USAirForce secretary"" https://t.co/WtzDptx…"
2017-01-23 14:56:22;BishopGarrison;This is a great start for properly supporting mental health across the mil community. I hope this progress continues https://t.co/1mYr7jtNuq
2017-01-22 17:37:37;BishopGarrison;RT @FieldMuseum: Scientists at The Field Museum are often asked about climate change. Here's a quick FAQ: https://t.co/6GUJXq7d51 https://t…
2017-01-22 00:53:23;BishopGarrison;RT @KatyTurNBC: I get disagreeing with politics or policies or interpretation of such -- but WH is disagreeing with facts right now.
2017-01-21 16:45:55;BishopGarrison;#WomensMarch https://t.co/8qGqTC9ZfF
2017-01-21 15:10:25;BishopGarrison;This is insane. Fantastic. #WomensMarch https://t.co/TmWvWWrkO5
2017-01-21 14:24:52;BishopGarrison;"RT @Lin_Manuel: Proud to support women's rights with the whole fam in 🇬🇧
#womensmarchlondon https://t.co/fzTtnIA4LP"
2017-01-21 14:19:06;BishopGarrison;@lr_chenault does this white count? https://t.co/Mv8pB5UqtR
2017-01-21 13:11:41;BishopGarrison;I'm marching to ensure all the women in my life - fam/friends/colleagues - know more than ever that I fully support them.  #WomensMarch
2017-01-21 11:45:00;BishopGarrison;"I find this level of insecurity pathetic &amp; sad. I hope you figure out a way to not be threatened by empowered women. https://t.co/1sUKAYdz8G"
2017-01-19 16:00:10;BishopGarrison;RT @politico: .@TulsiGabbard takes secret trip to Syria, shocking aides https://t.co/TKSBg6BSDg via @heatherscope https://t.co/Ajg9BLOnYs
2017-01-14 18:23:36;BishopGarrison;An effort I can truly get behind #GreenLanternCorps https://t.co/7BjgC3a9fh
2017-01-14 17:59:34;BishopGarrison;Science is happening, folks! Long live space exploration. https://t.co/cz39u0iErC
2017-01-10 05:21:50;BishopGarrison;Greatest college football championship game in recent history, quite possibly ever. #Clemson #GoTigers #nationalchampionship
2017-01-10 05:18:34;BishopGarrison;Clemson is trying to give me a heart attack. #nationalchampionship
2017-01-06 01:46:01;BishopGarrison;"Every top blk actor in US will be in this &amp; I'm cool w/ that ⚡️ “Sterling K. Brown joins the cast of Black Panther” 
https://t.co/8TpVvKCHfA"
2017-01-05 11:38:49;BishopGarrison;"We knew this would happen. We told the world this would happen. It is now being planned &amp; it will happened. https://t.co/4jNHK49zYX"
2017-01-05 00:03:18;BishopGarrison;@JesseLehrich or something...? He started off with the D.P....?
2017-01-04 16:01:57;BishopGarrison;"RT @adrienneelrod: Smart choices by @donnabrazile and Team DNC. Congrats to my faves @Zac_Petkanas &amp; @Watson_HFA on their new roles. https:…"
2017-01-04 13:11:34;BishopGarrison;"I've watched this clip nothing short of 20 times this morning. Please watch no. 5 &amp; no. 32's reactions. It's all ab… https://t.co/OG4PxMTbFm"
2017-01-02 20:02:43;BishopGarrison;RT @JoshSchwerin: Great hire https://t.co/s2pVaW0A5N
2017-01-02 00:25:55;BishopGarrison;RT @BeschlossDC: Abraham Lincoln issued his Emancipation Proclamation tomorrow 1863—here from his early handwritten draft: https://t.co/0J1…
2017-01-01 15:34:14;BishopGarrison;RT @Cmdr_Hadfield: 7. The number of veterans in the US who are homeless has halved in the past half-decade, with a nearly 20% drop in 2016.
2017-01-01 13:09:55;BishopGarrison;"RT @washingtonpost: These were the top military stories on Checkpoint in 2016
https://t.co/GE7rKez3d8"
2017-01-01 13:04:53;BishopGarrison;"RT @AnnieLinskey: Trump tonight: ""if you have something really important, write it out and have it delivered by courier, the old fashioned…"
2017-01-01 13:04:49;BishopGarrison;RT @MrMikeBlake: Please make sure as you celebrate or worship tonight that you #PrayforIstanbul
2016-12-31 02:27:39;BishopGarrison;RT @washingtonpost: Breaking: Russian hackers penetrated U.S. electricity grid through a utility in Vermont https://t.co/LED11lL7ej
2016-12-30 20:49:32;BishopGarrison;RT @politico: McCain plans Russia cyber hearing for Thursday https://t.co/s99H6lsjnr https://t.co/CUmaVJTURx
2016-12-30 13:23:52;BishopGarrison;"RT @Carter_PE: ""Joel Sollender, WWII infantryman and POW who starred in Clinton campaign film, dies at 92"" via @CarlPrinetweets  https://t.…"
2016-12-30 11:11:26;BishopGarrison;Absolute tragedy. I am so sorry my fellow #veterans continue to suffer like this. https://t.co/NS90WAjstW
2016-12-30 11:08:09;BishopGarrison;RT @ericgeller: BREAKING: DHS and FBI release report on Russian cyberattack campaign dubbed GRIZZLY STEPPE. https://t.co/FnJeVfZVIA https:/…
2016-12-29 13:57:58;BishopGarrison;"RT @Carter_PE: ""Trump considers VA privatization; @transition2017 official describes 'all private' option"" via @bkesling @WSJ  https://t.co…"
2016-12-27 18:03:23;BishopGarrison;Incredibly sad. So sorry to hear this news. #RIPCarrieFisher https://t.co/NHxz2w8aVF
2016-12-26 13:06:48;BishopGarrison;RT @WSJ: In making “It’s a Wonderful Life,” star Jimmy Stewart had to struggle with what today would be called PTSD https://t.co/aEKnMfQDce
2016-12-26 11:37:00;BishopGarrison;".@HiddenFigures is the story of what AfAm women endured to achieve dreams &amp; serve our nation. It's an inspiration for all. #HiddenFigures"
2016-12-26 11:01:01;BishopGarrison;RT @EBONYMag: Willie Rogers, Oldest Surviving Tuskegee Airman Dies at 101: https://t.co/TFVar8aXup https://t.co/jAsUull63l
2016-12-26 10:53:16;BishopGarrison;"RT @markknoller: ""It's impossible for us to fully repay what you've done and the sacrifices that you've made,"" Pres Obama told military per…"
2016-12-24 12:35:05;BishopGarrison;RT @PaulRieckhoff: This is our political 2016 in a nutshell, folks. https://t.co/NXfuJfsFfe #VASecSweepstakes @IAVA https://t.co/hTsE1qlFE6
2016-12-22 14:35:28;BishopGarrison;RT @MarkHertling: Gingrich'a interpretation is one of the most dangerous things I've ever heard. The military does not obey unlawful orders…
2016-12-22 12:01:16;BishopGarrison;.@TeenVogue continues to have some of the best coverage out there on @realDonaldTrump https://t.co/rm1uV8aVcX
2016-12-19 15:28:22;BishopGarrison;RT @jaketapper: PEOTUS Trump to nominate former infantry officer w 101st Airborne/Virtu Financial's Vinnie Viola as Secretary of the Army.
2016-12-16 20:28:53;BishopGarrison;Developing, though, I remember saying this long with others some time ago. #Russia #Trump #Election2016 https://t.co/ts1ePixG8T
2016-12-16 12:02:54;BishopGarrison;RT @BFriedmanDC: This is a June 30th tweet from Trump's incoming National Security Council communications director https://t.co/dCPoAGm93H
2016-12-16 11:46:21;BishopGarrison;"RT @Rachel__Nichols: I am in awe of the folks at @NBAonTNT; paying tribute to Craig Sager with grace and truth &amp; yet still doing what Craig…"
2016-12-16 11:45:07;BishopGarrison;RT @dceiver: Gregg Popovich is basically one of our best Americans https://t.co/DbXZvkZBXs
2016-12-16 04:23:12;BishopGarrison;RT @thegarance: Langley: Trump not planning to divest himself from his businesses @CNNPolitics https://t.co/IypEhe9fCT
2016-12-16 04:12:30;BishopGarrison;RT @RadioFreeTom: That's gonna leave a mark https://t.co/XMo5TBzfku
2016-12-15 10:32:19;BishopGarrison;"RT @LindseyGrahamSC: Russian hacking during the US presidential election is not a Republican or Democrat issue. It's an American issue. 

W…"
2016-12-14 12:31:11;BishopGarrison;RT @KFILE: https://t.co/auBsUPfnSr https://t.co/TpQ4RckRvl
2016-12-13 23:24:08;BishopGarrison;"Just the idea of this poss. pending ""Sci dark age"" simultaneously terrifies me &amp; makes me sad #climatechange #Trump https://t.co/mvv7N8w5B0"
2016-12-13 16:25:34;BishopGarrison;@mintimm Nothing surprises me at this point.
2016-12-13 15:40:01;BishopGarrison;@mintimm I mean, it just kind of makes sense right now, you know?
2016-12-13 15:19:23;BishopGarrison;"The vast majority of Dept of #Energy work involves nuke safety &amp; security. @GovernorPerry couldn't remember he want… https://t.co/RorczOepvM"
2016-12-13 14:38:08;BishopGarrison;I legit can't think of anything more apropos of this transition team then having Kanye be the person to help them w… https://t.co/I8N0gIxgKg
2016-12-13 14:19:15;BishopGarrison;America, we need to have a serious conversation about #Russia. https://t.co/EhddSEO4iO #TrumpTransition
2016-12-13 13:25:07;BishopGarrison;RT @jonathanweisman: @amyewalter Except that 90 percent of the Energy Department budget is for nuclear weapons design, stewardship, cleanup…
2016-12-12 23:43:23;BishopGarrison;So tell me again how this wasn't partisan...? #Trump #Benghazi https://t.co/QaX7lek80B
2016-12-12 20:57:27;BishopGarrison;A new piece from me up on @thehill - understanding why ppl voted for @realDonaldTrump as we look to move forward: https://t.co/oJt2elAEOb
2016-12-12 12:39:58;BishopGarrison;"RT @ananavarro: CIA are brave patriots who serve &amp; risk their lives for America. A wall in Langley HQ marks w/anonymous stars, those fallen…"
2016-12-12 12:04:37;BishopGarrison;RT @politico: Trump calls intelligence reports of election meddling ‘ridiculous.’ But key senators from both parties disagree https://t.co/…
2016-12-11 23:50:12;BishopGarrison;"RT @SenJohnMcCain: #CyberSecurity can't be partisan. The stakes are too high. Will work across aisle to investigate &amp; stop cyberattacks htt…"
2016-12-11 17:57:03;BishopGarrison;"@BonnieBernstein People like this now feel empowered. We have to be vigilant &amp; speak out together against these type of vicious acts."
2016-12-11 17:16:54;BishopGarrison;@cFidd There are four lights.
2016-12-11 15:54:51;BishopGarrison;I look forward to the premiere of mid-season shows when POTUS @realDonaldTrump uses Celeb Apprentice to announce SCOTUS pick.
2016-12-11 15:33:33;BishopGarrison;RT @McFaul: So is Trump backing away from Tillerson? Did he leak the idea just to get everyone to stop talking about Russian interference i…
2016-12-11 11:54:10;BishopGarrison;If you want to serve in the Trump Administration just say so. Also, pls hand in your blue badge. This is absurd. https://t.co/VrhWc5jwlR
2016-12-10 15:06:25;BishopGarrison;"@BenjaminEHaas Heard this story on NPR &amp; was disappointed by it. Also sad how many ppl are surprised how well vets deescalate situations."
