timestamp;sn;text
2017-01-29 02:24:07;BretEastonEllis;Asghar Farhadi's THE SALESMAN is the best movie nominated for an Oscar this year, foreign or otherwise. Hope he can… https://t.co/VEJRfOAYYs
2017-01-26 01:01:26;BretEastonEllis;Watch all 8 episodes of THE DELETED Season One at https://t.co/fJkv5KOLCu https://t.co/ySkxgiWuQm
2017-01-23 08:01:09;BretEastonEllis;https://t.co/tBhwMQMySa
2017-01-16 19:02:12;BretEastonEllis;HOMESICK FOR ANOTHER WORLD by Ottessa Moshfegh is the best new short story collection I've read in a very, very lon… https://t.co/nA5wlDsSOs
2017-01-12 18:30:55;BretEastonEllis;All eight episodes of THE DELETED Season One are now available at: https://t.co/fJkv5KOLCu https://t.co/LR7OtuCBej
2017-01-04 20:39:22;BretEastonEllis;The 10 Best Movies I saw that were released theatrically in 2016 in the U.S. Four are docs, five are foreign. It wa… https://t.co/cB0gv6UsLh
2017-01-03 20:32:07;BretEastonEllis;"On Sale: Signed by BEE: Mural Poster (54"" x 40"") of Christian Bale as Patrick Bateman from American Psycho. Go to:… https://t.co/0x0URmpiK4"
2016-12-28 19:33:11;BretEastonEllis;"""You can watch things on your iPhone and people do that all the time — something like 80 percent of our audience... https://t.co/zO76D57czh"
2016-12-28 17:48:59;BretEastonEllis;RT @ScottPorch: .@BretEastonEllis Gets Extremely Candid About His New @Fullscreen Series @TheDeletedShow https://t.co/2wNrBPtB0n via @decid…
2016-12-23 23:58:03;BretEastonEllis;I now tweet infrequently, and I rarely use Twitter in the way that it’s supposed to be used... https://t.co/2RDwwhhzwC
2016-12-19 18:51:48;BretEastonEllis;THE BEE PODCAST: Laura Jane Grace, bully benefits, narcissism, Replacements, Kardashians, trans, making $ in music:… https://t.co/gmd8yGMY3K
2016-12-12 18:01:53;BretEastonEllis;Watch all eight episodes of THE DELETED Season 1. Start your free trial at https://t.co/fJkv5KOLCu and sign up usin… https://t.co/q7suM94dOz
2016-12-12 17:59:49;BretEastonEllis;Watch all eight episodes of THE DELETED Season 1. Start your free trial at https://t.co/fJkv5KOLCu. Sign up... https://t.co/LYIlc7RjhJ
2016-12-06 23:56:08;BretEastonEllis;THE B.E.E. PODCAST with Variety film critic Owen Gleiberman: explaining the Batman/Ben Affleck controversy that I... https://t.co/k4syadPaGV
2016-12-06 17:44:27;BretEastonEllis;THE B.E.E. PODCAST: Affleck/Batman controversy, the limits of fanboy culture, Carrie, identity politics, Raiders:… https://t.co/qhpo1syFx0
2016-12-05 18:31:34;BretEastonEllis;A digital series I wrote and directed THE DELETED is now available with a new episode dropped daily all this week... https://t.co/AZgWqiAosC
2016-12-05 18:24:57;BretEastonEllis;RT @Fullscreen: You haven’t started @TheDeletedShow yet? Don’t give us that look. Go watch Episode 2 featuring @willpeltz now. https://t.co…
