timestamp;sn;text
2017-02-01 01:09:24;CNBCnow;More: Donald Trump chooses Neil Gorsuch for Supreme Court seat https://t.co/4tN0ZaoSNk https://t.co/iUV8szwj8A
2017-02-01 01:04:06;CNBCnow;BREAKING: President Donald Trump selects federal appeals court judge Neil Gorsuch to fill U.S. Supreme Court vacanc… https://t.co/s44lagN2VG
2017-02-01 00:59:22;CNBCnow;Watch LIVE: President Trump to announce his Supreme Court pick https://t.co/QMGOCK8V9L
2017-01-31 22:30:56;CNBCnow;"JUST IN: Conservative Christian leader expects Trump to uphold ""religious liberty"" despite White House statement https://t.co/lekqyXN6dB"
2017-01-31 22:07:13;CNBCnow;"NEW: Facebook developing app for set-top boxes, including Apple TV, that it could use to distribute premium content &amp; generate ad revs. - DJ"
2017-01-31 22:02:11;CNBCnow;"BREAKING: Elliott Management calls for ""change of leadership"" at Arconic to improve company's performance"
2017-01-31 21:45:29;CNBCnow;Apple's massive cash pile is at a new record high -- $246.09 billion. That's up $8.49B from just one quarter ago.… https://t.co/JackELAlck
2017-01-31 21:32:38;CNBCnow;"BREAKING: Apple shares surge 3% in post-market trading after beating earnings &amp; selling more iPhones than expected… https://t.co/gSgF9kDc8e"
2017-01-31 21:30:10;CNBCnow;"BREAKING: Apple beats earnings &amp; revenues estimates; company sold 78.3M iPhones in last quarter, more than expected… https://t.co/spP5DXqJJV"
2017-01-31 21:06:44;CNBCnow;"EARNINGS: Arconic Q4 EPS $0.12 Adj. vs. $0.13 Est.; Q4 Revs. $2.97B vs. $3.00B Est. • $ARNC https://t.co/BW36nBTD0G"
2017-01-31 20:14:29;CNBCnow;"JUST IN: Trump's signing of cyber security executive order is cancelled for today, White House says; no details immediately provided."
2017-01-31 18:08:26;CNBCnow;Corrected: Exxon Mobil earned 90 cents a share, versus 70 cents expected  https://t.co/q7ufdZEHOK
2017-01-31 17:52:29;CNBCnow;BREAKING: Full Senate confirms Elaine Chao to be Transportation Secretary
2017-01-31 16:49:07;CNBCnow;"Senate committee approves billionaire Betsy DeVos for education secretary; nomination still must clear in the full Senate"
2017-01-31 15:35:11;CNBCnow;"BREAKING: Senate Democrats to boycott votes for Trump's Treasury and Health &amp; Human Svcs secretaries; 1 Dem required for votes to go forward"
2017-01-31 15:01:59;CNBCnow;BREAKING: Consumer Confidence index hits 111.8 in January vs. 112.0 estimate https://t.co/TGMGUaWBm7
2017-01-31 12:35:42;CNBCnow;"Under Armour shares plunge nearly 30% on ugly earnings miss and guidance; CFO to leave company… https://t.co/vhjOEuO2ar"
