timestamp;sn;text
2017-02-01 07:05:16;cameronesposito;"Ppl tweet asking Rhea &amp; I to adopt them like everyday. I know it's a joke but also if we're ur queer moms I'm so happy 😭👯‍♂️❤️❤️"
2017-02-01 07:00:00;cameronesposito;Ok but we never have good snacks https://t.co/OzcjRqq7ma
2017-02-01 06:43:31;cameronesposito;@That_Hippy_Gurl Kylee u made my day.
2017-02-01 06:42:28;cameronesposito;RT @pattonoswalt: An anonymous, alt-right beta is being owned in this thread by Kylee, a 13 year-old girl. Bliss. https://t.co/kkijxI8VBD
2017-02-01 06:36:42;cameronesposito;"""Debate Night! Finally men can yell again w/o a woman around to stop them!"""
2017-02-01 06:35:09;cameronesposito;"My worst fears are: 
- that we'd air debates btwn two men who can't do anything 
- the thing where a ghost is behind u in a mirror"
2017-02-01 04:33:44;cameronesposito;RT @RheaButcher: You got played, women who believed it was more feminist to not vote for Hillary Clinton. You got played.
2017-02-01 01:23:14;cameronesposito;"Weird that our pussy grabbing president is a Roe v Wade threat. 

Almost like he doesn't think women control our own bodies 🤔"
2017-02-01 01:15:18;cameronesposito;Great moment to up ur education on abortion! #gorsuch #SCOTUS https://t.co/WMn5zj8YFZ
2017-02-01 01:06:21;cameronesposito;"Our president LOVES clapping 

Way more than he loves people"
2017-02-01 00:52:18;cameronesposito;@becsez this is the nicest thing. ❤️
2017-02-01 00:40:00;cameronesposito;"Buy my record Same Sex Symbol this Friday &amp; let's donate that $$$! https://t.co/tauOZfQeKh"
2017-01-31 22:04:15;cameronesposito;"I ate a spoiled salad. Rhea told me not to but I did anyway.

In a way, didn't we all?"
2017-01-31 22:01:40;cameronesposito;@elizaskinner @laurenlapkus is it that obvious?
2017-01-31 21:38:42;cameronesposito;"RT @RheaButcher: Another great lineup tonight on @pyhtshow with me &amp; @cameronesposito hosting. 8pm/$7. @ucbtla https://t.co/FWzbBa632s"
2017-01-31 21:00:43;cameronesposito;"LGBT folks: stick it to the man by getting healthcare coverage. 

Last day to sign up! 

https://t.co/V59ENCXGhJ"
2017-01-31 20:24:04;cameronesposito;"For folks asking: ""is pardoned the right word when the law was bonkers?""

Yes. Don't u go back &amp; make us legal!"
2017-01-31 20:22:15;cameronesposito;"Some nerds are telling me Turing was pardoned in 2013; it's 1000s of other dudes getting pardoned now. 

Yes tru bu… https://t.co/kzL7GWoDNV"
2017-01-31 20:18:36;cameronesposito;"Turing opted for chemical castration over prison cuz those were the options.

Worrying over a conservative swing just means we remember. ✊️🌈"
2017-01-31 20:15:39;cameronesposito;"Alan Turing was just posthumously pardoned for being gay &amp; partially bc of him I tell u this via my computer phone."
2017-01-31 20:13:24;cameronesposito;RT @LondonLGBTPride: BREAKING Alan Turing Law receives Royal Assent. Thousands of gay men are posthumously pardoned for 'gross indecency' h…
2017-01-31 19:10:30;cameronesposito;"RT @amoebamusic: .@cameronesposito &amp; @RheaButcher are hosting a charity auction for @ACLU at Amoeba Hollywood this Saturday at 4pm! https:/…"
2017-01-31 17:19:24;cameronesposito;"And truly: the shows &amp; films @glaad nominated are many of my favs of 2016.

What great company in which to be!"
2017-01-31 17:15:55;cameronesposito;#TakeMyWife is nominated for a @glaad Media Award! Congrats @RheaButcher! What a thing! https://t.co/p7eql8QG4V
2017-01-31 16:23:03;cameronesposito;@ParkerMolloy @ParkerMolloy yes. I believe that will happen. It's hard to strike a balance btwn preparing/scaring the community.
2017-01-31 16:09:20;cameronesposito;"Restamping an Obama EO is a distraction. 

We're part of every group Tr*mp has already attacked &amp; queer folks don't get distracted by crumbs"
2017-01-31 15:54:34;cameronesposito;"Cute thing about our ""first pro-gay GOP president"" - his @VP thinks marriage equality leads to ""societal collapse.""

¯\_(ツ)_/¯"
2017-01-31 15:14:56;cameronesposito;I'm glad to wake up to this but not re-allowing workplace discrimination is basic civil rights. https://t.co/iCpaMHO4LV
2017-01-31 06:44:16;cameronesposito;"And yet, LGBT folks have already been affected by Tr*mp's EOs. We are part of every community &amp; we stand TOGETHER.… https://t.co/bKreRP4XAj"
2017-01-31 06:32:27;cameronesposito;Here are three women who helped me yesterday. https://t.co/QIQEZpdf92
2017-01-31 06:28:54;cameronesposito;Here are two things that helped me today. https://t.co/1UY8sBMv4V
2017-01-31 04:17:15;cameronesposito;"I scream jokes on the internet bc it's my job but pls:

Stay mentally safe.

Talk to pals. Share the stress. Sending u love❤️❤️"
2017-01-31 04:08:17;cameronesposito;RT @RheaButcher: More heroes. https://t.co/3kHvQGZGB3
2017-01-31 04:08:04;cameronesposito;RT @RheaButcher: Massachusetts AG. https://t.co/ertydGuUJ6
2017-01-31 04:08:01;cameronesposito;RT @RheaButcher: AG Sally Yates. Judge Ann Donnelly. Sen Kirsten Gillibrand. https://t.co/ZGLXS8JPSd
2017-01-31 04:02:27;cameronesposito;I hate these two old popes! https://t.co/XjJF58MaEi
2017-01-31 03:59:22;cameronesposito;@ChiElleBelle second in the state but last at giving me facts about who can fire the attorney general!
2017-01-31 03:53:23;cameronesposito;"Um I went to Catholic school &amp; my president is the pope, ma'am! https://t.co/ceWAXb7uLo"
2017-01-31 03:51:21;cameronesposito;Oh my god Hillary's emails fired the Attorney General!!!
2017-01-31 03:49:34;cameronesposito;"I'm hearing ""yes they serve at the pleasure of the president.""

Eeeeeew. Ew. Barf. Baaaarf. https://t.co/zB7nlk9D6M"
2017-01-31 03:46:37;cameronesposito;Is he tho, Samantha? Do we know anything anymore!??! https://t.co/zylZgaXJ4Y
2017-01-31 03:45:44;cameronesposito;"@guybranum I've been screaming for 18 months &amp; for 34 yrs before that! 

HE WAS GIVEN THE KEYS BY SOME DRUNK WHITE LADIES &amp; THAT'S MY CAR"
2017-01-31 03:43:01;cameronesposito;But I don't know Nixon!!!! https://t.co/nZ9XhAiRje
2017-01-31 03:42:04;cameronesposito;"You can fire the Attorney General?

Wait. Can he?"
2017-01-31 03:40:41;cameronesposito;RT @igorvolsky: Here is a picture of the oath of office @SallyQYates took. Note that she swore allegiance to the Constitution, not Trump ht…
2017-01-31 01:58:02;cameronesposito;@SarahThyre @RheaButcher @AndyRichter garlic is a great way to stop (makeout) sessions
2017-01-31 01:46:02;cameronesposito;✌️✌️✌️👭👯👬👯‍♂️👫 https://t.co/4bAOr8uAt5
2017-01-31 01:44:43;cameronesposito;I ate so much garlic to get back at Tr*mp. Unsure how this affects him but my breath is terrible just terrible.
2017-01-31 01:06:17;cameronesposito;"YATES! YATES! YATES! YATES!

yaaaaaaates. Yates. #NoMuslimBan"
2017-01-31 00:18:27;cameronesposito;@chappie_cat @RossScottie71 hey just wanna pop in 2 say this is a beautiful thread of support. Stay strong. ✊️
2017-01-30 23:02:55;cameronesposito;COME 'ERE *giant 🐻 squeeze* https://t.co/Vx9KhYHvnd
2017-01-30 22:47:25;cameronesposito;Bannon? Ban him.
2017-01-30 22:34:41;cameronesposito;Update! And let's still yell our support for the LGBT community. https://t.co/oPQddN1I04
2017-01-30 21:50:31;cameronesposito;"There's talk of an anti-LGBT EO coming soon

I want EVERY LGBT person to know I stand w/ u, I am here for u. 

We will rally. Ur not alone."
2017-01-30 18:32:36;cameronesposito;This was recorded like 3 days after Tr*mp won. Good for 😤😭🤢😡 https://t.co/iGF4m1Hhg0
2017-01-30 18:23:01;cameronesposito;"Yes I am exactly the same caliber actor as Meryl, Mahershala, David, Taraji 

Jkjkjk

But I'm VERY good at yelling. That's my whole act!"
2017-01-30 18:19:21;cameronesposito;"Dear Hollywood:

Great award show speeches so far! (Meryl, Mahershala, David, Taraji)

Keep making em. This is what we trained for. 🎭✊️🎤🎭"
2017-01-30 18:13:27;cameronesposito;RT @pattonoswalt: Now THIS is a fucking speech. Thank you @DavidKHarbour. https://t.co/6WUC6CwLJj
2017-01-30 17:48:01;cameronesposito;RT @thememorypalace: Tomorrow is the last day to get health insurance through https://t.co/N7NknFZixe. If you're not insured get insured. F…
2017-01-30 16:02:42;cameronesposito;"Oh here's one...

For every 1 wife Tr*mp marries, two previous wives sign gag orders.

That's just normal divorce!"
2017-01-30 15:59:42;cameronesposito;"Wait I've got one...

For every ""dude"" Tr*mp appoints to WH, he gives two appointees back.

Oh this could work."
2017-01-30 15:54:17;cameronesposito;"We're finding out if the internet is as good at resisting fascism as it is at resisting new Ghostbusters.

So far it's close."
2017-01-30 15:50:57;cameronesposito;RT @katewillett: Organizing strategy: convince bros who spent election season harassing women that it would be just as fun to do to Congres…
2017-01-30 15:44:09;cameronesposito;"Bet his SCOTUS pick will be a real ""bad dude"" on LGBT issues."
2017-01-30 15:38:17;cameronesposito;Sometimes I'm Winona, sometimes I'm David but I'm always about chasing monsters. https://t.co/gdQoinlBY6
2017-01-30 03:43:20;cameronesposito;"Two days. Two countries, U.S &amp; CAN. Two attacks on Muslims.

The ban makes NO ONE safer &amp; MANY less safe."
2017-01-30 03:40:04;cameronesposito;@franklinleonard it's making me so happy
2017-01-30 03:01:18;cameronesposito;Carlos - I'll tell u what I'm having a real PROBLEM reading ur shirt. 😘 https://t.co/3JixbGvm2A
2017-01-30 02:02:45;cameronesposito;This is phenomenal. ✊️✊️ https://t.co/aKQlZiwTm1
2017-01-30 01:56:23;cameronesposito;Remember before SCOTUS stuck its nose in when @GovPenceIN wanted send to gay couples to prison? That was 😎👌 https://t.co/AxAkJwhqQa
2017-01-30 01:47:37;cameronesposito;"Whoa! @VP is going to stop funding abortion!!?! Wait what? That's already illegal &amp; doesn't happen? Huh. https://t.co/8xVdMiqYg5"
2017-01-30 01:45:16;cameronesposito;Look he cares about human life! Wait what? Oh just fetuses. Huh. Not women? Not refugees? Hm. Ok. Huh. https://t.co/KTiwiOAFVH
2017-01-30 01:26:51;cameronesposito;#TakeMyWife DP @filmandy took this photo at LAX today. ❤️❤️ https://t.co/e7LN3mzJH7
2017-01-30 01:08:05;cameronesposito;"Hard to argue w/ points this well thought-out &amp; articulated. https://t.co/0aShaDoURU"
2017-01-30 01:01:14;cameronesposito;"RT @BlairImani: ""I'M ALREADY HOME, BITCH!"" - @fadumzz #NoBanNoWall #NoMuslimBan #ICONIC https://t.co/yq6HktIy4A"
2017-01-30 00:36:58;cameronesposito;"Amer nonprofits &amp; businesses alike:

We're here for you if ur here for us. https://t.co/lc9Jk13QqI"
2017-01-30 00:14:35;cameronesposito;RT @inthehenhouse: LAX protest has turned into an impromptu march. #NoBanNoWall 😭💔🇺🇸 please RT. So beautiful. https://t.co/F0b8CgTH8x
2017-01-30 00:11:25;cameronesposito;"The weakest words in the world are:

""If I give u anything, I have nothing."""
2017-01-29 23:56:44;cameronesposito;Buncha snowflakes make a storm https://t.co/PnaRya8Ui1
2017-01-29 22:53:52;cameronesposito;"A huge thank u to the folks at LAX &amp; ORD today. 

I can't make it to be physically w/ u but I am so grateful for u."
2017-01-29 20:55:38;cameronesposito;"The above are tweets excerpted from a talk I just gave my dog entitled ""don't erase the ppl ur fighting for.""

He liked it."
2017-01-29 20:46:30;cameronesposito;"We are being asked to protect all Americans, all refugees &amp; to celebrate difference.

I want to fight not for u but beside u.

Ok bye."
2017-01-29 20:37:48;cameronesposito;"But the idea that ""we're all LGBT"" or ""we'll all register to be Muslim"" skips over the larger issue of protecting minority groups."
2017-01-29 20:35:42;cameronesposito;"Personally, I believe sexuality is a spectrum, gender is fluid &amp; that asymmetrical haircuts are real great."
2017-01-29 20:34:14;cameronesposito;"About a week ago I went to a rally where Bernie truthers were yelling ""we're all LGBT!""

This was a large crowd."
2017-01-29 19:04:06;cameronesposito;Richard - I'm not sure who that is in the photo w/ u but she should thank dyke culture for her haircut. ❤️ it! https://t.co/PjxnzAHX2E
2017-01-29 18:13:28;cameronesposito;"Jessica Williams is REALLY GOOD at comedy.

Maybe don't give her tips on how to live."
2017-01-29 18:10:00;cameronesposito;"An extra bonkers part of this Jessica Williams story is that she's a comic.

The WHOLE POINT is that we speak from our own perspective."
2017-01-29 17:57:29;cameronesposito;RT @michaelianblack: As a white dude, I can confirm. https://t.co/SrEzuLoANE
