timestamp;sn;text
2017-02-01 03:16:06;ChadHGriffin;Heading on @Lawrence to discuss @HRC's opposition to Judge Gorsuch's #SCOTUS nomination and what's at stake for LGBTQ Americans. Tune in!
2017-02-01 01:38:28;ChadHGriffin;.@HRC opposes Gorsuch #SCOTUS nom. We cannot afford a radical, anti-equality justice who will rollback our rights. https://t.co/LNjH45l8ad
2017-01-31 23:27:37;ChadHGriffin;There you have it: @tperkins expects @realDonaldTrump to sign anti-LGBTQ license to discriminate EO. https://t.co/z8nEEccatd
2017-01-31 23:05:34;ChadHGriffin;RT @HRC: With Trump set to announce his Supreme Court pick tonight, here's a reminder of the type of nominee Trump promised on the campaign…
2017-01-31 20:42:58;ChadHGriffin;Civil rights leaders from across movements are calling on @realDonaldTrump to reject any executive orders that lice… https://t.co/EYcvIk2ETp
2017-01-31 05:37:56;ChadHGriffin;RT @Rob_Flaherty: Trouble here is that Trump didn't answer the question of whether or not he'd do a sweeping, discriminatory EO, too. https…
2017-01-31 05:22:41;ChadHGriffin;Critical ?: Will @potus use guise of religion to undermine our civil rights? That EO would be attack on all of us. https://t.co/UXbN0CYTtE
2017-01-31 05:00:14;ChadHGriffin;People are scared today with good reason. Trump has done nothing but undermine equality since he set foot in the WH.
2017-01-31 04:59:32;ChadHGriffin;Claiming ally status for not overturning the progress of your predecessor is a rather low bar. https://t.co/ZJ4P0I1MwS
2017-01-31 04:21:19;ChadHGriffin;RT @HRC: .@HRC praised the news that the Boy Scouts of America is finally opening its doors to #transgender boys https://t.co/F5vyNct1U9
2017-01-31 02:48:32;ChadHGriffin;Sally Yates is a hero who put the Constitution first. History will remember. https://t.co/S2PkPHAzUf
2017-01-30 23:56:30;ChadHGriffin;Meet another American hero. Acting AG won’t enforce #MuslimBan. A vote for Sessions is vote for discrimination. https://t.co/ItoOZabbXg
2017-01-30 22:59:44;ChadHGriffin;A vote to confirm #Sessions is a vote to endorse @realDonaldTrump's first week of attacks on our American values.… https://t.co/PsR2KXW3QA
2017-01-30 21:48:01;ChadHGriffin;Warning to @POTUS: If you attack any member of our community, you will hear from all of us. https://t.co/FRFSkGJNqc
2017-01-30 21:09:42;ChadHGriffin;A vote for #Sessions is a vote against equality. His record attacking the LGBTQ community disqualifies him from being nation's top lawyer.
2017-01-30 21:08:49;ChadHGriffin;A vote for #Sessions is an endorsement of Trump's anti-immigrant, anti-Muslim, anti-LGBTQ agenda. History won't be kind.
2017-01-30 20:04:59;ChadHGriffin;RT @chrisgeidner: .@HRC goes on the record with concerns regarding talk of a potential religious liberty/anti-LGBT EO floating around today…
2017-01-30 19:57:08;ChadHGriffin;Rumors @POTUS drafting EO specifically attacking LGBTQ people. We will fight like hell any attempt to discriminate. https://t.co/4BoDkfmfzr
2017-01-30 18:20:52;ChadHGriffin;Transgender people are our friends, family and neighbors. Any attempt to deny them their humanity must be defeated. https://t.co/q5D3gGJf2u
2017-01-30 16:53:14;ChadHGriffin;RT @HRC: Anti-equality activists are pushing a barrage of egregious anti-#LGBTQ bills in the #Oklahoma state legislature https://t.co/yFGRX…
