timestamp;sn;text
2017-01-31 20:13:27;ChelseaClinton;"Days later, I still can't get over how painful &amp; painfully brilliant &amp; painfully obvious this is https://t.co/lvIAeGKYsM"
2017-01-31 20:05:54;ChelseaClinton;"RT @davidchang: Studying the delicious food of Iraq, Syria, Iran, Libya, Somalia, Sudan &amp; Yemen. Plan to see more of these food cultures on…"
2017-01-31 15:28:29;ChelseaClinton;"Thank you to my friends @jasoncollins98 &amp; @jarronctwin for teaching this fun indoor #FitnessBreak: https://t.co/Rp2IYphHiY cc: @HealthierGen"
2017-01-31 14:58:28;ChelseaClinton;RT @mashable: James Corden records himself traveling after the Muslim ban, makes a powerful point https://t.co/Uw2mpyxfRB https://t.co/abft…
2017-01-31 14:41:27;ChelseaClinton;@BottomFeederMus my NY Senators already voting no. Thank you for calling your FL Senators- urge your friends to call too! And keep calling!
2017-01-31 14:39:05;ChelseaClinton;Horrifying. We are better than this https://t.co/EuAlLVfH0e
2017-01-31 14:38:30;ChelseaClinton;"Hopefully most prescient part of @deray tweet is ""first of her name"" https://t.co/NLzJV0mBQ5"
2017-01-31 14:23:52;ChelseaClinton;RT @lauraolin: Please tell friends: TODAY is the last day to enroll in Obamacare. Coverage for 1 year even if law repealed. https://t.co/po…
2017-01-31 00:53:33;ChelseaClinton;RT @maya_kazan: I'd like to repeat: Tomorrow is the last day to enroll in Obamacare. If you enroll, youll be covered for 1 year, even if th…
2017-01-30 20:36:34;ChelseaClinton;RT @ChadHGriffin: Rumors @POTUS drafting EO specifically attacking LGBTQ people. We will fight like hell any attempt to discriminate. https…
2017-01-30 20:29:53;ChelseaClinton;"Powerful &amp; heartbreaking photo essay tells horrific stories of child brides of Boko Haram fighters: https://t.co/DocHkcOnDL #GirlsNotBrides"
2017-01-30 19:58:08;ChelseaClinton;"This picture continues to make me happy &amp; give me hope https://t.co/8xgxSPIH4U"
2017-01-30 18:55:08;ChelseaClinton;Good news: https://t.co/tNZjQ3HmUd
2017-01-30 18:43:40;ChelseaClinton;"Women have NOT achieved equality &amp; we all have a responsibility to keep fighting until we do: https://t.co/K2B9ClvYHk #NotThere"
2017-01-30 16:44:15;ChelseaClinton;"RT @jonfavs: Extraordinary. America's foreign service officers, stationed around the world, speak out against Trump's ban. 

That's courage…"
2017-01-30 12:49:28;ChelseaClinton;"RT @devisridhar: Who pays for global health? @ChelseaClinton &amp; my new Lancet paper looks at what donors pay for &amp; why https://t.co/GsfWH1Xz…"
2017-01-30 02:48:09;ChelseaClinton;"RT @HillaryClinton: I stand with the people gathered across the country tonight defending our values &amp; our Constitution. This is not who we…"
2017-01-29 23:41:14;ChelseaClinton;RT @good: The 27 Politicians Who Actually Showed Up And Did Something For Refugees  https://t.co/fRXBO88fSb none #NoBanNoWall
2017-01-29 23:17:37;ChelseaClinton;RT @CNN: How many terror attacks have refugees carried out in the United States? Not a single one since Refugee Act of 1980 https://t.co/0W…
2017-01-29 22:03:31;ChelseaClinton;"RT @statnews: 2️⃣ Stark contrast on immigrants: Trump bans, Clinton celebrates 
https://t.co/UaxjeKw18F"
2017-01-29 20:52:20;ChelseaClinton;"RT @SenSchumer: Thank you to the attorneys, translators, &amp; other vols from non-profits &amp; firms working tirelessly at JFK to help refugees.…"
2017-01-29 20:52:05;ChelseaClinton;Yes. We will keep standing up for a country that matches our values and ideals for all. https://t.co/yfVlX5sL3f
2017-01-29 20:43:23;ChelseaClinton;I love Tish James.
2017-01-29 20:01:27;ChelseaClinton;#NewYork #NoBanNoWall https://t.co/4rndBgMDAH
2017-01-29 18:03:33;ChelseaClinton;RT @NYCMayor: I'll be joining New Yorkers at Battery Park this afternoon to stand up for our city's values. See you there.
2017-01-29 15:50:17;ChelseaClinton;RT @GeorgeTakei: Please share. https://t.co/mTT9G4OAXh
2017-01-29 14:17:47;ChelseaClinton;"RT @AJEnglish: ""Because of Donald Trump's visa ban ... I can't go and hug my son.""

Stories of people affected by Trump's executive order o…"
2017-01-29 01:11:48;ChelseaClinton;RT @mjs_DC: Trump has suspended due process for Muslims in America. This is illegal. This is a constitutional crisis. https://t.co/QNdhdvMq…
2017-01-28 22:36:46;ChelseaClinton;RT @peterwsinger: This, this is what makes America great. https://t.co/G799KCfBxj
2017-01-28 22:32:44;ChelseaClinton;RT @ACLU: Lawyers are stationed at airports across U.S. If you know someone entering country, tell them not to sign anything before talking…
2017-01-28 21:56:25;ChelseaClinton;RT @Atul_Gawande: 500,000. 500,000. 500,000. This is the moment for Republicans to stand up against Trump for the love of our country. http…
2017-01-28 21:48:34;ChelseaClinton;RT @CoryBooker: Yes. Yet also, on any day this is utter villainy. https://t.co/K3U6vn5Zll
2017-01-28 19:13:33;ChelseaClinton;RT @JonathanBrendle: Today marks the 31st anniversary of the #Challenger Space Shuttle accident, resulting in the loss of 7 NASA astronauts…
2017-01-28 16:36:34;ChelseaClinton;"RT @ReformedBroker: Iraqi hero, who served as interpreter for the US Army’s 101st Airborne Division, now held in detention at JFK

https://…"
2017-01-28 16:36:12;ChelseaClinton;RT @HuffingtonPost: Immigrants from the 7 banned Muslim countries have committed 0 fatal terror attacks in the US https://t.co/dvqpLfyIwf h…
2017-01-28 14:37:04;ChelseaClinton;RT @Newsweek: With her Australian Open win, Serena Williams is now the greatest champion of the modern era https://t.co/vqkhSK44aS https://…
2017-01-28 14:32:51;ChelseaClinton;From one history maker (and role model) to another. Congratulations Serena! https://t.co/i1ts1hCmT2
2017-01-28 03:31:04;ChelseaClinton;"RT @SenBookerOffice: On Holocaust Remembrance Day: never forget that the U.S. denied Anne Frank &amp; her family entry into America as refugees…"
2017-01-28 03:30:35;ChelseaClinton;Yes, it is. Thank you Jake for your leadership. https://t.co/Hztzze2BBh
2017-01-27 21:02:10;ChelseaClinton;YES. https://t.co/1E9Sylw6H7
2017-01-27 17:17:57;ChelseaClinton;Troubling research says young girls are less likely to consider themselves smart. It’s up to us all to empower girls https://t.co/s7ec1InjDK
2017-01-26 21:00:02;ChelseaClinton;Unconscionable in America. We must do more https://t.co/BSFYaerjeh
2017-01-26 19:32:13;ChelseaClinton;"We also love all the Llama Llama books! Anna Dewdney was a treasure &amp; we're grateful she shared so many wonderful L… https://t.co/YzC6eKrG6q"
2017-01-26 18:51:47;ChelseaClinton;"Absolutely agree! Some of our current favorites are Peter Rabbit &amp; the Good Night books https://t.co/q32Lns3mPa"
2017-01-25 21:23:16;ChelseaClinton;RT @2SmallToFail: Sleep strengthens children’s brain connectivity and improves learning abilities. Here is how: https://t.co/wKHqlu8LE9
2017-01-25 19:28:17;ChelseaClinton;"Very grateful to read this. Keeping President George H.W. Bush &amp; his family in my thoughts &amp; prayers https://t.co/dJt8rry9Lj"
2017-01-25 18:50:34;ChelseaClinton;Always enjoy learning more abt the science behind my favorite beverage - #coffee! https://t.co/p93N1ZFNEC
2017-01-25 15:52:05;ChelseaClinton;Engaging classroom science projects like this one are so important to inspire future generations of scientists: https://t.co/yXU1vN2hFT
2017-01-25 02:29:21;ChelseaClinton;RT @SenJeffMerkley: These are tweets that the new Admin has already deleted. RT if you believe in science and oppose Trump's gag order on c…
2017-01-25 00:19:10;ChelseaClinton;RT @SuerieMoon: Open access link: https://t.co/60wPiB9NOp https://t.co/iNh40vwAbA
2017-01-25 00:19:07;ChelseaClinton;"RT @SuerieMoon: Post-Ebola reforms:Ample analysis, inadequate action"" in @bmj_latest @GHC_IHEID @IlonaKickbusch @CHGlobalHealth  @HarvardGH…"
2017-01-24 21:02:07;ChelseaClinton;RT @ClintonFdn: Why innovative #Millennials looking to make a difference attend @CGIU each year: https://t.co/FbVBX2LcNI
2017-01-24 20:34:08;ChelseaClinton;"Incredible &amp; sometimes painful @NASA photos reveal effects of wildfires, droughts, storms &amp; more: https://t.co/TSbNlhzrou"
2017-01-24 19:19:48;ChelseaClinton;"Thank you Maria for the recommendation - will get the book for my daughter &amp; son both to enjoy, learn from &amp; be ins… https://t.co/WxonAciHTC"
2017-01-24 18:45:36;ChelseaClinton;Fantastic story of female scientist whose work is being recognized 300 years later: https://t.co/zeWKGnIy2u #NoCeilings
2017-01-24 16:44:22;ChelseaClinton;"Charlotte &amp; Aidan’s bedtime routines are one of my favorite parts of the day! https://t.co/rwFWJ7JbXy"
2017-01-23 23:04:38;ChelseaClinton;"RT @NARAL: MYTH: Trump bans taxpayer $ for abortion overseas.
FACT: #GlobalGagRule kills funding for ANY health center that even *mentions*…"
2017-01-23 22:34:15;ChelseaClinton;"RT @PIH: “There is very little she wouldn’t do for her patients."" Stories of the women making a difference in the PIH family: https://t.co/…"
2017-01-23 21:59:48;ChelseaClinton;"RT @2SmallToFail: Parents can talk, read &amp; sing w/ their babies starting at birth. Even though they may not use words yet, they’re learning…"
2017-01-23 20:29:14;ChelseaClinton;Good news: https://t.co/l9QQLoMSmK
2017-01-23 18:54:36;ChelseaClinton;RT @dosomething: It's Human Trafficking Awareness Month. Help by writing human trafficking hotline info inside clothes you donate! https://…
2017-01-23 16:48:26;ChelseaClinton;Concerning new research reveals that cervical cancer is more deadly in U.S. than we thought: https://t.co/txC8PQEDXU
2017-01-23 15:44:24;ChelseaClinton;Thank you Peter for the thoughtful review cc: @devisridhar https://t.co/OEyjaKzxh6
2017-01-23 00:43:52;ChelseaClinton;"Very grateful to read this. Keeping President George H.W. Bush &amp; his family in my thoughts &amp; prayers https://t.co/iQs5nVbJuF"
2017-01-22 21:27:15;ChelseaClinton;RT @foxmaxfox: Okay this is a note posted at my grandma's retirement community, apparently 50 people came and her 101 y/o friend marched to…
2017-01-22 17:21:41;ChelseaClinton;Barron Trump deserves the chance every child does-to be a kid. Standing up for every kid also means opposing @POTUS policies that hurt kids.
2017-01-22 15:10:37;ChelseaClinton;RT @AustinTX_NOW: We broke the record for largest gathering in Texas history. #WomensMarch #WomensMarchOnAustin #WomensMarchATX https://t.c…
2017-01-22 03:39:30;ChelseaClinton;RT @JohnWDean: Anti-Trump demos today largest protest in US history. Congratulations and well done. https://t.co/DyBJ0ALz4h
2017-01-22 03:38:19;ChelseaClinton;"RT @MayorOfLA: L.A., thank you for a show of unity, peace &amp; strength. 
#WomensMarch #WomensMarchLA

https://t.co/V6YndOoSkN https://t.co/ld…"
2017-01-22 03:34:33;ChelseaClinton;"RT @halsey: in the next 5 hours each RT = $1 donation by me to @PPact. Please read &amp; share on why PP is important for all women. @CecileRic…"
2017-01-22 00:11:11;ChelseaClinton;"RT @MyDaughtersArmy: London
Paris
Oslo
Toronto

#WomensMarch https://t.co/cvDYfQ0Dhs"
2017-01-22 00:11:09;ChelseaClinton;RT @nickbilton: Nashville, Louisville, San Diego, St. Paul, Wichita, Chicago, Oklahoma, London, Los Angeles, NYC, Washington DC... #WomensM…
2017-01-21 16:43:27;ChelseaClinton;"RT @HillaryClinton: Thanks for standing, speaking &amp; marching for our values @womensmarch. Important as ever. I truly believe we're always S…"
2017-01-19 21:28:52;ChelseaClinton;RT @Newsweek: The FDA has released its first official list of fish that pregnant women should avoid—and yes, tuna is on it https://t.co/NZb…
2017-01-19 21:15:27;ChelseaClinton;RT @2SmallToFail: Early educators, we just released a new tip sheet to help you support young children’s social-emotional development: http…
2017-01-19 21:08:51;ChelseaClinton;Thank you! https://t.co/oK5SJJ5tjz
2017-01-19 18:18:38;ChelseaClinton;Amazing. These city maps rename #NYC subway stops based on popular hashtags associated w their areas: https://t.co/omPaA3v1qj
2017-01-18 22:18:03;ChelseaClinton;RT @edyong209: A really good idea: a global plan to create, test, and prepare vaccines against emerging diseases *ahead of time* https://t.…
2017-01-18 21:48:41;ChelseaClinton;New research confirms again that talking to babies is critical to their language development: https://t.co/q5G6Ayit8b cc: @2SmallToFail
2017-01-18 19:19:14;ChelseaClinton;"RT @NASA: 2016 was the hottest year on record, continuing a decades-long warming trend, according to @NASAGISS &amp; @NOAA: https://t.co/vsbeRX…"
2017-01-18 03:59:32;ChelseaClinton;Thank YOU Mrs. Obama. Hope you had a wonderful birthday https://t.co/zXtbygRxVM
2017-01-17 20:50:26;ChelseaClinton;Fascinating little-known facts abt the deepest parts of our oceans: https://t.co/vKfJP70B7K
2017-01-17 19:44:50;ChelseaClinton;Another reason to love chilis https://t.co/8y211dGxxl
2017-01-17 19:41:29;ChelseaClinton;Proud of the important work these #PLScholars are doing https://t.co/tEJnDWtDXj
2017-01-17 16:15:56;ChelseaClinton;RT @2SmallToFail: Check out these great tips on how to create new routines for your family: https://t.co/U1r7UwmKvS
2017-01-17 14:54:44;ChelseaClinton;Thank you! https://t.co/IlE6nwyIaX
2017-01-16 14:18:03;ChelseaClinton;RT @Upworthy: 5 amazing people doing the work MLK did not live to complete. https://t.co/EJdpTK2qpM
2017-01-16 14:14:04;ChelseaClinton;RT @HistoryToLearn: Thank you for everything, King. May we give and work as hard as you did. #MLKDAY https://t.co/9WK94D9Fgi
2017-01-16 13:50:29;ChelseaClinton;"RT @jbarron1015: ""our lives begin to end the day we become silent about things that matter"" -Martin Luther King Jr."
2017-01-16 13:48:22;ChelseaClinton;"""The time is always right to do what is right."" Thank you Dr. King for your eternal leadership, moral challenge &amp; inspiration #MLKDay"
2017-01-14 14:07:17;ChelseaClinton;"RT @Interior: On #MLKDay, you can visit all national parks, wildlife refuges &amp; public lands for free. RT to spread the word! https://t.co/e…"
2017-01-14 11:57:20;ChelseaClinton;"RT @ASlavitt: ACA repeal affects many who aren't aware.

Here are the people impacted on in one place.

RT if you think helpful. https://t.…"
2017-01-13 18:18:22;ChelseaClinton;RT @glamourmag: It's really important to know what to look for. https://t.co/58c3MoH1ev
2017-01-13 15:38:39;ChelseaClinton;"Have read about 4-year-old Daliyah's special day shadowing @LibnOfCongress multiple times &amp; love it every read! https://t.co/QSwFwnHV4j"
2017-01-13 00:35:53;ChelseaClinton;RT @statnews: 6 surprising things that an ACA repeal could take away https://t.co/4e4GlfW1dP https://t.co/uX5t36NC6g
2017-01-13 00:34:18;ChelseaClinton;This is mesmerizing! https://t.co/925l8oGLJv
2017-01-12 23:00:36;ChelseaClinton;RT @RepTimRyan: LGBTQ American’s never asked for “extra” rights, @RealBenCarson, only that they are afforded equality and respect under the…
2017-01-12 20:46:59;ChelseaClinton;"RT @PIH: “It’s an amazing investment in the future."" Inside the fight for an HIV-free generation: https://t.co/F2vd9xfU58"
2017-01-12 20:32:20;ChelseaClinton;RT @nypl: Happy birthday, Haruki Murakami! Here's what we talk about when we talk about Murakami: https://t.co/rUdcOOEyel https://t.co/EE2O…
2017-01-12 18:45:02;ChelseaClinton;"We must keep working to prevent childhood obesity by helping kids be healthy &amp; active: https://t.co/noSSmiGCmI cc: @HealthierGen"
2017-01-12 17:28:23;ChelseaClinton;RT @NatGeo: These striking aerial photos illustrate humanity's role in changing the Earth's landscape https://t.co/rYoK1ZoYWo
2017-01-12 16:58:15;ChelseaClinton;It’s no secret that smoking is harmful - it also costs the world economy $1 trillion per year: https://t.co/yCv3jCYsrk
2017-01-12 15:37:09;ChelseaClinton;Powerful poems written by girls in India fight stigma surrounding menstrual health: https://t.co/n1TjO69Z4N
2017-01-11 22:21:24;ChelseaClinton;"First Day of Action for 2017 &amp; glad to be back at @CityHarvest for today's #NewDaysResolution! Make yours:… https://t.co/Zu3Vf0NsMY"
2017-01-11 22:10:33;ChelseaClinton;Thank you @CityHarvest for hosting us again! We had a blast working with you! https://t.co/4iRGTwSmHD
2017-01-11 18:49:57;ChelseaClinton;RT @MalalaFund: Malala talks about college, her career hopes and how she can inspire as an adult in @Newsweek's cover story: https://t.co/z…
2017-01-11 18:25:49;ChelseaClinton;"We must decrease carbon emissions &amp; deal w #climatechange. We're running out of time, and no, that's not hyperbole: https://t.co/Kj756FB0zz"
2017-01-11 17:24:00;ChelseaClinton;RT @RepRobinKelly: .@NRA’s “guns everywhere” policies make us less safe. Great @TeenVogue article on supporting #commonsense #gunreform htt…
2017-01-11 16:01:47;ChelseaClinton;"RT @2SmallToFail: Routines provide young children w/ opportunities to learn, bond with their parents &amp; help them cope with transitions. #SED"
2017-01-11 14:58:21;ChelseaClinton;RT @maggiemfox: Asked and answered: Yes, vaccines are safe https://t.co/dUhkOrfqiF via @todayshow
2017-01-11 14:25:11;ChelseaClinton;RT @POTUS: Thank you for everything. My last ask is the same as my first. I'm asking you to believe—not in my ability to create change, but…
2017-01-10 21:11:36;ChelseaClinton;"Important read abt how routines help children &amp; families stay healthy &amp; happy https://t.co/XTQIUZnOPY"
2017-01-10 20:37:23;ChelseaClinton;Very cool map uses Twitter data to show where 100,000 words are most used: https://t.co/5jrJGbpUaq
2017-01-10 17:13:39;ChelseaClinton;Fascinating new discovery may have solved the missing element in Earth’s core: https://t.co/vw7MTj3IVz
2017-01-09 21:33:25;ChelseaClinton;"RT @2SmallToFail: New year, new routines! Ask your children what they want to do more of this year &amp; try to incorporate it as part of your…"
2017-01-09 21:25:01;ChelseaClinton;Thank you all for sharing your talents through this beautiful show. Carrying its message in my heart https://t.co/3n0dPl8Tiy
2017-01-09 17:29:27;ChelseaClinton;These startling graphics show how #climatechange is impacting the Arctic: https://t.co/o7jymogBuy
2017-01-09 16:21:08;ChelseaClinton;Great look at lifesaving work being developed in college classrooms: https://t.co/gMSg6GSNBq
