timestamp;sn;text
2017-02-01 03:50:25;ChrisMurphyCT;It's just me. I do my own tweeting. And you seem lovely, but I'm a little busy these days - don't have time to take… https://t.co/pCOazT9Uxv
2017-02-01 03:29:54;ChrisMurphyCT;Senate Republicans tomorrow when asked about the precedent set by their treatment of Merrick Garland. https://t.co/dCE5458hnw
2017-02-01 00:49:46;ChrisMurphyCT;"RT @nowthisnews: Watch Sen. Chris Murphy tell the heartbreaking story of one family torn apart by Trump’s refugee &amp; travel ban https://t.co…"
2017-01-31 22:37:25;ChrisMurphyCT;"I'm on the Senate floor now speaking out against Tillerson, his lack of experience &amp; his record of putting profits before country at Exxon"
2017-01-31 22:17:21;ChrisMurphyCT;Heading down to the Senate floor to urge my colleagues to vote no on Rex Tillerson for Secretary of State. Watch soon on CSPAN-2
2017-01-31 21:51:11;ChrisMurphyCT;Wrong again, @NRA!  Once Paul Blart: Mall Cop 2 didn't get a nomination, I stopped paying attention. https://t.co/kLdKMLciG4
2017-01-31 21:49:50;ChrisMurphyCT;Wrong.  Go Giants (they're in the Super Bowl, right?). https://t.co/zYcElkBT8O
2017-01-31 21:48:45;ChrisMurphyCT;Can't believe I missed this yesterday - the NRA went on a little tweetstorm about me.  So cute! https://t.co/DeehtuXgWJ
2017-01-31 20:56:15;ChrisMurphyCT;Iraqi interpreters put their lives on the line for American troops. President Trump slammed the door in their faces https://t.co/Nygzaxo22m
2017-01-31 19:57:46;ChrisMurphyCT;CT Residents -- Today, January 31st, is the last day to #GetCovered. Visit https://t.co/RMZRkMGUax to sign up https://t.co/lnPIVqJJCm
2017-01-31 19:16:32;ChrisMurphyCT;RT @NPRKelly: Reached out to 13 nat sec officials, to ask basic q: will travel ban will make country safer? Unanimous answer: no. https://t…
2017-01-31 18:45:26;ChrisMurphyCT;"To everyone who braved the cold &amp; came out to my #Hartford office to show their support - Thank you. I've got your back and I will fight."
