timestamp;sn;text
2017-01-31 22:48:08;ClintonFdn;"RT @DonnaShalala: ""We are the future"" —Muzoon Almellehan, student and education advocate, at #CGI2016 https://t.co/khkjGBW4J7"
2017-01-31 18:16:01;ClintonFdn;As we prepare to announce #CGIU2017, see how entrepreneurial Millennials are innovating for impact: https://t.co/pgM2ZlEvBN
2017-01-31 17:12:00;ClintonFdn;"ICYMI: Meet the 2017 class of Presidential Leadership Scholars &amp; learn about their commitment to service: https://t.co/rnd74yi1aR"
2017-01-30 21:44:04;ClintonFdn;RT @ClintonCenter: Proud to announce the 2017 class of Presidential Leadership Scholars. Join us in congratulating them! https://t.co/pgEZG…
2017-01-28 18:16:02;ClintonFdn;Advice for the new class of #PLScholars from alumni whose lives were strengthened by service:… https://t.co/kvd7f2QdKJ
2017-01-28 17:12:01;ClintonFdn;See why we're continuing to partner this year to develop playgrounds w/ early literacy themes:… https://t.co/FwrSffQtYV
2017-01-28 16:08:01;ClintonFdn;"Helping:
✔ 835K+ children's books get distributed
✔ 5K laundromats access resources for kids
✔ 125K+ moms get resea… https://t.co/IFiA1Yt8ql"
2017-01-27 18:16:03;ClintonFdn;Meet the six @CGIU participants named @Forbes #30Under30 this year: https://t.co/d02ZXJrmWM https://t.co/6YXZzfNXae
2017-01-27 17:12:01;ClintonFdn;ICYMI: @Refinery29 joined as we kicked off our first #DayofAction in 2017 at @CityHarvest: https://t.co/EVoeqiyWOg https://t.co/lqWMVAwGfo
2017-01-27 16:08:01;ClintonFdn;As we prepare to announce the next class of #PLScholars, a look at what a few alumni have accomplished:… https://t.co/Qe9n6xaX0y
2017-01-27 15:41:15;ClintonFdn;RT @2SmallToFail: Learn how our #TalkingIsTeaching playgrounds are helping parents spark rich conversations w/ their children → https://t.c…
2017-01-26 19:20:01;ClintonFdn;.@CGIU students are confronting some of the biggest global health challenges of our time: https://t.co/JUHFiNQKlo https://t.co/4ajJvZzd6I
2017-01-26 18:16:08;ClintonFdn;4 ways colleges can empower student entrepreneurs to change the world, via @mashable → https://t.co/7uUW538HMc https://t.co/DJnC7tFB0C
2017-01-26 17:12:00;ClintonFdn;"""No one is too old or too young to make a difference"" —@ChelseaClinton via @VentureBeat: https://t.co/Zfw3aQAvLq"
2017-01-25 23:10:17;ClintonFdn;RT @DonnaShalala: If you're a current college or university student, stay tuned for an announcement about #CGIU2017! https://t.co/mVlu8YiDf4
2017-01-25 17:12:02;ClintonFdn;"Students at @CGIU have taken real, concrete steps toward solving local &amp; global challenges →… https://t.co/jAKocQzxJD"
2017-01-25 16:08:00;ClintonFdn;Watch: @ChelseaClinton shares advice for @CGIU's next class of student changemakers: https://t.co/VE4FjEARQg
2017-01-24 19:20:00;ClintonFdn;"Each year, @CGIU brings together 1,000+ students to take action toward solving local &amp; global challenges: https://t.co/pgM2ZlEvBN #CGIU2017"
2017-01-24 18:16:04;ClintonFdn;See why we're continuing to partner this year to develop playgrounds w/ early literacy themes→… https://t.co/Oj6KnXIteB
2017-01-24 17:12:00;ClintonFdn;Timeline: Celebrating 15 years of improving lives around the world. https://t.co/nWEg875KDD
2017-01-23 20:11:00;ClintonFdn;Why innovative #Millennials looking to make a difference attend @CGIU each year: https://t.co/FbVBX2LcNI
2017-01-23 18:16:04;ClintonFdn;As we prepare to announce #CGIU2017, learn about the 6 past participants named #30Under30 this year:… https://t.co/iy2lsegnfm
2017-01-23 16:58:00;ClintonFdn;“This is the model: Creating cooperation across networks” —Pres. @BillClinton on opportunity and impact of @CGIU: https://t.co/Zfw3aQAvLq
2017-01-23 15:26:20;ClintonFdn;RT @HealthierGen: What's your #NewDaysResolution? Pick one day and do something healthy. Make yours now→ https://t.co/pioGphWkP0 https://t.…
2017-01-22 18:02:02;ClintonFdn;.@Refinery29 joined as we kicked off our first #DayofAction in 2017 at @CityHarvest: https://t.co/EVoeqiyWOg https://t.co/5gYNwJfvfO
2017-01-22 16:58:01;ClintonFdn;Advice for the new class of #PLScholars from alumni whose lives were strengthened by service:… https://t.co/EpMtD22PCn
2017-01-22 16:08:16;ClintonFdn;RT @2SmallToFail: Early educators, we just released a new tip sheet to help you support young children’s social-emotional development: http…
2017-01-19 20:24:03;ClintonFdn;"“We want young people to set goals they can really reach” —@ChelseaClinton on a new health &amp; wellness campaign:… https://t.co/dd1CNNiSGe"
2017-01-19 18:16:04;ClintonFdn;See why we're continuing to partner this year to develop playgrounds w/ early literacy themes:… https://t.co/wIEUzjs9ir
2017-01-19 17:31:06;ClintonFdn;As we prepare to announce the next class of #PLScholars, a look at what a few alumni have accomplished:… https://t.co/GP5EtE7Sst
2017-01-18 22:07:53;ClintonFdn;"RT @MinassianMedia: .@Philanthropy explored @ClintonGlobal's impact &amp; legacy after the final CGI Annual Meeting was held last Sept. https:/…"
2017-01-18 18:40:02;ClintonFdn;"RT @2SmallToFail: We partnered w/ @USEdgov &amp; @HHSGov to develop resources for parents &amp; caregivers on social-emotional development → https:…"
2017-01-18 18:16:05;ClintonFdn;".@ChelseaClinton on volunteerism and a new campaign to promote health &amp; wellness goals: https://t.co/EVoeqiyWOg via… https://t.co/Kvqg3sBUCZ"
2017-01-18 17:01:53;ClintonFdn;Last week, @ChelseaClinton made a #NewDaysResolution to spend time volunteering. See why: https://t.co/7SblluBnNB https://t.co/01o9yEMXRD
2017-01-17 23:00:00;ClintonFdn;On #MLKDay three community leaders shared stories of service: https://t.co/NpERagW4Tb
2017-01-17 19:20:00;ClintonFdn;"Meet six @CGIU alumni named @Forbes #30Under30 &amp; see how they're making a difference around the world: https://t.co/6UQHAycQcy"
2017-01-17 18:15:01;ClintonFdn;"Students at @CGIU have taken real, concrete steps toward solving local &amp; global challenges → https://t.co/74l9tyG0Re https://t.co/ZHtwxeGN8F"
2017-01-16 22:09:20;ClintonFdn;RT @ClintonCenter: This #MLKDay, three #PLScholars share their stories of service:  https://t.co/PNyeFrOjhC. https://t.co/H6Jgp3ihDY
2017-01-16 16:14:29;ClintonFdn;RT @billclinton: Life's most persistent and urgent question is, “What are you doing for others?”— Dr. Martin Luther King, Jr. #MLKDay
2017-01-15 19:06:01;ClintonFdn;Brokered voluntary agreements w/ leading beverage manufacturers to replace full-calorie soft drinks in schools →… https://t.co/geztxobGbo
2017-01-15 18:02:02;ClintonFdn;"#ClintonFoundation Impact: 20 million U.S. students have access to healthier meals &amp; physical activity.… https://t.co/VFGmjMzcSE"
2017-01-15 16:58:01;ClintonFdn;"Helping:
✔ 835K+ children's books get distributed
✔ 5K laundromats access resources for kids
✔ 125K+ moms get resea… https://t.co/mma2ASQ3fM"
2017-01-14 21:38:39;ClintonFdn;RT @DonnaShalala: Proud to share the latest updates on the work of the @ClintonFdn: https://t.co/Kg65zcNmUH
2017-01-14 19:06:00;ClintonFdn;.@BarbershopBooks is setting up child-friendly reading spaces in barbershops in 11 U.S. cities for boys age 4 to 8. https://t.co/OwFdEfxLcl
2017-01-14 18:02:01;ClintonFdn;20 playgrounds with early literacy themes are being developed across the United States. https://t.co/BL1KXWliGb https://t.co/BF0ucjbrJn
2017-01-14 16:58:01;ClintonFdn;"Parents are using playgrounds as places to talk, read, &amp; sing to their kids. Here's why: https://t.co/NocSh5KLUE https://t.co/VCLpwarJEr"
2017-01-13 18:02:00;ClintonFdn;"""If we're making progress for only half the world's population—that's not progress"" —@ChelseaClinton via @VICE: https://t.co/No3scEOOqd"
2017-01-13 16:58:00;ClintonFdn;Timeline: Celebrating 15 years of improving lives around the world. https://t.co/nWEg87nlvb
2017-01-13 16:08:00;ClintonFdn;"""Investing in people is always a smart choice"" —@JimYongKim reflects on @ClintonGlobal impact: https://t.co/ErggoURcgQ"
2017-01-12 22:50:35;ClintonFdn;Magalie's business has improved the lives of hundreds of women in #Haiti → https://t.co/NRKYV6B2Zu https://t.co/HFLxjuOlK8
2017-01-12 21:28:01;ClintonFdn;The future of #Haiti is in the hands of women-led businesses like @Caribbean_Craft: https://t.co/xWLzzST9mc https://t.co/uAWVRO2ZKA
2017-01-12 16:08:02;ClintonFdn;A look at some of the people and programs working toward a brighter future for #Haiti: https://t.co/zocejK266p https://t.co/ZX6YEB62j5
2017-01-12 15:58:34;ClintonFdn;RT @DonnaShalala: Thanks @Wichcraft for fueling the @ClintonFdn team before our first #DayOfAction in 2017. Delicious as always! https://t.…
2017-01-11 22:22:36;ClintonFdn;"RT @ChelseaClinton: First Day of Action for 2017 &amp; glad to be back at @CityHarvest for today's #NewDaysResolution! Make yours: https://t.co…"
2017-01-11 21:52:04;ClintonFdn;RT @CityHarvest: Today @ChelseaClinton and staff from the @ClintonFdn repacked 25,000 pounds of grapefruit for us to distribute to our hung…
2017-01-11 21:01:13;ClintonFdn;"CharityWatch President says @ClintonFdn ""would be seen as one of the great humanitarian charities of our generation… https://t.co/a6NNl1iNwD"
2017-01-11 19:33:05;ClintonFdn;We view artisanship as one of Haiti’s greatest inexhaustible resources. https://t.co/6UQCpVI4g8
2017-01-11 18:01:16;ClintonFdn;Seven years after the earthquake, a look at what’s working to improve life for families in #Haiti: https://t.co/kbtC57qk8W
2017-01-10 19:20:01;ClintonFdn;"We support:
✔ healthy &amp; active communities
✔ leadership &amp; community service
✔ early brain &amp; language development https://t.co/uOzlfmei2z"
2017-01-10 18:16:02;ClintonFdn;Healthy kids have higher attendance rates, higher test scores, and behave better in class → https://t.co/BL1KXWliGb https://t.co/3cqerEBHNl
2017-01-10 17:12:01;ClintonFdn;"See why 20M+ students in nearly 35K U.S. schools have access to healthier meals &amp; more physical activity options:… https://t.co/oD2MgbQQin"
2017-01-10 16:41:33;ClintonFdn;"RT @HealthierGen: Instead of making a New Year’s Resolution, try a #NewDaysResolution.
Pick one day and do something healthy→ https://t.co/…"
2017-01-09 19:06:59;ClintonFdn;How can you get others to support your cause? @ChelseaClinton shared @GOOD advice at #CGI2016: https://t.co/BvH6xawGWx
2017-01-09 18:03:00;ClintonFdn;"""It’s up to the entire community to make it easier for kids to choose health"" —@HealthierGen CEO Howell Wechsler https://t.co/Jjz8iALTry"
2017-01-09 16:58:35;ClintonFdn;#DYK: 90% of us break our New Year’s resolutions. That’s why @HealthierGen is making a #NewDaysResolution instead:… https://t.co/0GqiPwNBu3
2017-01-08 19:06:05;ClintonFdn;Take a peek behind the numbers to see how the #ClintonFoundation is making a measurable difference around the world… https://t.co/wdUhTJVU7t
2017-01-08 17:12:02;ClintonFdn;"Helping:
✔ 2.9M+ U.S. kids access preventive health care
✔ 20M+ U.S. students get healthier meals
✔ All U.S. high s… https://t.co/hFCzGXrHlt"
2017-01-08 16:08:01;ClintonFdn;"What’s the @ClintonFdn doing to advance opportunity for #girls &amp; #women? Ask @InsidePhilanthr:… https://t.co/FP7tM9QC1t"
2017-01-07 19:20:46;ClintonFdn;"""We're defined by how we respond"" —@RajPanjabi reflects on @ClintonGlobal #ebola response: https://t.co/iNqlTPLUq9 https://t.co/RcEL7qCy9x"
2017-01-07 18:16:59;ClintonFdn;"""@Airbnb, @ProcterGamble, and @Unilever are partnering w/ the @ClintonFdn to invest over $70m in #women."" https://t.co/UUdhqnyBzs"
2017-01-07 17:12:06;ClintonFdn;".@ChelseaClinton announces “Girls, Women &amp; the Global Goals” coalition. Watch 11 inspiring moments from 2016:… https://t.co/cXHC4lRmh3"
