timestamp;sn;text
2017-01-31 16:39:15;CollegeDems;RT @TheDemocrats: Today is the LAST DAY to buy health insurance for 2017 on https://t.co/cUaYP7TbZj — RT and spread the word. https://t.co/…
2017-01-30 01:10:19;CollegeDems;RT @TheDemocrats: Democrats across the country stood with immigrants and refugees today. Add your name if you're with them: https://t.co/Ja…
2017-01-28 22:02:10;CollegeDems;RT @TheDemocrats: The United States was built by immigrants and refugees. Donald Trump's Muslim ban is immoral and illegal. The GOP should…
2017-01-28 22:02:07;CollegeDems;RT @TheDemocrats: Thank you, @RepJerryNadler and @NydiaVelazquez, for putting our values into action. https://t.co/xhBJOL0VzR
2017-01-28 22:02:00;CollegeDems;RT @TheDemocrats: The @ACLU is taking legal action to support immigrants' rights. Learn about their work and how you can help: https://t.co…
2017-01-26 03:06:47;CollegeDems;RT @TheDemocrats: Thanks, Obama. https://t.co/ChT7A2zlLW
2017-01-25 00:16:17;CollegeDems;"RT @TheDemocrats: These are women's issues:
✓ Heath care
✓ Education
✓ Criminal justice reform
✓ Climate change
And we're still fighting. h…"
2017-01-24 15:56:17;CollegeDems;"In her Senate testimony, Betsy DeVos showed just how unqualified she is.

Help make calls to stop her: https://t.co/p4FT4ZJ0Jd"
2017-01-24 01:50:55;CollegeDems;RT @TheDemocrats: Fight back: https://t.co/0DQLVvL2j0 https://t.co/KhbtWM08i5
2017-01-24 01:50:40;CollegeDems;RT @TheDemocrats: Fired up after a weekend of action? Now stand and fight with Democrats to protect health care: https://t.co/JGxl9c6KEs ht…
2017-01-23 00:47:35;CollegeDems;RT @TheDemocrats: This was just the first day. We will not go away. https://t.co/wfJqKnbl4G
2017-01-20 02:06:07;CollegeDems;For eight years President Obama has been a champion for all of us. Let's protect the legacy he leaves behind:… https://t.co/RUisqLUCL2
2017-01-20 01:24:25;CollegeDems;VP Joe Biden is an inspiring and devoted public servant, and we are so proud to have had him in the White House for… https://t.co/VtcM29ALyc
2017-01-20 00:02:25;CollegeDems;Dr. Biden's commitment to education as a professor and champion of community college inspires us to keep fighting f… https://t.co/LJ16CM2qOH
2017-01-19 21:33:21;CollegeDems;"Thank you, Mrs. Obama, for being a champion for children's healthy choices &amp; a role model for young Americans reach… https://t.co/TP6HTUAFso"
2017-01-19 21:31:01;CollegeDems;RT @TheDemocrats: Don’t miss Sen. Casey standing up for homeowners by grilling “foreclosure king” Mnuchin. https://t.co/BkDOr9YPoo
2017-01-19 01:02:19;CollegeDems;"RT @TheDemocrats: Betsy DeVos has proven that she is wholly unqualified to lead the Department of Education.

Call your senators: https://t…"
2017-01-18 22:20:29;CollegeDems;We must #SaveACA for the more than 20 million Americans who now have access to quality, affordable health care than… https://t.co/zITsveiVlV
