timestamp;sn;text
2017-01-26 21:55:50;DanMalloyCT;"Great conversation with @KatyTurNBC. Headline is right. We're going to protect people.
https://t.co/su8briK9Wi"
2017-01-24 19:31:01;DanMalloyCT;This country must continue to invest in a clean energy future. https://t.co/koc1fMaOs0
2017-01-21 18:04:35;DanMalloyCT;Lots of people marching in Hartford today. Our voices will be heard. #WomensMarch https://t.co/i6EfkXCZXo
2017-01-21 15:02:33;DanMalloyCT;Peaceful transfer of power is foundational principle of democracy. So too is the right to peacefully assemble and h… https://t.co/FbPpK1wj7i
2017-01-20 20:10:13;DanMalloyCT;"RT @DemGovs: .@DanMalloyCT: A focus on gov races is critical for the future of our country
Read: https://t.co/nYFzUFeOpw  via @CNN #CTGov #…"
2017-01-20 16:25:08;DanMalloyCT;Thanks, President Obama. https://t.co/6GLfMXFcpI
2017-01-18 18:02:01;DanMalloyCT;Common sense. Guns should not be allowed in schools.  https://t.co/2mFrhU007r
2017-01-17 18:45:01;DanMalloyCT;RT @GovMalloyOffice: Wishing a very happy birthday to @FLOTUS! Thank you for all you have done for our country. You continue to be an inspi…
2017-01-16 18:00:03;DanMalloyCT;"49 years after his death, we need Dr. King’s voice now more than ever. #MLKDay
https://t.co/lQjn5oTT7H"
2017-01-14 18:54:01;DanMalloyCT;"Why I am attending the Trump inaugural. 
https://t.co/oTgKQuouWB"
2017-01-14 04:04:01;DanMalloyCT;Had a great conversation with @LucyVN on @wherewelive this am. Give it a listen → https://t.co/ki2Aql2lS4
2017-01-13 17:40:33;DanMalloyCT;Huge news for our state. CT leads nation in eliminating chronic homelessness. #CTProgress https://t.co/W1kd9atwto
2017-01-13 14:09:43;DanMalloyCT;Live on @wherewelive. Tune in to @wnpr: https://t.co/n8MNct7hPe
2017-01-12 22:02:56;DanMalloyCT;RT @GovMalloyOffice: Congrats to @VP Biden on receiving the Presidential Medal of Freedom. He's been a great friend and served our nation w…
2017-01-12 18:57:38;DanMalloyCT;RT @uwgnh: We did it CT! Every verified chronically homeless person has been matched to housing! @CCEHtweets @DanMalloyCT https://t.co/mqEb…
2017-01-10 20:30:00;DanMalloyCT;Great economic news for CT! Electric Boat poised to hire 1,350 for Groton sub work. https://t.co/khCJ25jNAr
2017-01-09 18:05:01;DanMalloyCT;Repealing Obamacare would be disastrous. https://t.co/mHGgWTV1ZS
