timestamp;sn;text
2017-02-01 01:09:58;DarrenJJordan;"RT @realDonaldTrump: Join me live from the @WhiteHouse.
https://t.co/LHOs4nAaGl"
2017-01-31 16:17:43;DarrenJJordan;.@SandraOpines @jerieblack @politico Thank you Sandra. Great work!
2017-01-31 16:16:36;DarrenJJordan;THANK YOU @SandraOpines FOR POINTING OUT THE TRUTH FROM @joshrogin's HYPERBOLIC #FAKENEWS OP-ED. GREAT WORK! 💥👍 https://t.co/7TuYaOfKky
2017-01-31 15:53:19;DarrenJJordan;.@jerieblack I agree. Ari tells it straight. Josh Rogin should be ashamed. Speaking of...here's another total lie. https://t.co/mBhwGxHF1H
2017-01-31 15:50:41;DarrenJJordan;.@Maxx0320 @SpecialKMB1969 @joshrogin @nytimes @DanScavino @DefendingtheUSA UR kidding? He'll probably get a Pulitzer from the globalists.
2017-01-31 15:49:24;DarrenJJordan;.@themadhatter355 @elwhyessayy @SenSchumer @DanScavino @DefendingtheUSA True. And thank you for your service, sir.
2017-01-31 15:46:16;DarrenJJordan;.@sushi328 @jdmcnamara @SenSchumer @DanScavino @DefendingtheUSA And Schumer misses the bigger point for sake of political survival.
2017-01-31 15:44:20;DarrenJJordan;.@1jelliott1 That's right. When snakes like Schumer resort to crying crocodile #FAKETEARS, it's over. The Dems are beaten. DONE. BA-BYE.
2017-01-31 15:40:41;DarrenJJordan;.@elwhyessayy @SenSchumer @DanScavino @DefendingtheUSA WELL SAID.
2017-01-31 15:40:26;DarrenJJordan;"RT @elwhyessayy: @DarrenJJordan @SenSchumer @DanScavino @DefendingtheUSA And yet no tears shed for death of Americans; soldiers; Vets; Chic…"
2017-01-31 15:38:33;DarrenJJordan;RT @Dbargen: Outta my way Buffoons! -Gary @Varvel cartoon #TCOT #MAGA #DrainTheSwamp #BuildTheWall #ThankYouTrump @RealDonaldTrump https://…
2017-01-31 15:37:27;DarrenJJordan;.@RAMSEYHOUSE Schumer will shill for anyone paying his salary.
2017-01-31 15:36:49;DarrenJJordan;.@sjay5essex Thanks!
2017-01-31 15:34:58;DarrenJJordan;.@SLJLG To be fair, the @nytimes was reporting accurately (this time). The #FAKENEWS allegedly came from @joshrogin at the @washingtonpost.
2017-01-31 15:31:03;DarrenJJordan;".@eaton_deb @joshrogan @nytimes That's entirely possible &amp; brilliant. Set up the MSM the way Trump gets set up. Then laugh at #FAKENEWS lies"
2017-01-31 15:28:20;DarrenJJordan;".@jerieblack Either @joshrogin is a LIAR or his ""source"" is a LIAR. It's my opinion that there was NO SOURCE. Just made up #FAKENEWS LIES."
2017-01-31 14:11:41;DarrenJJordan;.@joshrogin @nytimes YOU HAD NO INSIDER SOURCE, JOSH. JUST MORE HYPERBOLIC #FAKENEWS. A COMPLETE LIE. TRUMP WAS NEV… https://t.co/EfBDCPWSGM
2017-01-31 13:31:25;DarrenJJordan;I just can't get enough of this! LMAOROTF!😂 https://t.co/Ji4RIn3Id4
2017-01-31 13:26:12;DarrenJJordan;RT @realDonaldTrump: When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No won…
2017-01-31 13:26:01;DarrenJJordan;RT @realDonaldTrump: Nancy Pelosi and Fake Tears Chuck Schumer held a rally  at the steps of The Supreme Court and mic did not work (a mess…
2017-01-31 13:25:53;DarrenJJordan;RT @realDonaldTrump: The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now…
2017-01-31 01:32:20;DarrenJJordan;@carpediem1013 @immigrant4trump @SenSchumer @DanScavino @DefendingtheUSA OMG! LMAOROTF! That's PERFECT! You win the internet tonight!
2017-01-31 01:21:56;DarrenJJordan;.@realDonaldTrump @SenSchumer @DanScavino @DefendingtheUSA Ever wonder what happens to Schumer's #FakeTears? https://t.co/A28WBi8px3
2017-01-31 01:15:22;DarrenJJordan;RT @immigrant4trump: TRUMP: ’I noticed Chuck Schumer yesterday with fake tears. I’m going to ask him who is his acting coach’ #Trump #Maga…
2017-01-31 01:11:00;DarrenJJordan;"CHUCK SCHUMER #BESTACTOR!
#CryMeARiver #FakeTears😭
#AcademyAwards #MuslimBan
#First100Days #First100
#MAGA #POTUS💥… https://t.co/2vAK0faYuH"
2017-01-31 01:06:53;DarrenJJordan;RT @TruthFeedNews: VIDEO : Sen. Tom Cotton GOES OFF on Chuck Schumer Over CIA Vote https://t.co/YsF7IgwHEy #maga #trumptrain #trump2016
