timestamp;sn;text
2017-02-01 04:19:41;dmartosko;"RT @jamestaranto: 1. I don't think nuke option will be necessary this time.
2. I think McConnell would do it. Question is if he'd have 51 v…"
2017-02-01 04:19:23;dmartosko;"@HomerSpits @maggieNYT We don't know what else is on that phone. And that's a big ""if"""
2017-02-01 04:18:18;dmartosko;@DawnMMonaghan I went to high school with him, so I have a soft spot. I'll defer to you.
2017-02-01 04:17:44;dmartosko;@SeIpsa @Heritage In this case it was the Federalist Society. With respect to the high court, he could do a lot worse.
2017-02-01 04:16:26;dmartosko;He still has an unsecured Android phone, per @maggieNYT https://t.co/lZS4Dd6J0p
2017-02-01 04:15:29;dmartosko;"RT @bradheath: Also, like Scalia, Judge Gorsuch can write. 
(Dissent in a case over a 13 y/o arrested and sent to juvi for burping in gym c…"
2017-02-01 04:14:15;dmartosko;RT @AriFleischer: Remember this: Eric Holder: 'I'm still the president's wingman'   Where were the howls of liberal protest then? https://t…
2017-02-01 04:13:44;dmartosko;RT @evanasmith: .@washingtonpost reports @JusticeWillett was on shortlist of six finalists for SCOTUS https://t.co/Kk61b4xarJ #txlege
2017-02-01 04:13:07;dmartosko;The more Trump finds moments like this to unify the GOP, the better he will look. https://t.co/TFSeOqfdnQ
2017-02-01 04:12:25;dmartosko;This is embarrassing, unless it was a Secret Service decision based on a credible threat. Then it's lamentable and… https://t.co/4QlGqiGLrY
2017-02-01 04:11:13;dmartosko;A beach in Maine? Awesome. Wow. https://t.co/09rLVcg6x7
2017-02-01 04:10:02;dmartosko;"RT @TwitchyTeam: Protesters outside Supreme Court already waving their preprinted anti-Gorsuch signs; Conservatives cheer https://t.co/QuXV…"
2017-02-01 04:09:34;dmartosko;You've gone full buffoon https://t.co/DOrcHfb9lq
2017-02-01 04:09:00;dmartosko;RT @dcexaminer: Gorsuch was confirmed unanimously in 2006 https://t.co/8of3qQUov3 https://t.co/hQbT2G6I9i
