timestamp;sn;text
2017-02-01 04:48:04;DonaldJTrumpJr;RT @LisaMarieBoothe: For those who doubted, @realDonaldTrump kept his promise to voters tonight.
2017-02-01 03:33:14;DonaldJTrumpJr;RT @newtgingrich: When Rachel Maddow says Judge Gorsuch is as mainstream as a GOP president will pick how does Schumer keep saying no?
2017-02-01 02:21:52;DonaldJTrumpJr;An incredible moment to be able to witness firsthand. History in the making.   Congratulations #NeilGorsuch #scotus https://t.co/Lc8u4hLQjO
2017-02-01 02:19:57;DonaldJTrumpJr;RT @seanmdav: Obama's solicitor general says liberals should support Neil Gorsuch. https://t.co/PSVlqZ9W7Y
2017-02-01 02:19:01;DonaldJTrumpJr;RT @TuckerCarlson: .@tedcruz to Democrats: What has changed since a decade ago when you confirmed Judge Gorsuch unanimously? -TCT #Tucker @…
2017-02-01 02:16:24;DonaldJTrumpJr;"RT @CRNC: If you're listening to @NancyPelosi tonight, get the facts on @POTUS's nominee for the Supreme Court here --&gt; https://t.co/gdSgRb…"
2017-02-01 02:15:03;DonaldJTrumpJr;RT @RepLouBarletta: Judge Gorsuch will make a solid, conservative addition to the Supreme Court.  Excellent choice. https://t.co/CPUbUlXkED
2017-02-01 02:14:15;DonaldJTrumpJr;"RT @kevcirilli: From WH: ""Dems—including Schumer, Leahy, and Feinstein—found him sonon-controversial that he was confirmed by voice vote t…"
2017-02-01 01:01:19;DonaldJTrumpJr;About to witness something historic. #scotus #supremecourt #maga https://t.co/ThHxWSSKaM
2017-01-31 15:42:44;DonaldJTrumpJr;RT @FoxNews: Breaking News: The Senate Committee approves Rep. Ryan Zinke for interior secretary. https://t.co/6GSTiQQmA1
2017-01-31 12:49:24;DonaldJTrumpJr;RT @politico: White House says it will keep Obama-era LGBTQ worker protections https://t.co/T8P7FjxTyA
2017-01-31 12:32:21;DonaldJTrumpJr;"RT @GovMikeHuckabee: Media going more ape than usual because @Potus expects ppl who work FOR him to act like it; Media still don't get it--…"
2017-01-31 12:31:10;DonaldJTrumpJr;RT @realDonaldTrump: When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No won…
2017-01-31 00:46:25;DonaldJTrumpJr;Vanessa in the halls of The Capital Building before the #inauguration 10 days ago. #MAGA #trump #america #usa https://t.co/bK3Z3h08ON
2017-01-30 22:54:54;DonaldJTrumpJr;RT @GOP: With less regulation and greater freedom to pursue new ventures, small businesses will once again flourish in the United States. h…
2017-01-30 21:19:53;DonaldJTrumpJr;RT @realDonaldTrump: The American dream is back. We’re going to create an environment for small business like we haven’t had in many, many…
2017-01-30 16:59:38;DonaldJTrumpJr;RT @KellyannePolls: #fakenews. Rush to judgment. https://t.co/h8zoKH4FDr
2017-01-30 16:57:54;DonaldJTrumpJr;"RT @ABC: Pres. Trump signs executive order stating that he said will ""dramatically reduce federal regulations"" on businesses. https://t.co/…"
2017-01-30 15:55:47;DonaldJTrumpJr;RT @charliekirk11: #BREAKING: Trump signs executive order requiring that for every one new regulation, two must be repealed  https://t.co/3…
2017-01-30 15:55:27;DonaldJTrumpJr;RT @FoxNews: .@POTUS signs an executive order on regulatory reform. https://t.co/oBHPgRU3aN
2017-01-30 01:02:50;DonaldJTrumpJr;Took Kai and Donnie skating tonight... did great but I think they both are a bit more comfortable on skis. #skating https://t.co/nKzQaDUPjL
2017-01-29 00:15:45;DonaldJTrumpJr;The smurf (Chloe) wanted to try skiing again. She's picking it up fast. Must have her grandma Ivana's genes. #skiing https://t.co/fKcthUn1RT
2017-01-28 00:19:41;DonaldJTrumpJr;It looks like Chloe borrowed/stole a Marine's cover last week at The White House. I'm in big trouble in a few years😂 https://t.co/DRKO5MvDV7
2017-01-27 21:18:22;DonaldJTrumpJr;RT @SheriffClarke: I knew Donald Trump would be a GREAT President. He reached it faster than anticipated however. Damn this is going to be…
