timestamp;sn;text
2017-01-01 05:01:24;RealBenCarson;Happy New Year!
2016-12-25 16:30:43;RealBenCarson;Merry Christmas!
2016-12-09 01:26:00;RealBenCarson;For information and updates on the Inauguration make sure you follow @TrumpInaugural.
2016-12-08 17:16:26;RealBenCarson;Welcome to twitter @TrumpInaugural. Looking forward to the big day!
2016-12-07 15:13:30;RealBenCarson;Dec 7, 1941 is a day that will forever be written in the pages of American history. https://t.co/BEE442bwBG
2016-12-05 15:03:36;RealBenCarson;https://t.co/yM9AL0pk8C
2016-12-05 14:09:30;RealBenCarson;RT @realDonaldTrump: I am thrilled to nominate Dr. @RealBenCarson as our next Secretary of the US Dept. of Housing and Urban Development: h…
2016-11-29 23:46:19;RealBenCarson;RT @carsonscholars: Only 10 more hours to donate! Help CSF by giving the most valuable gift of all…education. https://t.co/5FT8Xc7kdR #Givi…
2016-11-29 23:46:14;RealBenCarson;RT @carsonscholars: TODAY is #GivingTuesday! Change a student’s life and help @carsonscholars raise $40,000 toward education! https://t.co/…
2016-11-24 21:27:02;RealBenCarson;"Happy Thanksgiving &amp; God Bless America! https://t.co/NVTYZB6bt8"
2016-11-24 21:16:03;RealBenCarson;Our commonalities far outweigh our differences, and we must focus on what unites us all, instead of what divides us.
2016-11-24 21:03:07;RealBenCarson;"Let us not forget our men &amp; women in uniform around the world. Nor should we forget the homeless man &amp; woman that society easily overlooks."
2016-11-24 20:44:03;RealBenCarson;With so much division in our country and chaos in the world, it's easy to forget how blessed we all truly are.
2016-11-23 16:43:36;RealBenCarson;An announcement is forthcoming about my role in helping to make America great again. https://t.co/jGRyzFRBAK
2016-11-23 16:39:42;RealBenCarson;"We have much work to do in strengthening every aspect of our nation and ensuring that both our physical &amp; spiritual infrastructure is solid."
2016-11-22 21:31:43;RealBenCarson;RT @FoxNews: .@RealBenCarson: “[HUD position] was one of the offers that’s on the table.” https://t.co/Z7cC5YhiUV
2016-11-22 21:31:33;RealBenCarson;RT @FoxNews: .@RealBenCarson: “Our inner cities are in terrible shape and they definitely need some real attention.” https://t.co/Px7nfbnXSZ
2016-11-22 13:16:41;RealBenCarson;BET founder: 'If black Americans can turn the Republican Party into a friend, they should do it.' - CNN https://t.co/ysjki7z651
2016-11-21 21:01:48;RealBenCarson;President elect Trump is a good judge of people and their intentions. He will be able to properly assess the... https://t.co/d7T773Qyjw
2016-11-21 14:19:15;RealBenCarson;RT @FoxNews: .@RealBenCarson would give 'very serious consideration' to Cabinet post https://t.co/t9TW8MPNT4 @HARRISFAULKNER https://t.co/L…
2016-11-19 11:59:43;RealBenCarson;Solutions to our country's most urgent problems need to come from outside Washington, and that's why I want you... https://t.co/NzU7fi1mrj
2016-11-18 22:40:08;RealBenCarson;The future is bright for America. https://t.co/eJQjfTA1cn
2016-11-16 22:43:22;RealBenCarson;Thank you to our #BenCarsonReadingDay guest readers from all over the country helping to share the gift of reading: https://t.co/djDazusv76
2016-11-15 23:19:35;RealBenCarson;My decision not to seek a cabinet position. Read it here: https://t.co/CViJp6KbgS
2016-11-14 22:44:03;RealBenCarson;Today is a special day because it’s #BenCarsonReadingDay. Nothing is more important than encouraging reading: https://t.co/50aAxdr9Xk
2016-11-14 21:44:07;RealBenCarson;RT @CandyCarson_: It’s #BenCarsonReadingDay! I enjoyed reading to students in FL. Share the gift of reading here: https://t.co/uXu7XEPp6E
2016-11-14 21:37:47;RealBenCarson;Today is a special day because it’s #BenCarsonReadingDay. Nothing is more important than encouraging reading: https://t.co/XzKvJRZk1O
2016-11-14 19:18:50;RealBenCarson;I'm saddened to learn of the passing of @gwenifill. She was an amazing journalist and will be truly missed.
2016-11-14 18:01:39;RealBenCarson;My latest article: https://t.co/g2gWm9lTqc
2016-11-11 16:40:36;RealBenCarson;Today we honor the many brave men and women of our armed services for their unyielding courage. https://t.co/DtxwjYuWyG
2016-11-11 03:19:17;RealBenCarson;"RT @FoxNews: .@RealBenCarson: ""Healthcare is by far the most important thing that a person has."" #Hannity https://t.co/sDKJeDWFio"
2016-11-10 22:49:21;RealBenCarson;"RT @FoxBusiness: .@RealBenCarson: ""We, the American people, are not each other's enemies. It's the people who are driving the wedges who ar…"
2016-11-09 19:47:33;RealBenCarson;"What we saw last night was a renaissance... Read and share my newest article.

https://t.co/ylQQlj6EsL"
2016-11-09 14:29:53;RealBenCarson;I had the chance to sit down with @BuzzFeedNews yesterday evening. https://t.co/t18lCGXcn8
2016-11-09 07:49:31;RealBenCarson;Congratulations to the next President of the United States, @realDonaldTrump. 'We The People' have spoken.
