timestamp;sn;text
2017-01-31 22:00:36;EconomicPolicy;New from @RobScott_epi: Trade deficit with China has cost 3.4 million jobs since 2001. https://t.co/HGtyBhrEvX
2017-01-31 21:31:18;EconomicPolicy;Trump was right to keep LGBTQ protections in place for federal contract workers. https://t.co/IKH9OA5aff
2017-01-31 20:29:00;EconomicPolicy;Rebalancing trade is key to rebuilding American manufacturing, writes @RobScott_epi. https://t.co/cQwEpDqxWB
2017-01-31 20:27:50;EconomicPolicy;RT @hshierholz: LGBTQ workers need broader non-discrimination legislation, no kudos for simply leaving current protections in place https:/…
2017-01-31 19:22:57;EconomicPolicy;RT @RobScott_epi: Here's how to rebalance China trade and rebuild American Manufacturing:  https://t.co/hsZK36xAVH Great HuffPost sum: http…
2017-01-31 19:22:31;EconomicPolicy;RT @RobScott_epi: Growth in US China Trade Deficit since 2001 cost 3.4 mill. jobs: https://t.co/hsZK36xAVH Trump should prioritize trade wi…
2017-01-31 19:10:45;EconomicPolicy;RT @SenSanders: .@SenateMajLdr should understand that if he repeals the Affordable Care Act 56,000 people in his state of Kentucky will los…
2017-01-31 18:55:11;EconomicPolicy;Repealing the Affordable Care Act will cost 1.2 million jobs nationally https://t.co/QyFzB1ODFk
2017-01-31 17:39:34;EconomicPolicy;RT @danielmarans: Check out job losses due to China trade by state, district. Oregon is biggest loser @EconomicPolicy @RobScott_epi https:/…
2017-01-31 17:02:51;EconomicPolicy;How many jobs would be lost in your state if the #ACA is repealed? https://t.co/XCbNrc6K36  #Obamacare
2017-01-31 15:39:15;EconomicPolicy;RT @LarryMishel: ACA repeal will cost 1.2 million jobs https://t.co/FdDAuvSP7k. Look up how many in your state lose jobs and coverage https…
2017-01-31 15:05:07;EconomicPolicy;RT @price_laborecon: Job loss estimates by state under ACA repeal  https://t.co/h05zjZttaR full paper https://t.co/fxCftTQvaX via @joshbive…
2017-01-31 15:03:44;EconomicPolicy;RT @32BJSEIU: #AntiLaborSecretary @AndyPuzder No Fan Of $15 Min Wage. Read our OpEd https://t.co/uaYMCIFWLN via @hartfordcourant #1U #NotOu…
2017-01-31 14:53:04;EconomicPolicy;"Repealing the Affordable Care Act would cost jobs in every state

https://t.co/9u4tInUAhV https://t.co/FOv2aG1bFJ"
2017-01-30 19:44:34;EconomicPolicy;RT @ben_zipperer: Trump administration's employment goals would probably require more immigration, not less https://t.co/aLexCDfbBx https:/…
2017-01-30 19:44:24;EconomicPolicy;"RT @jschmittwdc: Administration's ""employment goals would require massive immigration or forcing elderly..to work"" -@Ben_Zipperer https://t…"
2017-01-30 15:29:00;EconomicPolicy;New report finds #antilaborsecretary Puzder's company outsourced jobs. https://t.co/CI7LRNUXDB
2017-01-29 20:00:24;EconomicPolicy;#AndrewPuzder opposes minimum wage. #AntiLaborSecretary. https://t.co/JBwkS3e721 https://t.co/AfoeGGAXDa
2017-01-29 19:50:12;EconomicPolicy;African Americans are paid less than whites at every education level. #ForwardNotBack https://t.co/RGoSnauIko https://t.co/cATfwPc2aq
2017-01-29 19:40:03;EconomicPolicy;.@AndyPuzder opposes the new #OvertimeRule that would help 12.5 million working people. https://t.co/tApk1bNhUP https://t.co/NH9h0gDANn
2017-01-29 19:30:05;EconomicPolicy;Black and Hispanic women have the largest pay gaps. #ForwardNotBack https://t.co/e3osox09lK https://t.co/6zBsjKsbth
2017-01-29 19:20:12;EconomicPolicy;How will @AndyPuzder protect women against workplace discrimination? https://t.co/AkX9KDU01q  #antilaborsecretary https://t.co/SNTwVevQnN
2017-01-29 19:10:03;EconomicPolicy;Women earn less at every education level. #ForwardNotBack https://t.co/qJJXY28Ooh https://t.co/NM7nZgfKGI
