timestamp;sn;text
2017-02-01 03:03:06;feministabulous;Meanwhile in Canada ❤️ https://t.co/RLbDC2Ud0n
2017-02-01 03:02:33;feministabulous;"Democrats should oppose Neil Gorsuch because the process that lead to his nomination was illegitimate by @DLeonhardt
https://t.co/FhwUARdt48"
2017-02-01 02:53:55;feministabulous;Pelosi calls on more women to not just organize, but also run for office. #pelositownhall
2017-02-01 02:53:00;feministabulous;"""We don't agonize we mobilize."" @NancyPelosi #pelositownhall"
2017-02-01 02:50:35;feministabulous;"RT @CNNPolitics: Pelosi to a Yemeni refugee: ""Your family is suffering because our President is reckless"" #PelosiTownHall https://t.co/kFPK…"
2017-02-01 02:50:11;feministabulous;@FoxNews @RepSwalwell hell yeah
2017-02-01 02:49:44;feministabulous;RT @malonebarry: This clip is unbearable. https://t.co/F31SaXYuGu
2017-02-01 02:48:31;feministabulous;RT @stevesilberman: Wow, Trump's SCOTUS pick Gorsuch will be a disaster for disabled kids' education. https://t.co/DTnYohAmOo https://t.co/…
2017-02-01 02:46:10;feministabulous;"Pelosi calls Trump ""insecure"" for lying about losing popular vote and lying ""about the size of his...inauguration."" #pelositownhall"
2017-02-01 02:32:35;feministabulous;Feel safer now? This is unspeakable. https://t.co/jnqcZ8iSxV
2017-02-01 02:27:00;feministabulous;There's nothing like families being detained and torn apart to make me feel safer.
2017-02-01 02:24:55;feministabulous;"More Americans agree with #muslimban than disagree with it. 
https://t.co/xP3N3jzXDp"
2017-02-01 02:21:09;feministabulous;"""Refugees have the most stringent vetting"" @NancyPelosi #cnntownhall"
2017-02-01 02:19:21;feministabulous;".@NancyPelosi fires at Trump, calls him ""reckless"" and the leader of an ""incompetent administration."" #cnntownhall"
2017-02-01 02:17:39;feministabulous;Emotional question from refugee with family affected by #muslimban should be asked to Trump. #cnntownhall https://t.co/r5xXH2hrbG
2017-02-01 02:14:41;feministabulous;.@NancyPelosi explaining she's pro-choice *because* she cares about children is so important. #cnntownhall https://t.co/AGYNrh3HUi
2017-02-01 02:11:27;feministabulous;Love @NancyPelosi reiterating that she knows more about giving birth than the pope, or any male member of congress. #cnntownhall
2017-02-01 02:09:57;feministabulous;"""Public sentiment is everything"" @NancyPelosi says about holding public officials accountable. #cnntownhall"
