timestamp;sn;text
2017-02-01 02:20:31;SenWarren;Based on the long and well-established record of Judge Neil Gorsuch, I will oppose his nomination. https://t.co/iYbOWwwGoS
2017-01-31 22:51:54;SenWarren;Heading to the Senate floor now to discuss why I will be voting NO on Rex Tillerson for Secretary of State. Watch: https://t.co/SRRHUnhCre
2017-01-31 17:58:56;SenWarren;"It’s time for the Senate to stand up for the Constitution &amp; exert moral leadership. I urge my colleagues: Vote NO on Jeff Sessions for AG."
2017-01-31 17:57:46;SenWarren;Jeff Sessions is so dangerous that a Republican-controlled Senate rejected his nomination to a federal judgeship 30 years ago.
2017-01-31 17:56:52;SenWarren;"Trump expects us to replace the AG w/ Jeff Sessions, whose career is defined by hostility to civil rights, immigrants &amp; the rule of law."
2017-01-31 17:54:04;SenWarren;Let me repeat: the @POTUS fired the nation’s top law enforcement officer for refusing to defend an illegal, unconstitutional, immoral order.
2017-01-31 17:53:16;SenWarren;"Last night, the acting AG refused to defend @realDonaldTrump’s unlawful &amp; unconstitutional Muslim ban, so Trump fired her."
2017-01-31 00:58:28;SenWarren;Watch live now as I speak out from the Senate floor about @realDonaldTrump's Muslim ban: https://t.co/KYG7aJim5s #NoBanNoWall
2017-01-31 00:57:37;SenWarren;I’ll also be sharing the views of nonpartisan experts who are alarmed that this policy will harm our national security. #NoBanNoWall
2017-01-31 00:56:47;SenWarren;I’ll be sharing stories from people in MA terrified about what @realDonaldTrump’s executive action means for their loved ones. #NoBanNoWall
2017-01-31 00:56:08;SenWarren;"Tonight @SenateDems will hold the floor as we speak out against @realDonaldTrump’s illegal &amp; unconstitutional Muslim ban. #NoBanNoWall"
2017-01-31 00:31:25;SenWarren;"What a view tonight in front of the Supreme Court as Congressional Dems &amp; hundreds of people gathered to say… https://t.co/l1hSzxS4Kw"
2017-01-30 18:29:42;SenWarren;I urge my colleagues: vote NO on Steve Mnuchin. Don’t put the fates of the families you represent in the hands of a lying Wall St insider.
2017-01-30 18:28:28;SenWarren;Steve Mnuchin won't give us an honest answer about his foreclosure record. He's not going to give us one when we give him our economy.
2017-01-30 18:27:00;SenWarren;If Steve Mnuchin were the Captain of the Titanic, he’d deny ever hitting the iceberg.
2017-01-30 18:26:03;SenWarren;"You have to wonder, @SenateDems &amp; @SenateGOP: What else is Steve Mnuchin willing to lie about if we hand him the keys to @USTreasury?"
2017-01-30 18:24:46;SenWarren;Mnuchin lied about his bank’s illegal tactics in response to @SenBobCasey's q's. There’s no other way to say it. https://t.co/lUsVQChRMd
2017-01-30 18:23:23;SenWarren;.@SenateDems brought victims of Mnuchin’s bank to DC when @GOPSenFinance refused to hear their stories. https://t.co/RMCZNyqxsC
2017-01-30 18:21:48;SenWarren;"Steve Mnuchin ran a bank that aggressively &amp; sometimes illegally foreclosed on more than 60k families. That’s not up for debate. It’s fact."
2017-01-30 15:46:58;SenWarren;"RT @BU_Tweets: In @BostonGlobe, BU's President Brown takes a stand against Trump's travel ban &amp; discusses its impact on #HigherEd: https://…"
2017-01-30 01:19:15;SenWarren;"I told 20k+ ppl in MA: We'll fight in courts, Congress &amp; across America to stop Trump’s #MuslimBan. #NoBanNoWall https://t.co/NSKCnw13Sv"
2017-01-29 19:02:18;SenWarren;"Proud to stand shoulder-to-shoulder with Mayor @marty_walsh, @SenMarkey, @CAIRMass &amp; 20k+ people in Boston today to… https://t.co/8YzgLJE2au"
2017-01-29 03:35:55;SenWarren;RT @ACLU_Mass: We encourage anyone being detained at Logan under #MuslimBan, as well as their families/friends, to contact us at 617-482-31…
2017-01-29 02:03:42;SenWarren;We will not allow a Muslim ban in the United States of America. Here's what I said at Logan Airport tonight.… https://t.co/6XVanUUI0w
2017-01-29 01:33:16;SenWarren;Tonight we fight for American values at airports all across this country. I'm at Logan Airport now to say: #nomuslimban #NoBanNoWall
2017-01-28 00:09:22;SenWarren;"I urge @realDonaldTrump: embrace policies that reflect America’s core values &amp; protect our ntl security. Rescind this executive order now."
2017-01-28 00:08:17;SenWarren;"On #HolocaustRemembranceDay, we remember what can happen when hatred &amp; fear turns neighbor against neighbor. When we abandon those in need."
2017-01-28 00:05:28;SenWarren;Turning our back on refugees because of their religion creates recruiting fodder for ISIS and other terrorist groups.
2017-01-28 00:04:12;SenWarren;"The Syrian refugees admitted to the US last yr are kids, doctors, teachers, engineers, &amp; college students who sought safety from terrorists."
2017-01-28 00:02:59;SenWarren;"We are a country of immigrants &amp; refugees, of people fleeing religious persecution &amp; seeking freedom, a country made strong by diversity."
2017-01-28 00:01:50;SenWarren;".@realDonaldTrump's order restricting immigrants from Muslim countries &amp; freezing admission of refugees is a betrayal of American values."
2017-01-28 00:00:50;SenWarren;Let’s be clear: A Muslim ban by any other name is still a Muslim ban.
2017-01-27 23:59:52;SenWarren;"Today, @realDonaldTrump closed the door on that little girl – &amp; so many others who are running for their lives."
2017-01-27 23:58:53;SenWarren;"I thought about what horrors must have possessed her parents to hand a wad of cash &amp; their little girl over to human smugglers."
2017-01-27 23:57:59;SenWarren;And I met a 7-yr-old girl – younger than my own granddaughters – who had been sent out on that perilous journey alo… https://t.co/bg0F2Ytfr1
2017-01-27 23:56:15;SenWarren;I saw the plastic pool floaties parents put on small children, hoping that would be enough to save them if the raft… https://t.co/j90JTG1nU0
2017-01-27 23:55:11;SenWarren;"I saw the shoddy, paper-thin rubber rafts that people cram onto with a hope &amp; a prayer that they’ll make it across the choppy, rocky sea."
2017-01-27 23:54:26;SenWarren;15 months ago, I traveled to the Greek island of Lesvos – the 1st stop for many Syrian refugees as they flee the te… https://t.co/4VY1gXnWgo
2017-01-27 19:01:25;SenWarren;It’s hard to imagine a less qualified or more dangerous @USedgov nominee. The Senate should reject Betsy DeVos. https://t.co/KKWRr7HR1H
2017-01-27 19:00:20;SenWarren;"I’ve heard from thousands of teachers, parents, &amp; ed leaders in MA with deep concerns about Betsy DeVos. I hear &amp; share their concerns."
2017-01-27 18:59:08;SenWarren;"And Betsy DeVos is unwilling to commit to be a cop on the beat with for-profit colleges that break the law &amp; cheat students."
2017-01-27 18:58:03;SenWarren;Betsy DeVos repeatedly demonstrated contempt for public ed. She plans to maintain financial ties that could create conflicts of interest.
2017-01-27 18:56:37;SenWarren;I will vote against Betsy DeVos’s nomination for @USedgov because it’s not in the best interests of America’s young people.
2017-01-26 01:07:08;SenWarren;".@realDonaldTrump’s actions today show an ugly indifference to immigrants &amp; a profound misunderstanding of the real dangers we face."
2017-01-26 01:05:47;SenWarren;".@realDonaldTrump’s actions will divert local police dept resources away from protecting &amp; building trust in our communities."
2017-01-26 01:05:06;SenWarren;".@realDonaldTrump’s actions will waste taxpayer dollars on irresponsible &amp; misguided pet political projects."
