timestamp;sn;text
2017-02-01 03:39:37;StopBigMoney;"Gorsuch’s appointment would mean more money &amp; less transparency in elections. We will mobilize our 3 million members to oppose this nominee"
2017-01-31 23:18:44;StopBigMoney;We still have time to fight back. CALL 1-855-326-1094 and tell the GOP to #DumpDeVos (2/2)
2017-01-31 23:18:11;StopBigMoney;Betsy DeVos has NOT been confirmed. There’s still a final vote in the full Senate... (1/2)
2017-01-31 22:15:32;StopBigMoney;Every single one of the GOP senators who took money from DeVos voted for her in the committee vote. #RecuseYourself https://t.co/ZwmQsyrfYC
2017-01-31 20:41:24;StopBigMoney;GOP sens passed DeVos through the HELP Committee. Vote now goes to full Senate. Our fight to oppose her continues.  https://t.co/1t1kP3A2Bd
2017-01-31 17:11:47;StopBigMoney;RT @Tiffany_Muller: .@SenToddYoung - in less than a month as a US Senator, you've already turned your back on Hoosier families. #RecuseYour…
2017-01-31 15:20:06;StopBigMoney;Pay to play politics, you say? This billionaire father-daughter duo knows a thing or two about how to buy influence. https://t.co/oTEO3rf21Q
2017-01-31 03:39:30;StopBigMoney;Capitol Hill's being swamped with calls to #DumpDeVos. Join the movement by calling 1-855-326-1094 to demand recusal https://t.co/DH5IGqnibn
2017-01-31 02:48:35;StopBigMoney;"Not so fun fact: Trump Organization’s newest ethics lawyer chairs “the nation’s largest dark-money organization"" https://t.co/5M8tFU8MAT"
2017-01-31 02:15:34;StopBigMoney;RT @Tiffany_Muller: .@StopBigMoney members in Indiana are calling on @SenToddYoung to recuse himself and #DumpDeVos yet he refuses to liste…
2017-01-31 01:00:34;StopBigMoney;Thanks to #CitizensUnited, the #KochBrothers network can spend hundreds of millions during 2018 election cycle. https://t.co/RujDEgbasC
2017-01-31 00:28:01;StopBigMoney;"Keep pay-to-play politics OUT of education; tell your senator to vote NO on the DeVos vote. #DumpDeVos https://t.co/eHed3vRwq3"
2017-01-30 23:19:09;StopBigMoney;".@SenToddYoung,

We know you took $50K from DeVos &amp; her family. You should #RecuseYourself &amp; #DumpDeVos

Sincerely,… https://t.co/c9Gg0x68aT"
2017-01-30 22:54:00;StopBigMoney;"You didn’t buy your job; why should Betsy DeVos? Call your senator at 1-855-326-1094 and demand they vote NO tomorr… https://t.co/yYEDHyNaqB"
2017-01-30 22:13:08;StopBigMoney;On behalf of #Grizzlies everywhere, call your senators to demand that they #DumpDeVos. https://t.co/GSabilhgOy
2017-01-30 21:03:44;StopBigMoney;.@SenToddYoung’s constituents are demanding his recusal from voting on Betsy DeVos’ nomination, but he’s refused to… https://t.co/uYHJzNcFuO
2017-01-30 20:18:01;StopBigMoney;"Keep pay-to-play politics OUT of education; call your senator at 1-855-326-1094 and tell them to vote NO on DeVos https://t.co/NFcuCzQ9uQ"
2017-01-30 19:23:59;StopBigMoney;Trump Organization’s new ethics lawyer has argued for “expanded role of big money in politics” in front of SCOTUS https://t.co/5M8tFU8MAT
2017-01-30 18:10:01;StopBigMoney;"Thanks to you, we flooded senators’ offices with calls to #DumpDeVos. Call 1-855-326-1094 &amp; tell your Senator to vo… https://t.co/PD5R5GIHjI"
