timestamp;sn;text
2017-02-01 03:52:34;ErinBurnett;RT @nytgraphics: Where Neil Gorsuch fits on the political spectrum of the Supreme Court https://t.co/RNa0UtSTAY https://t.co/vOsWdAH3YW
2017-02-01 00:44:40;ErinBurnett;".@mcuban: the travel ban was ""half ass and half baked"""
2017-02-01 00:44:14;ErinBurnett;".@mcuban re travel ban: @potus ""has a fall guy: the media. He has a backbone: the polls. So he thinks he's unstoppable""."
2017-02-01 00:42:25;ErinBurnett;".@mcuban says Trump is now ""our guy"".  cuban emailed Trump congratulations for winning, Trump replied thank you."
2017-01-31 02:31:03;ErinBurnett;".@POTUS calls @SenSchumer tears ""fake"". Schumer: ""I'm not going to dignify that silliness..he doesn't take this presidency seriously enough"""
2017-01-31 02:27:35;ErinBurnett;"Minority Leader Sen Chuck Schumer tells me travel ban is ""a constitutional crisis"""
2017-01-31 02:25:38;ErinBurnett;"Trump just fired acting AG Sally Yates ""who is weak on borders and very weak on illegal immigration"". Dana Boente new interim."
2017-01-28 00:56:43;ErinBurnett;John Paul DeJoria says NAFTA CAN be improved. He PAYS 16% to Mexico to export Paul Mitchell.  ZERO to US when exporting Patron.
2017-01-28 00:53:36;ErinBurnett;Patron and Paul Mitchell founder John Paul DeJoria: Trump tariff will cost US consumers a few dollars a bottle.
2017-01-28 00:52:47;ErinBurnett;"Trump tells CBN of 20% border tax: ""it also creates jobs"". Patron tequila founder John Paul DeJoria: ""it's not going to effect jobs one bit"""
2017-01-28 00:19:20;ErinBurnett;According to Pew -- 38,901 muslim refugees 37,921 christian refugees admitted to USA in 2016( pew).
2017-01-27 01:02:45;ErinBurnett;"I asked @CoryBooker if @SenSanders was right to call @potus ""delusional"". ""I don't know his mental state. He is a liar"""
2017-01-27 01:01:31;ErinBurnett;".@CoryBooker says Trump claim of voter fraud ""stunning and deeply offensive...you're more likely to be struck by lightning"" than have fraud"
2017-01-26 02:58:29;ErinBurnett;Mexican Prez says Mexico won't pay for wall - altho tariffs, border taxes, other methods wld mean Mexicans pay, be… https://t.co/WpeGkQSaii
2017-01-25 10:12:05;ErinBurnett;Highest ranking NK defector in decades tells CNN: Kim Jong Un plans to finish nuclear missile development this year, push for talks w/Trump
2017-01-25 10:09:12;ErinBurnett;RT @business: Immigrants coming to America are competing for a different set of jobs these days https://t.co/jGt3T9yOsv https://t.co/ASrd3b…
2017-01-25 00:31:52;ErinBurnett;"""He sees people on inauguration AND Election Day that weren't there"" says @SenMarkey of @POTUS"
2017-01-24 01:10:21;ErinBurnett;"Whatever you think of ""The Wall"" this is MUST WATCH (first in series airing all week @OutFrontCNN). @edlavaCNN 
https://t.co/3Gut4uVft6"
2017-01-24 00:16:34;ErinBurnett;Breaking news: @WhipHoyer says Trump talked about private Obama letter: Lot about Obamacare, says he'd support trump bill if cvg for all
2017-01-24 00:15:19;ErinBurnett;".@WhipHoyer met with trump tonight, calls him ""gracious"" with ""sense of humor"", says he brought up ""magnificent"" crowd size"
2017-01-21 04:18:50;ErinBurnett;The traditional dance with the military - @potus with petty officer Catherine Cartwell https://t.co/JAzzsmmeLv
2017-01-21 04:14:03;ErinBurnett;"First dance to ""I will always love you"" at armed services ball. Melania's ""make America great"" got a massive cheer https://t.co/jrr9nFEfYq"
2017-01-21 02:08:49;ErinBurnett;The ladies hanging awaiting the first dance https://t.co/2PieeZOcHr
2017-01-21 00:34:02;ErinBurnett;Here at the Armed Services Ball, watching @POTUS sign his first orders https://t.co/3qD31Zp78K
2017-01-20 03:16:38;ErinBurnett;"RT @OutFrontCNN: .@SenSherrodBrown on @stevenmnuchin1: ""I'm going to vote no"" https://t.co/xFwrUfd48l https://t.co/kYZyYD86ey"
2017-01-18 03:08:57;ErinBurnett;"Sen Patty Murray: ""would kissing and touching women and girls without their consent,"" be sexual assault? Betsy Devos: ""Yes""."
2017-01-17 01:12:25;ErinBurnett;"Orlando Chief Mina on Pulse shooter wife: ""there is no doubt in my mind...that she knew, that she aided, that she could have prevented"" it"
2017-01-17 00:37:22;ErinBurnett;"Tom Barrack to celebrities not attending  inauguration: ""get over it. Get on side. Let's give the man a chance""."
2017-01-16 23:44:05;ErinBurnett;"""Kanye is a great guy, we just haven’t asked him to perform"". ""It's not the venue"" says @TomBarrackJr of @kanyewest at inauguration"
2017-01-15 12:49:43;ErinBurnett;18 members of congress say they're not attending Trump inauguration as of this morning
2017-01-14 00:13:06;ErinBurnett;"Senator Chris Coons on Rex Tillerson: ""his confirmation is in some doubt""."
2017-01-13 00:50:01;ErinBurnett;"Frmr CIA Dir Panetta on CIA &amp; trump dossier : ""I would assume that they made every effort to substantiate it"". ""And were unable to do so""."
2017-01-13 00:18:23;ErinBurnett;Former CIA chief Leon Panetta tells me he supports @RepMikePompeo for CIA Director
2017-01-12 01:03:40;ErinBurnett;Al Franken signals he likely won't support Sessions:'I don't think he is necessarily the right choice to protect the rights of Americans'
2017-01-12 00:52:13;ErinBurnett;"Senator Lankford tells me he's ""leaning yes"" on Tilllerson after today's testimony on Russia/Putin"
2017-01-12 00:15:46;ErinBurnett;Senator Franken calls for special committee to investigate claims in dossier against trump
2017-01-06 02:28:55;ErinBurnett;"""I didn't want to fly under false colors"" - Frmr CIA Dir James Woolsey on cutting ties as ""#trump adviser"" https://t.co/OXrdJvPV6x"
2017-01-06 02:26:52;ErinBurnett;"""I've had several opportunities to pray with him"" re: Trump since he won says evangelist @paulawhitecoin https://t.co/XPR4t5KLz0"
2017-01-06 02:23:45;ErinBurnett;"Planned Parenthood chief Cecile Richards excl, fights back. ""His phone ihas been jammed up with calls from women"": https://t.co/jRZgA9Q6t0"
2017-01-04 00:59:26;ErinBurnett;"Trump says China controls NK.Obama @statedeptspox: ""to say they can control Pyongyang is not supported by the facts"" https://t.co/ObUNzA1bjh"
2017-01-03 15:38:29;ErinBurnett;RT @RadioAndySXM: .@erinburnett of @OutFrontCNN joins @DanRather LIVE #DanRathersAmerica
2016-12-21 02:16:28;ErinBurnett;"""'absolutely ridiculous' isn't normally a diplomatic term of art...I think this can escalate"": frmr US Amb to Iraq Chris hill re: Turkey/US"
2016-12-20 01:48:27;ErinBurnett;RT @Astro_Mike: Thank you @ErinBurnett for having me on @OutFrontCNN talking about following life's dreams and #SPACEMAN: https://t.co/PZx6…
2016-12-16 01:10:39;ErinBurnett;"Jerry Falwell Jr. - Tony Perkins wrong to criticize Tillerson: ""I JUST DON'T SEE WHAT HIS VIEWS ON SOCIAL ISSUES HAVE TO DO W/BEING SOS"""
2016-12-15 14:02:50;ErinBurnett;Big: Egypt says explosive material found on victims of EgyptAir 804. We still have NO IDEA how this happened on flight from Paris CDG
2016-12-15 01:08:43;ErinBurnett;"Trump said he'll make ""apple build in the USA"". Would you pay $1350 for an iPhone? https://t.co/TQIpdgiCWe"
