timestamp;sn;text
2017-02-01 04:18:01;Everytown;.@lucymcbath: We cannot stop with one day or one march—we must continue to fight https://t.co/4NCz60cQqQ #KeepGoing https://t.co/DEK25HrHuy
2017-02-01 02:02:01;Everytown;Tell your senators to demand answers from Judge Neil Gorsuch about where he stands on guns. #SCOTUS https://t.co/QiZaKPoljh
2017-02-01 01:39:18;Everytown;We’d like to know if Gorsuch is committed to enforcing our existing gun laws.
2017-02-01 01:39:00;Everytown;SCOTUS has repeatedly reaffirmed that the Second Amendment doesn't conflict with common-sense gun laws.
2017-02-01 01:38:30;Everytown;In two cases (Games-Perez, Reese), Gorsuch has been open to marking it easier for some felons to have guns.
2017-02-01 01:37:30;Everytown;We have some serious questions and concerns about Neil Gorsuch’s record on gun safety. #SupremeCourt https://t.co/pubXSWcMXN
2017-02-01 01:03:01;Everytown;RT @Everytown: Even the most conservative voices of our time agree, common-sense gun safety laws are constitutional. #SCOTUS https://t.co/g…
2017-02-01 00:30:35;Everytown;Even the most conservative voices of our time agree, common-sense gun safety laws are constitutional. #SCOTUS https://t.co/g5CnY4Ty8p
2017-01-31 22:58:01;Everytown;Nearly once a month since 2014, a gun owner has mistaken a loved one for an intruder and shot them… https://t.co/Ru2h2sZyG0
2017-01-31 22:01:41;Everytown;RT @LynnPinB: Another morning well spent in Denver.A large group of #gunsense warriors all in for common sense! #COleg @MomsDemand https://…
2017-01-31 22:00:18;Everytown;RT @jennbcoulter: Thank you @Willcsmithjr for standing with @MomsDemand to save lives from gun violence. #MDGA17 https://t.co/4k8f8inIHF
2017-01-31 19:31:39;Everytown;RT @SoyYoya: MD @MomsDemand gathering in Annapolis cause background checks save lives. #MDGA17 https://t.co/IiidwBzZvm
2017-01-31 19:25:57;Everytown;RT @jennbcoulter: MD @MomsDemand members getting organized for gun sense in Annapolis. #MDGA17 https://t.co/SBm0N8KftC
2017-01-31 19:24:29;Everytown;RT @jennbcoulter: So many MD @MomsDemand members showing up for gun sense! #MDGA17 #MDpolitics https://t.co/VQFOf2IHcD
2017-01-31 18:45:06;Everytown;RT @DrLisaCorrigan: UA System President Don Bobbitt opposing #HB1249 and advocating for local control. #arleg https://t.co/A9kDBPzuFA
2017-01-31 18:44:07;Everytown;RT @evesuzanne: Little Rock @MomsDemand chapter leader testifying against #HB1249 at the AR House Judiciary Committee. Keep guns off campus…
2017-01-31 18:35:15;Everytown;RT @LynnPinB: Proud to stand up for #gunsense today in Denver! Room packed full of warriors, and Moms! @MomsDemand #coleg https://t.co/LEAW…
2017-01-31 18:28:24;Everytown;RT @SpencerSoule: As a college student at @UArkansas, I am terrified of #HB1249. I feel safe on campus now, but I won't if this bill become…
2017-01-31 18:19:12;Everytown;RT @evesuzanne: Standing room only for #hb1249 at AR Capitol. Strong showing from @MomsDemand #arleg https://t.co/eSsBalJg7b
2017-01-31 17:31:06;Everytown;RT @lucymcbath: Lucy McBath - We Cannot Stop With One March | https://t.co/Da0oaMY4I6 #democracy4all @MomsDemand @Everytown 👸🏽🇺🇸 https://t.…
2017-01-31 16:45:01;Everytown;"RT @JohnJayCollege: FEB. 9 - Join us for our opening #JJCGunViolence event with @Everytown: ""Mayors Against Illegal Guns"" https://t.co/hFGt…"
2017-01-31 15:52:07;Everytown;RT @TheMovement: What the #MothersOfTheMovement would rather be doing with their loved ones — if they were still with us https://t.co/krJrp…
2017-01-31 03:08:02;Everytown;Some lawmakers want to make Americans less safe by making it easier for people to carry hidden, loaded guns… https://t.co/kYAsEsKguZ
2017-01-31 02:37:01;Everytown;Gun extremists scare students by toting guns around University of Cincinnati campus https://t.co/RCoDAcSzzJ https://t.co/CuEWvg0knC
2017-01-31 00:34:02;Everytown;Stronger gun storage laws = a safer Florida for children, says @TB_Times https://t.co/2kyAoy14Bx #BeSMART #FlaPol https://t.co/GBd3VG4Qzz
2017-01-30 22:58:03;Everytown;Arkansas State University system: Guns don't belong on campus https://t.co/CNL9AeTatk https://t.co/oKLFX8S8VL
2017-01-30 22:02:05;Everytown;RT @MomsDemand: 4 years ago today, 15 yo Hadiya Pendleton was fatally shot in Chicago, a week after performing at Pres. Obama's second inau…
2017-01-30 19:29:44;Everytown;RT @HoosierMomba: .@MomsDemand members in #Indy gather today to stand against the gun lobby. #INLegis @IndyMayorJoe @SenDonnelly @ToddYoung…
2017-01-30 19:25:27;Everytown;RT @Change: This powerful video from @The_skindeep interviews Natasha, who lost her son to gun violence: https://t.co/zO7tICha1a https://t.…
2017-01-30 17:31:08;Everytown;More support for bill to keep guns off campus in Kansas. This time from the @LJWorld https://t.co/gwBfdF9YrF #KSLeg https://t.co/ZI1xKkLIt0
2017-01-30 15:03:14;Everytown;Police chiefs: Access to illegal guns is one of the top drivers of gun violence in our jurisdictions… https://t.co/RlfmQklL9M
2017-01-30 02:45:05;Everytown;Research on gun violence is not advocacy, it's about finding solutions to help keep Americans safe https://t.co/wRUiR0Wgk6
2017-01-30 00:43:01;Everytown;If more guns in more places makes us safer, why does America have seven times the gun murders as the next developed… https://t.co/rfk4krdIb8
2017-01-29 21:29:02;Everytown;Newtown leaders call on Trump to disavow Alex Jones, radio host and Sandy Hook truther who harasses survivors… https://t.co/yWCp87XmHX
