timestamp;sn;text
2017-02-01 02:10:20;ezraklein;With Neil Gorsuch, 6 of 9 Supreme Court Justices will have gone to Harvard: https://t.co/uRgSv1SACb
2017-02-01 01:51:44;ezraklein;"“If any of them vote for Trump’s Supreme Court nominee, we're going to mark them down as collaborators"" https://t.co/hYdkbk57Je"
2017-02-01 01:49:15;ezraklein;Elections have massive, massive consequences: https://t.co/2mBewBgrYY
2017-02-01 01:13:50;ezraklein;Neil Gorsuch, Trump’s Supreme Court pick, explained his worldview in this 2016 speech, which you can read here: https://t.co/qBOVxA7a5I
2017-02-01 01:11:27;ezraklein;Gorsuch has some interesting rulings in criminal justice cases: https://t.co/w2aepvb1io https://t.co/mVaLapMlYZ
2017-02-01 01:08:31;ezraklein;Gorsuch wrote a full book on assisted suicide that came down decisively against legalizing the practice: https://t.co/w2aepvb1io
2017-02-01 01:05:12;ezraklein;Neil Gorsuch, Donald Trump's Supreme Court nominee, explained: https://t.co/w2aepvb1io
2017-02-01 01:00:47;ezraklein;President Trump is about to announce his Supreme Court nominee. You can watch live here: https://t.co/p63UuPkpQA
2017-02-01 00:58:43;ezraklein;Trump believes his nativism. The GOP holds him to conservatism. No one forces his populism, and so it's abandoned: https://t.co/nPsZuGlwyQ
2017-01-31 20:52:23;ezraklein;A leaked Trump order suggests he’s planning to deport legal immigrants for being poor enough to need government help https://t.co/vmxPKOIx3o
2017-01-31 20:10:01;ezraklein;Peter Thiel vs. the FDA: https://t.co/Yj2UU1S8cG
2017-01-31 19:05:44;ezraklein;Trump now makes life-and-death decisions daily, and he’s doing so without empathy, or even a belief in empathy: https://t.co/EYABKVSdJ8
2017-01-31 18:12:32;ezraklein;Vox is hiring to cover policy in the Trump era. Come work with us! https://t.co/MNP2gnv6GB https://t.co/CbT33oNl14
2017-01-31 17:43:49;ezraklein;This is, quietly, a gift Trump is giving Democrats: https://t.co/bxGiIdfHsB
2017-01-31 17:16:54;ezraklein;I feel like I've done nothing over the last 24 hours save read and process news, and I still missed some of this: https://t.co/wzKpKmBdm4
2017-01-31 17:00:27;ezraklein;As politics has polarized, Congress has become a check only on presidents of the opposite party: https://t.co/33iH8k1xTf
2017-01-31 16:41:31;ezraklein;"""Passing off reckless ineptitude as strategic genius seems to be a coping mechanism"" https://t.co/g4aQkMXPoE"
2017-01-31 16:37:15;ezraklein;Read @yochidreazen on Bannon's appointment to NSC: https://t.co/yyyxnpmQAc https://t.co/FMWezqaqo8
2017-01-31 15:52:37;ezraklein;Tom Daschle had to withdraw for HHS secretary over tax problems that seem much less damning than Price’s trading
2017-01-31 15:45:40;ezraklein;9 questions about the global refugee crisis you were too embarrassed to ask: https://t.co/ZzpsbP2TLQ
2017-01-31 15:22:56;ezraklein;I remember thinking yesterday that there was no way Trump's second 10 days could be as intense as his first 10. Mea culpa.
2017-01-31 15:21:09;ezraklein;The three top constituonal lawyers suing President Trump over his business dealings explain their case: https://t.co/CX7v2789T0
2017-01-31 13:22:41;ezraklein;This 2015 exchange between Jeff Sessions and Sally Yates is unreal:  https://t.co/sV8cRL6T37
2017-01-31 13:20:55;ezraklein;"RT @DouthatNYT: Yup:
https://t.co/46cpNPrt6u"
2017-01-31 13:08:37;ezraklein;This is scary, and it is true: https://t.co/5MOHHXA6wt
2017-01-31 12:58:20;ezraklein;David Brooks is not pulling his punches: https://t.co/q87diIT21S
2017-01-30 20:32:30;ezraklein;This is very smart from @sarahkliff. Dems could do health reform because they agreed on goals. Republicans don't. https://t.co/0rNm4fSZYf
2017-01-30 20:28:57;ezraklein;What @DLind says in the final moments of our podcast on the refugee/immigration ban is beautiful and important: https://t.co/24lM2u5s5J
2017-01-30 20:20:55;ezraklein;This is brutal, but important, to read. Has Donald Trump talked to any of the people whose families he's shattering? https://t.co/9dWgpiXqj5
2017-01-30 20:12:14;ezraklein;1. What is a refugee? https://t.co/ZzpsbP2TLQ
2017-01-30 19:51:28;ezraklein;Did not expect Obama to be weighing in this aggressively, this early. Suggests he's really upset: https://t.co/sHy48bhZf6
2017-01-30 19:12:56;ezraklein;RT @alv9n: Just sayin: Trump's allegory of the snake is literally the opposite of the Parable of the Good Samaritan https://t.co/N4Ur67ImIc
2017-01-30 18:10:28;ezraklein;Profiles in fake courage: https://t.co/1zRIjcDKP9
2017-01-30 18:03:00;ezraklein;Here's my look at the Trump presidency, 10 days in. I wish I felt more optimistic: https://t.co/N3GpHp15SY
2017-01-30 14:05:30;ezraklein;Trump’s “refugee ban” — annotated by a former top Department of Homeland Security lawyer  https://t.co/0kFMZEkBIi
2017-01-30 14:00:15;ezraklein;The Snake: Donald Trump’s favorite story perfectly describes his first 10 days in office https://t.co/xRgbkWvEbt
2017-01-30 13:16:32;ezraklein;It took 3 years for George W. Bush to hit 50% disapproval. Trump got there after 8 days:  https://t.co/0vmOupPBf7
2017-01-29 18:31:40;ezraklein;Here is the very long list of Republicans in Congress who have taken no position on Trump's refugee ban: https://t.co/MpkqZ9QrJi
2017-01-29 16:52:31;ezraklein;This video of Ronald Reagan shows how much the Republican Party has changed on immigration: https://t.co/Kwmnkb7YXv
2017-01-29 14:36:09;ezraklein;Donald Trump, the refugee ban, and the triumph of cruelty:   https://t.co/hL7Tb8wTdR
2017-01-29 04:10:17;ezraklein;This CNN report shows what an utter mess Trump’s immigration order rollout was:  https://t.co/ISZ9Ta1tr2
2017-01-29 03:39:37;ezraklein;Mattis serves Trump’s agenda, not the other way around, and Trump is making that very clear: https://t.co/eI0SE76qRJ
2017-01-29 02:51:27;ezraklein;Full text of the judges stay halting deportations under Trump’s immigration order:  https://t.co/lhXagaOisj
2017-01-29 02:14:02;ezraklein;Federal judge halts Trump’s immigration order — but only for those already here. It doesn't help those abroad: https://t.co/CoeeTaXPIj
2017-01-29 01:31:52;ezraklein;This is true, too. And it's why Trump's EO must be rejected. We decide what America is. https://t.co/hL7Tb8wTdR https://t.co/9F5HKNIz22
2017-01-29 01:26:38;ezraklein;"Trump said his immigration order is ""working out very nicely” at the airports. Has he seen the airports? https://t.co/4CtzXHZybO"
2017-01-29 00:48:49;ezraklein;"The livestream of the JFK protests is amazing. Thunderous chants of ""Let them in!"": https://t.co/NNMaujRvyj"
2017-01-29 00:39:22;ezraklein;Donald Trump, the refugee ban, and the triumph of cruelty: https://t.co/hL7Tb8wTdR
2017-01-29 00:32:49;ezraklein;RT @chrislhayes: As you watch this unfold, think of this: what happens if they try to start deporting DACA recipients? Or kick 20 mil off h…
2017-01-28 23:38:09;ezraklein;"RT @sarahkliff: Hard to see the policy justification for stopping an award-winning scientist from entering the US. 

But that’s what Trump’…"
2017-01-28 23:08:58;ezraklein;RT @DKThomp: god the moral distance between the best of america and its president is simply immeasurable https://t.co/FZKFTZA9lw
2017-01-28 23:07:53;ezraklein;"RT @sarahkliff: Just had a heart-breaking conversation with young, Iranian researcher. Was barred from flying to Boston for new job.
https:…"
2017-01-28 23:01:27;ezraklein;Read this.  https://t.co/hL7Tb8wTdR
2017-01-28 19:13:14;ezraklein;It's important to know the severity of the refugee crisis before Trump's order. This article is essential context: https://t.co/g05onhWxc3
2017-01-28 19:02:05;ezraklein;The carelessness with which this order was crafted and implemented compounds its cruelty: https://t.co/hXmSaT7Nny https://t.co/SJiwS7KK9e
2017-01-28 17:53:53;ezraklein;Donald Trump has broken America's promise to the world:  https://t.co/oXRUUBEJ0c
2017-01-28 17:18:25;ezraklein;Photos of the hell Syrian refugees are fleeing:  https://t.co/LzS7ScusGa
2017-01-28 17:14:24;ezraklein;You're more likely to be killed by your own clothes than by an immigrant terrorist:  https://t.co/oQATVrfxLf
2017-01-28 17:10:03;ezraklein;"RT @samsteinhp: not persuasive. 
1 this is an ad hoc EO w/ no pre-consultation
2 no syrian refugee crisis under GWB
3 EO provokes Muslim wo…"
2017-01-28 17:08:56;ezraklein;RT @sarahkliff: Looking to talk to health care and science researchers who have already been denied boarding on a flight? If that’s you, em…
2017-01-28 15:22:52;ezraklein;Trump’s executive order on refugees closes America to those who need it most: https://t.co/hO3mf5SbyC
2017-01-27 20:31:51;ezraklein;Great @sarahkliff interview with Sen. Bill Cassidy on his Obamacare replacement plan: https://t.co/PjY6P8rSVQ
2017-01-27 18:00:40;ezraklein;"""Let’s just burn a few things down, let’s just rip out this department, let’s kill this agency."" https://t.co/3PV5TGKngv"
2017-01-27 17:57:59;ezraklein;The border adjustment tax explainer that I, for one, have badly needed: https://t.co/3JLecu7J86
2017-01-27 14:15:16;ezraklein;Donald Trump may be the sole reliable source of truth, says chair of House Science Committee: https://t.co/xLTkCxbqP3
2017-01-27 12:49:07;ezraklein;"Step 1: sabotage Obamacare so it fails
Step 2: complain Obamacare is failing  https://t.co/ork443jVOL"
2017-01-26 23:09:32;ezraklein;RT @rainnwilson: Sugar, explained https://t.co/IqOjiNYRfH
2017-01-26 21:55:41;ezraklein;Like infrastructure? Like podcasts? You'll love the new Weeds: https://t.co/58qu5dRLE7
2017-01-26 21:04:01;ezraklein;"This is not the ""terrific"" health plan Trump voters thought they were voting for: https://t.co/QMs14a0uIR"
2017-01-26 20:51:08;ezraklein;What the hell is going on at the EPA right now? https://t.co/J0vxPTJAIt
2017-01-26 19:28:08;ezraklein;I think this may well be Trump's most dangerous quality: https://t.co/2idwaURGE6 https://t.co/M9qEyZXqGR
2017-01-26 18:49:32;ezraklein;I like imagining a world where Trump's strategy really is this complex and thought-through: https://t.co/5NNUrjtaRj
2017-01-26 18:44:40;ezraklein;Trump's absurdities on crowd size, voter fraud, and rigged polls are him rationalizing his unpopularity: https://t.co/2idwaURGE6
2017-01-26 18:36:24;ezraklein;Trump meant what he said, and his new executive orders prove it: https://t.co/hZgSM3y2Xw
2017-01-26 15:55:30;ezraklein;The worst things you’ll read about Trump come from his own aides:  https://t.co/pn63Repxe4
2017-01-26 13:59:29;ezraklein;Did Donald Trump’s election inspire a birth control boom?  https://t.co/JcLQp3ZSUg
2017-01-26 13:37:35;ezraklein;"""Objectively empowering Trump while signaling a lack of loyalty to him is a dangerous game"" https://t.co/Pr2uVME2QS"
2017-01-26 13:35:51;ezraklein;Read leaked drafts of 4 White House executive orders on Muslim ban, end to DREAMer program, and more: https://t.co/JrIwMKHufo
2017-01-26 02:27:42;ezraklein;RT @michelledeidre: A reminder 90% of all terror attacks in the US were committed by non-Muslims, 80% by US citizens or legal residents: ht…
2017-01-26 02:13:38;ezraklein;As absurd as the story is, the bias it shows on Trump’s part is really worrying: https://t.co/arnS2vv3Ko https://t.co/l45L7NaQ4B
2017-01-25 23:38:57;ezraklein;What I can't get over in the draft orders is the disinterest in the carnage and poverty immigrants are fleeing: https://t.co/JrIwMKHufo
2017-01-25 23:17:43;ezraklein;RT @sarahkliff: These docs were leaked to Vox. If you work in government and have info you want to share, you can leak to us too. https://t…
2017-01-25 22:57:00;ezraklein;@conorsen Fair. I just thought we were better than this by now. Maybe we will still prove we are.
2017-01-25 22:50:00;ezraklein;This potential policy shocks me. What happened to give us your poor, your huddled masses? https://t.co/JrIwMKHufo https://t.co/WJxUSPjN3G
2017-01-25 22:46:42;ezraklein;Read leaked drafts of 4 White House executive orders on Muslim ban, end to DREAMer program, and more: https://t.co/JrIwMKHufo
2017-01-25 20:46:54;ezraklein;This is wild, but true. The wall is the least aggressive part of Trump's executive actions on immigration: https://t.co/wlMX4fcgSf
2017-01-25 19:55:11;ezraklein;“It’s really hard to see how this ends up with as many people being covered at the same or lower costs. It’s a mess” https://t.co/YpxcbGKA4Z
2017-01-25 19:45:14;ezraklein;This is the best discussion of America's trade policy I've read in a long time: https://t.co/fI2Tt6ousG
2017-01-25 19:29:09;ezraklein;RT @yochidreazen: @voxdotcom is hiring for a new defense reporting slot! Details are here: https://t.co/dHWDZu24ZW
2017-01-25 19:26:33;ezraklein;"RT @germanrlopez: Trump wants to ""send in the Feds"" to stop Chicago gun violence. He should consider federal gun control: https://t.co/BIrA…"
2017-01-25 18:54:42;ezraklein;"The Economist Intelligence Unit has downgraded America from ""full democracy"" to ""flawed democracy"": https://t.co/K2lSxjlNg2"
2017-01-25 18:42:33;ezraklein;Ta-Nehisi Coates on why Obama didn’t believe Trump could win: https://t.co/11tHgTJrjT
2017-01-25 16:29:02;ezraklein;This is starting poorly: https://t.co/8UbteUFW4v
2017-01-25 14:51:38;ezraklein;Feeling a lot of uncomfortable recognition reading the top half of this:  https://t.co/QgfBX8gWI5
2017-01-25 12:42:12;ezraklein;While Trump had everyone talking about nonexistent voter fraud, here’s what he did on policy yesterday:  https://t.co/mM5XSzPvGe
2017-01-24 22:48:59;ezraklein;This is an interesting way to think about Dems' strategic choices, and why they matter: https://t.co/POsY2fp5D6
2017-01-24 18:58:05;ezraklein;Donald Trump’s Supreme Court shortlist is reportedly down to these 3 men: https://t.co/VoL7oo2spr
2017-01-24 18:52:44;ezraklein;6 winners and 5 losers from the Oscar's nominee list: https://t.co/6NADFGaAsq
2017-01-24 16:57:24;ezraklein;The new lawsuit accusing Donald Trump of violating the Constitution, explained: https://t.co/7Mxh2YmBBe
2017-01-24 16:27:30;ezraklein;New podcast! I talked with @JDVance1, author of Hillbilly Elegy, about Trump, class, culture, and much more: https://t.co/sPbWLH7ffm
2017-01-24 16:08:16;ezraklein;"RT @voxdotcom: We're seeking smart journalists to help expand our policy coverage:

https://t.co/mdDytTffjP
https://t.co/mK7P1pHaww
https:/…"
2017-01-24 15:55:56;ezraklein;RT @voxdotcom: Democrats call Trump’s bluff on infrastructure with a massive $1 trillion plan https://t.co/UbMUpMlYvR
2017-01-24 15:55:24;ezraklein;It's worth reading Brad DeLong on the new, anti-trade consensus: https://t.co/fI2Tt6ousG
2017-01-24 13:53:19;ezraklein;Trump's flurry of day one policies had some surprising omissions:  https://t.co/y5MJ0A2vZs
2017-01-24 13:02:31;ezraklein;Cassidy-Collins, the GOP replacement plan that lets liberal states keep Obamacare, explained: https://t.co/Vs0aX0thxm
2017-01-23 22:17:06;ezraklein;Trump’s Obamacare executive order is, according to one GOP senator, “very confusing”: https://t.co/uQR4rM0U8E
2017-01-23 19:46:55;ezraklein;RT @thegarance: Tyler Cowen w a take on the organizational dynamics: Why Trump's staff is lying https://t.co/hdNcw36tsV via @BV https://t.c…
2017-01-23 19:39:32;ezraklein;"Paul Ryan on TPP: ""Forget our party. This is important for our country.” But that was before Trump... https://t.co/lVjuM96brR"
2017-01-23 19:37:48;ezraklein;The GOP's Obamacare problem: the parts of the law they hate are the parts Trump voters like https://t.co/b4fIDtk4TH
2017-01-23 18:53:52;ezraklein;Donald Trump’s plan to cut Medicaid spending, explained: https://t.co/sO5WJbt18l
2017-01-23 18:49:27;ezraklein;The Women's Marches may have been the largest demonstration in US history: https://t.co/08XDbQXDQf https://t.co/DXt7Foohoh
2017-01-23 15:06:30;ezraklein;The fact that Trump was simply lying about releasing his tax returns shouldn't be lost to the weekend: https://t.co/MbpMnpJdxR
2017-01-23 14:49:54;ezraklein;Are you a policy-obsessed multimedia whiz? Come make videos with me! https://t.co/smLFpomtWC
2017-01-23 14:29:49;ezraklein;"""Trump is a president who is in many ways unusually vulnerable to protest"" https://t.co/OK8J0xrwy6"
2017-01-23 14:19:31;ezraklein;What Donald Trump needs to learn from...Jimmy Carter:  https://t.co/NfFH6WrHiw
