timestamp;sn;text
2017-07-18 21:10:13;GOP;RT @GOPChairwoman: Under the leadership of @POTUS, illegal border crossings down by 70% - a historic low. https://t.co/GnziU8OYpW
2017-07-18 18:00:13;GOP;🚨The 11 most popular governors are Republican and some of them are in the bluest states in the country. 🚨https://t.co/v6nlZ7SZis
2017-07-18 14:33:23;GOP;"#MadeinAmericaWeek
Part 1: Support American businesses.
Part 2: Celebrate the great American outdoors. https://t.co/QZ602ePqeK"
2017-07-18 14:27:38;GOP;RT @VP: Since day one, we’ve taken decisive action to promote and protect what @POTUS Trump calls those three beautiful words: #MadeInAmeri…
2017-07-17 23:43:09;GOP;Celebrate businesses #MadeinAmerica with 20% off all American-made #MAGA hats. Just use the code MAGA at checkout.… https://t.co/q6KIObi6T8
2017-07-17 21:41:56;GOP;"Senator “Mexico Joe"" Donnelly privately profited off of outsourcing while publicly slamming the practice. https://t.co/PQe6v6QqdO"
2017-07-17 20:08:30;GOP;RT @VP: Our @POTUS knows that America is a nation of dreamers and doers – a nation of producers and growers and makers. #MadeInAmerica http…
2017-07-17 19:19:56;GOP;#MadeInAmerica is the world standard for quality. The people behind those products will share their principles with… https://t.co/fnC7SQxKKT
2017-07-17 19:09:18;GOP;RT @justonjohnson: .@GOP staff #RLI training. S/O to @jesus_usa for sharing his story! Apply today https://t.co/ycSuKr6jRD #LeadRight https…
2017-07-17 16:31:27;GOP;RT @GOPChairwoman: While Democrats continue to obstruct and resist, it’s time for Republicans to lead and show we can govern. https://t.co/…
2017-07-17 15:40:38;GOP;"RT @GOPChairwoman: Under leadership of @SecretaryPerry the U.S. is putting good energy ideas to work &amp; promoting American resources https:/…"
2017-07-17 15:14:20;GOP;Cersei Lannister has a greater chance of uniting the realm than DNC Chair Tom Perez does of uniting his party. https://t.co/qKV3USMFpe
2017-07-16 14:27:07;GOP;Some of our favorites from @POTUS and @FLOTUS trip to France. 🇺🇸🇫🇷 https://t.co/y2qwzPjlSQ
2017-07-15 20:08:27;GOP;RT @GOPChairwoman: It is vital we continue to empower girls to get involved in STEM. Thank you, @POTUS. https://t.co/rvQc1VK8df https://t.c…
2017-07-15 18:59:01;GOP;Obamacare’s ongoing failure clearly demonstrates the CBO’s health care model is fundamentally flawed. https://t.co/njsPfWLCw0
2017-07-15 18:26:08;GOP;There’s a #MAGA hat for everyone! Use the code MAGA for 20% off! Find yours here➡ https://t.co/SdEyHkSq9x https://t.co/d3p2KMo7mf
2017-07-15 15:20:41;GOP;Nice work, @AZGOP! https://t.co/klHXRULrnk
2017-07-14 23:58:09;GOP;.@POTUS: Obamacare is out of business and we have to get this done. https://t.co/rqvOW6nJil
2017-07-14 22:06:17;GOP;Hillary Clinton and John Podesta thought the Sanders FBI investigation was a big deal, too. https://t.co/MztbsrVppu
2017-07-14 20:27:02;GOP;Schumer is blocking @POTUS's Deputy Sec. of Defense nom even though he was approved in committee by a voice vote. https://t.co/VcY8a9c78F
2017-07-14 17:37:11;GOP;RT @GOPChairwoman: Americans deserve a vote on the #BetterCare Reconciliation Act. The longer we wait, the longer we suffer under Obamacare…
2017-07-14 17:04:01;GOP;"Ever heard of Walter Shaub? Of course not. The media continually ignores this ACTUAL ethics scandal.
https://t.co/hOKP0p4oGO"
2017-07-14 16:16:42;GOP;The #NDAA provides the biggest troop pay raise in 8 years and ensures our military has the tools they need to defea… https://t.co/MHTJGjoJUK
2017-07-14 16:13:02;GOP;When Democrats say the #BetterCare Reconciliation Act cuts Medicare… https://t.co/DcpcmuvrE1
2017-07-14 15:50:03;GOP;When Democrats say the #BetterCare Reconciliation Act leaves too many uninsured… https://t.co/eNs81lR1Sm
2017-07-14 15:15:12;GOP;RT @foxandfriends: WATCH: The Star-Spangled Banner plays as Presidents Trump and Macron mark #BastilleDay in France https://t.co/nC0WJhQO58
2017-07-13 22:00:27;GOP;5. Includes the largest expansion of pro-life protections to mandatory programs ever.
2017-07-13 21:59:58;GOP;4. Provides more options for Americans to buy lower premium plans  + no tax credit punishment for those enrolled in catastrophic plans.
2017-07-13 21:59:32;GOP;3. Dedicates additional resources to combat the opioid epidemic affecting Americans across the U.S.
2017-07-13 21:58:48;GOP;2. Allows Americans to use their Health Savings Accounts to pay for their premiums.
2017-07-13 21:57:52;GOP;1. Encourages state-based reforms and provides more help to cover out-of-pocket costs.
2017-07-13 21:57:19;GOP;Here’s what you need to know about @SenateGOP #BetterCare Reconciliation Act (BRCA):
2017-07-13 17:15:31;GOP;RT if you're proud of the example @FLOTUS is setting on the world stage! https://t.co/aMzLNyefTr
2017-07-13 14:59:01;GOP;"Make The Economy Great Again
✔️Tax reform
✔️Curb regulations
✔️Rebuild infrastructure
✔️Fair trade for USA
✔️Cut go… https://t.co/InnqASdIwP"
2017-07-13 13:34:14;GOP;RT @realDonaldTrump: Melania and I were thrilled to join the dedicated men and women of the @USEmbassyFrance, members of the U.S. Military…
2017-07-13 12:29:42;GOP;Americans need relief from failing healthcare markets. Dems abandoned their responsibility while Republicans are wo… https://t.co/kNuSwkBhGh
2017-07-12 23:48:32;GOP;New CMS Projection➡️44% of counties will have 0 or only 1 insurer participating in Obamacare in 2018. https://t.co/NgMl5LQgyF
2017-07-12 21:29:52;GOP;RT @GOPChairwoman: By not supporting Kate's Law Democrats continue to demonstrate just how out of touch they are with Americans. https://t.…
2017-07-12 20:24:29;GOP;"RT @VP: I'm in Kentucky meeting w/ job creators to discuss how @POTUS &amp; our administration are working to #RepealAndReplace Obamacare. #VPi…"
2017-07-12 00:15:50;GOP;RT @GOPChairwoman: Republicans are committed to finding solutions as Obamacare collapses, yet Democrats are nowhere to be found. https://t.…
2017-07-11 21:51:03;GOP;We have a @POTUS that loves our country and listens to Americans. Share your thoughts here ➡️… https://t.co/hHCFSyOOof
2017-07-11 18:36:30;GOP;RT @GOPChairwoman: .@SenateGOP continues to work for the American people. It’s time for Senate Democrats to stop stalling and obstructing.…
2017-07-11 17:30:54;GOP;Voters want to see their senators work WITH @POTUS – not just obstruct the admin from working on their behalf. https://t.co/6Vd0LObrAj
2017-07-11 15:45:38;GOP;"RT @GOPChairwoman: I agree with @POTUS- Congress should cancel August recess &amp; keep working on important issues, including repealing &amp; repl…"
2017-07-11 15:05:43;GOP;"RT if you agree Senate Democrats should end their abuse of Senate rules to undermine &amp; obstruct @POTUS nominations. https://t.co/IAHqAq6bMZ"
2017-07-10 21:07:36;GOP;43 days, THE HIGHEST average time it's taken for the Senate to confirm a @POTUS nominee compared to past admins in… https://t.co/8ISCJDHWW2
2017-07-10 20:28:26;GOP;Senate Democrats have allowed ONLY 10% of @POTUS confirmations to happen by voice vote, compared to Obama’s 90%. https://t.co/pYCt2bMlUq
2017-07-10 18:31:32;GOP;After 8 yrs of an admin that led from behind, @POTUS reaffirmed America's commitment to leading on the world stage. https://t.co/CZ1CUK5dje
2017-07-10 16:57:09;GOP;RT @GOPChairwoman: Rough day for Bernie ➡️FBI and grand jury investigations grow as he draws his first primary in a decade. https://t.co/am…
2017-07-10 15:07:27;GOP;RT @GOPChairwoman: 2 million more Americans without insurance this year. How much more proof do we need that Obamacare is collapsing? https…
2017-07-09 18:32:18;GOP;.@Reince45 sets the record straight on Trump-Putin meeting. https://t.co/M5dh7zu0m4
2017-07-09 17:40:34;GOP;RT @GOPChairwoman: “Obamacare didn't get people healthcare. It got them higher and higher health insurance that they can't access healthcar…
2017-07-09 15:41:50;GOP;Touching gesture by @POTUS yesterday to one our nation’s finest Marines, thankful to our servicemen and women for t… https://t.co/3SuTI5R5oh
2017-07-09 15:18:23;GOP;"RT @GOPChairwoman: The @GOP cares about every American &amp; wants them to have every opportunity to succeed, but bigger gov is not the way to…"
2017-07-09 14:21:32;GOP;RT @GOPChairwoman: .@POTUS is delivering on his promise to veterans and taxpayers by bringing accountability to the VA. https://t.co/XeI0WQ…
