timestamp;sn;text
2017-01-20 17:02:21;GabbyGiffords;His success is now our success. I wish the new President grace, wisdom, and good fortune as he assumes office.
2017-01-20 00:47:40;GabbyGiffords;"RT @SenGillibrand: #TBT 2012 #SOTU w/@GabbyGiffords &amp; @POTUS. Thank you President Obama, for your grace, dignity &amp; strength these past 8 ye…"
2017-01-19 17:55:01;GabbyGiffords;.@POTUS, your leadership has helped keep guns out of dangerous hands and save lives. https://t.co/ZpssNr7oqQ
2017-01-19 16:12:49;GabbyGiffords;"RT @BetterMakeRoom: One last message from Mrs. Obama as @FLOTUS: ""Make the choice that gives you choices. Choose college."" #BetterMakeRoom…"
2017-01-19 01:33:11;GabbyGiffords;"RT @ShuttleCDRKelly: Gabby &amp; I are keeping President @GeorgeHWBush &amp; Mrs. Bush in our thoughts &amp; prayers. They are both incredible people &amp;…"
2017-01-13 20:44:48;GabbyGiffords;So grateful for the amazing work @FLOTUS has done to encourage students to pursue higher education. #BetterMakeRoom… https://t.co/fYuPBICkbJ
2017-01-12 23:23:31;GabbyGiffords;Congratulations to my friend, @VP, on receiving the Presidential Medal of Freedom. Our nation is forever grateful f… https://t.co/P5UFfw2Jjr
2017-01-09 18:51:02;GabbyGiffords;Heartbroken by the loss of two Florida law enforcement officers on Nat. Law Enforcement Officer Appreciation Day. https://t.co/RQunYoQP6i
2017-01-09 18:03:01;GabbyGiffords;NJ just became a safer place to live thanks to a responsible, bipartisan law that makes it harder for domestic abus… https://t.co/K9EH71Ws6P
2017-01-09 17:58:43;GabbyGiffords;"RT @resp_solutions: New Jersey just passed a bill into law that will make women &amp; families safer from gun violence! https://t.co/HjLX5arAbv"
2017-01-08 14:47:14;GabbyGiffords;"I pledge to do my best, each &amp; every day, to honor the memories of those who were taken in the Tucson shooting by m… https://t.co/mxr6gFl0vs"
2017-01-08 14:46:41;GabbyGiffords;I wake up each and every day grateful and determined to make the most of my second chance at life and service. https://t.co/jiykcg6Czi
2017-01-08 14:46:18;GabbyGiffords;No family or community should ever have to endure another senseless tragedy like the one that took place on January 8, 2011.
2017-01-08 14:45:50;GabbyGiffords;While I still cannot make sense of this tragedy, I can only hope that something positive can come from all of this. https://t.co/xSYZAj3iJn
2017-01-08 14:45:26;GabbyGiffords;"After the tragedy in Tucson, our city united as one. People came together to cry, to mourn &amp; to heal. Today, our city is stronger than ever."
2017-01-08 14:43:39;GabbyGiffords;On January 8, 2011, innocent lives were taken and countless others will never be the same. https://t.co/xSYZAj3iJn
2017-01-06 22:30:25;GabbyGiffords;We cannot let this horror become normal. Our country is better than this.
2017-01-06 22:29:30;GabbyGiffords;".@ShuttleCDRKelly &amp; I mourn for those taken today, and pray for those who were injured."
2017-01-06 22:28:03;GabbyGiffords;Today’s tragic shooting at FLL airport is another painful reminder of our nation’s gun violence crisis.
2017-01-06 20:50:52;GabbyGiffords;"Saddened by today's shooting in Ft. Lauderdale. @ShuttleCDRKelly &amp; I are thinking &amp; praying for those impacted by this terrible tragedy."
2017-01-04 19:30:02;GabbyGiffords;"Excited to be back on Capitol Hill today to meet w/lawmakers &amp; discuss how we can reduce gun violence &amp; make our communities safer in 2017."
2017-01-04 19:23:20;GabbyGiffords;".@repesty, thanks for leading the fight to protect the rights of law-abiding gun owners &amp; make our communities safer places to live."
2017-01-04 00:21:17;GabbyGiffords;"Thank you, @SpeakerRyan. I'm ready to work across the aisle w/ you to protect our 2nd Amdt rights &amp; make our nation… https://t.co/KSkWo7cV0k"
2017-01-03 21:16:13;GabbyGiffords;Excited to be back on Capitol Hill to welcome the 115th Congress. Hard to believe it’s been 10 years since I was fi… https://t.co/eHz7SZA7tN
2017-01-01 16:00:01;GabbyGiffords;Wishing you all a healthy and happy new year! https://t.co/igxAFA9E1z
2016-12-25 18:09:17;GabbyGiffords;"RT @ShuttleCDRKelly: .@GabbyGiffords &amp; I wish all those celebrating a very merry Christmas!"
2016-12-24 22:14:20;GabbyGiffords;Wishing a very happy #Hanukkah to everyone celebrating tonight!
2016-12-17 20:38:08;GabbyGiffords;RT @ShuttleCDRKelly: As we stand on the precipice of a new era of exploration, it’s only possible because of pioneers like John Glenn. http…
2016-12-17 19:17:49;GabbyGiffords;RT @ShuttleCDRKelly: The word ‘hero’ gets thrown around a lot. But John Glenn defined it. https://t.co/85t9wfyZLe
