timestamp;sn;text
2017-02-01 01:08:06;GavinNewsom;The once upon a time Merrick Garland seat. https://t.co/jXzAmy2cNr
2017-02-01 00:15:04;GavinNewsom;👏🏼👏🏼 https://t.co/iAfgHyekyE
2017-01-31 23:20:32;GavinNewsom;@acreach Awesome! Thank you, Andy!
2017-01-31 23:19:42;GavinNewsom;@lindam_v @CollegeOpp Nice to see you, Linda!
2017-01-31 19:59:20;GavinNewsom;Blown away by the amazing power of our team! We raised over $100k for @ACLU! Thank you to everyone who contributed to their vital work.
2017-01-31 17:31:09;GavinNewsom;Chance of dying in an attack by foreign-born terrorist: 0.00003%. Chance that this is the result of governing from… https://t.co/cIJqWGlt9N
2017-01-31 05:40:32;GavinNewsom;"@ged It's very bad.  However (sounds ""politiciany"" but TRUTH) - I've been overwhelmed + inspired by the strength of people saying ""hell no."""
2017-01-31 05:34:58;GavinNewsom;@StellaTessler @LibyaLiberty Images like this strengthen those who fight hate, and weaken those who traffic in it.… https://t.co/ILQfLvfR1Q
2017-01-31 05:28:00;GavinNewsom;@idgajon @SpeakerRyan Tried to find a more flattering pic but shockingly, the Cowardly Ryan was nowhere to be found.  :(
2017-01-31 05:25:33;GavinNewsom;@DsrtGator Thanks you. We're all going to need to call on every ounce of conviction and strength we have - the side… https://t.co/cvl5udvYnk
2017-01-31 05:18:07;GavinNewsom;@TidaX007 Thanks Tahira!  We all need to stand together to fight this small, scared bully... California isn't going to roll over.
2017-01-31 05:17:13;GavinNewsom;@mbfmariano Great to see you, Maria!
2017-01-31 04:22:46;GavinNewsom;"This is the America that is worth every second of the fight ahead. 

📸: Nuccio DiNuzzo/Chicago Tribune. https://t.co/IQZXb6YwxV"
2017-01-31 04:21:10;GavinNewsom;@Laurie900Laurie 'Tis your right of course.
2017-01-31 04:19:24;GavinNewsom;"Apparently knowing history is a ""tactic of the left.""  This explains a lot. https://t.co/PGxzsBhEHV"
2017-01-31 04:07:06;GavinNewsom;@meljablonski Thank you Melissa! Scary times...but also inspiring to see so many people fired up and engaged, ready… https://t.co/uXRUY8rRBC
2017-01-31 04:01:23;GavinNewsom;@ALANBURTT @ElleBee_SF The American people are also speaking up loudly now. We aren't going to stand for laws that… https://t.co/z1igWYfhnh
