timestamp;sn;text
2017-02-01 05:05:54;GeraldoRivera;@RobertJohnDavi @realDonaldTrump et al
2017-02-01 01:18:25;GeraldoRivera;Confirmation of #JudgeNeilGorsuch will not move #SCOTUS meaningfully. Remember he replaces #JudgeAntoninScalia, the most conservative ever.
2017-02-01 01:13:21;GeraldoRivera;#JudgeNeilGorsuch Columbia, Harvard Law, Oxford, guy is real deal-smart-conservative-not dogmatic-too bad road to confirmation will be rocky
2017-02-01 01:01:55;GeraldoRivera;#GOP wants #Democrats to play nice regarding confirmation of #SCOTUSnominee to which Dems have a war cry: Remember #MerrickGarland
2017-02-01 00:59:05;GeraldoRivera;@realDonaldTrump picking #SCOTUSnominee is even more tense than when he picked @LeezaGibbons over me on his last season of #CelebApprentice
2017-01-31 20:19:59;GeraldoRivera;If @realDonaldTrump wants #mexicowall #US must Pay for it #Refugeeban clumsy but legal. No one can abide any move to Deport young #Dreamers
2017-01-31 15:44:37;GeraldoRivera;Guess who is on Jury Duty in Manhattan? Can't wait to see look on lawyers faces when I file into their court. What… https://t.co/qhU6gJwAqV
2017-01-31 02:10:50;GeraldoRivera;Still don't believe @realDonaldTrump has evil or racist bone in his body. But these unforced errors must stop if he is to unite the country
2017-01-31 02:06:58;GeraldoRivera;To exercise power because you can is not leadership. it is bullying. Not necessary even in dangerous world, there is room for grace
2017-01-31 02:04:49;GeraldoRivera;It's like demanding #Mexico pay for #wall. Spiteful. Why impose #RefugeeBan w/o prep or notice? @realDonaldTrump can be more gracious winner
2017-01-31 01:59:09;GeraldoRivera;#RefugeeBan not evil but dumb-Why now?No warning?Panicking innocents?gives ammo to @realDonaldTrump haters-Unites opposition-imperils agenda
2017-01-30 20:36:10;GeraldoRivera;@DailyCaller just because it is your personal nightmare doesn't make it true.
2017-01-30 20:32:37;GeraldoRivera;Didn't #POTUSObama put visa restrictions on many of these same countries in 2013?
2017-01-30 13:29:15;GeraldoRivera;@SouthernJetNC @elevrivera Amen to that brother
2017-01-30 13:22:53;GeraldoRivera;@realDonaldTrump thx Mr. President, we both found the love of our lives
2017-01-30 13:16:10;GeraldoRivera;Not sure which is worse #travelban or hysterical over-reaction to it? And why no mention by protesters of #Christians negatively impacted?
2017-01-30 13:05:20;GeraldoRivera;"Celebrating beloved @elevrivera happy birthday w Sol &amp; Isabella at #Augustine in #fidi Still crazy about this fabul… https://t.co/BfDcTpfOyM"
2017-01-29 21:11:02;GeraldoRivera;@elevrivera my favorite newscaster
2017-01-29 18:55:00;GeraldoRivera;Building #mexicowall won't stop drugs, but it's the will of majority of voters in majority of states. Demanding #Mexico pay for it is spite.
2017-01-28 13:37:43;GeraldoRivera;"Rescuing #SyrianChristians should not &amp; cannot mean that #Muslims are banned. But of the 15,500 #syrianrefugees here only 125 are #Christian"
2017-01-28 13:24:55;GeraldoRivera;"From #NYT  #ISIS ""and other extremist movements across the region are enslaving, killing and uprooting Christians, with no aid in sight."""
2017-01-28 13:17:42;GeraldoRivera;When #SovietUnion released the #jews in 1990's no one complained. Why the uproar over our rescuing #SyrianChristians? They've been decimated
2017-01-28 13:15:33;GeraldoRivera;@GeraldoRivera @foxandfriends @HuntsmanAbby @PeteHegseth @ClaytonMorris @realDonaldTrump Make that a great debate with slick  @edhenry
2017-01-28 12:44:28;GeraldoRivera;"Morning heading in to do @foxandfriends with Saturday stars @HuntsmanAbby @PeteHegseth &amp; @ClaytonMorris talking @realDonaldTrump &amp; #Mexico"
2017-01-27 16:22:48;GeraldoRivera;"For generations ebb&amp;flow of immigrants legal &amp;not across border's been safety valve for #Mexico Why would they agree to pay for #mexicowall?"
2017-01-27 15:55:42;GeraldoRivera;#Miami Mayor Giménez-a Cuban-born Republican-his decision to end #Sanctuary irrelevant to #NY #LA #Chicago #SF run by #Dems -Big fight looms
2017-01-27 13:45:56;GeraldoRivera;Certainty #Putin #Russia will take advantage of @realDonaldTrump in bilateral negotiation same as certainty #POTUS would lose #Election2016
2017-01-26 21:55:14;GeraldoRivera;"#mexicowall keeps out their agricultural &amp; domestic workers. The 20% tariff erodes their manufacturing. What happens when #Mexico fails?"
2017-01-26 17:15:21;GeraldoRivera;#¡Cálmate! Don't need a bilateral crisis dividing continent-There are too many common interests-Don't make it another who's is bigger fight
2017-01-26 17:10:21;GeraldoRivera;"Memo to #POTUSTrump &amp; #PresidentNieto ¡Cálmate! This isn't 1846-Let's be cool-Stay in negotiations-11% of #USA population is Mexican descent"
2017-01-26 16:36:28;GeraldoRivera;@joshlevyesq Amen Brother
2017-01-26 14:57:42;GeraldoRivera;"Last thing #USA needs is a destabilized #Mexico. We can't build wall-yank factories-impose tariffs &amp; expect law &amp; order South of the Border"
2017-01-26 03:04:34;GeraldoRivera;you cannot say #Israel is a true democracy when you turn a blind eye to the noxious expansion of settlements on #Palestinian land.
2017-01-26 00:27:28;GeraldoRivera;For 1st time in 28 years there is no #latino in the #POTUS #Cabinet With issues like #Dreamers #mexicowall #immigrationreform make sense?
2017-01-25 20:33:11;GeraldoRivera;"#mexicowall #Immigration #Dreamers All these issues concerning Hispanics USA's largest minority &amp; None in Trump Cabinet-1st time since 1989"
2017-01-25 19:01:10;GeraldoRivera;#ChicagoPD needs #Compstat which includes #intelligence Social media of #gangs should be monitored-Crime hot spots must be heavily patrolled
2017-01-25 18:56:48;GeraldoRivera;"#Chicago does not need Feds, it needs #Compstat &amp; constitutional  #stopandfrisk &amp; periodic roadblocks to stop import of guns from #Indiana"
2017-01-25 18:28:05;GeraldoRivera;"Statistically, #Chicago murders have nearly Zero to do with #illegalimmigration &amp; nearly Everything to do with #Illegalguns"
2017-01-25 18:20:34;GeraldoRivera;"Defunding #Sanctuarycities like #NYC #Chicago #LA + states, universities &amp; churches will face tidal wave of lawsuits &amp; #SCOTUS decisions"
2017-01-25 16:02:03;GeraldoRivera;"Whatever your thoughts on #POTUS @realDonaldTrump rocky week, Bravo on @nikkihaley to #UN &amp; lots of folks are making lots of $$$ as #dow20k"
2017-01-25 14:47:21;GeraldoRivera;"A multi-billion dollar #Mexicanwall stops the little people-Juan &amp; Maria the fruit pickers-it doesn't stop dopers #ElChapo 's of the world"
2017-01-25 14:44:23;GeraldoRivera;"20 ft #Mexicanwall= $13,000,000,000; 21 ft ladder = $20. Still, if you want it, build it, instead of bridges, tunnels, schools, roadways etc"
2017-01-25 14:36:44;GeraldoRivera;Shouldn't #Mexicanwall be part of reasoned negotiation including vastly expanded temporary worker permits to help both nations reasonably?
2017-01-25 14:34:33;GeraldoRivera;"If #Mexicans can't pick our fruits &amp; veggies-care for our young-wash our dishes, mow our lawns, pack our meat, process our poultry who will?"
2017-01-25 14:31:35;GeraldoRivera;"if #Mexicanwall built, at the same time we impose tough tariffs on goods built in #Mexico, Will southern neighbor destabilize &amp; chaos ensue?"
2017-01-24 22:39:54;GeraldoRivera;"Let's start over-both sides-no more talk of #illegitimate presidency from critics &amp; no more conspiracy theories re #voterfraud from #POTUS"
2017-01-24 20:19:28;GeraldoRivera;@greta Hi Greta, miss you and hope those wild and crazy progressives over at my old network are treating you well warm wishes
2017-01-24 18:41:02;GeraldoRivera;Where rubber hits the road re: #SCOTUS is when @realDoanldTramp #potus45 is called upon to replace one of the 4 Liberals. Not #Scalia seat
2017-01-24 18:39:14;GeraldoRivera;1st #SCOTUSnominee is ultra-conservative #Scalia's replacement #POTUS @realDonaldTrump has ethical political moral rt to choose conservative
2017-01-23 21:14:20;GeraldoRivera;"@POTUS @realDonaldTrump is right to ally w #Russia in #Syria vs #ISIS &amp; oppose #China &amp; fake islands that are permanent aircraft carriers."
2017-01-23 21:08:15;GeraldoRivera;Once @realDonaldTrump @POTUS is fully briefed on #Israel #palestinians  he will not ignite needless violence by moving Embassy to #Jerusalem
2017-01-23 20:59:02;GeraldoRivera;"Clear @realDonaldTrump @POTUS is Not targeting #daca #Dreamers That's an important decision that should give some comfort to kids &amp; families"
2017-01-23 20:55:23;GeraldoRivera;@PressSec did better-less defensive-he's right #Inauguration 2017 was most watched ever If you add all platforms-enough re: whose is bigger?
2017-01-23 02:43:22;GeraldoRivera;Crummy football today, two crushing defeats for usually good tough teams
2017-01-22 21:31:02;GeraldoRivera;"F÷ck #Nazis But you start condoning felony assault &amp; next time they'll blindside someone you like-Takes no guts to punch someone not looking"
2017-01-22 17:03:30;GeraldoRivera;"@seanspicer better study up &amp; man up in a hurry-If he can't count-be cool or have balls to take a question, he can't have #POTUSTrump's back"
2017-01-22 16:58:41;GeraldoRivera;Watching Sunday shows its clear there is horde of left journalists #WaPo #NYT etc dedicated to taking down #POTUSTrump Not Paranoia, Reality
2017-01-22 16:32:44;GeraldoRivera;"The rubber will hit road when #POTUSTrump nominates his choice to replace #Scalia on #SCOTUS &amp; #PlannedParenthood $ &amp; #RoeVWade are at risk."
2017-01-22 16:20:44;GeraldoRivera;"#WomensMarch was an historic display of participatory democracy &amp; #POTUSTrump is right to praise its peaceful execution. Thats what we need."
2017-01-22 02:27:52;GeraldoRivera;Massive television viewing #FoxNews #1 bolsters @realDonaldTrump #POTUS45 contention that his #Inauguration was one of the most watched ever
2017-01-22 01:43:52;GeraldoRivera;@seanspicer didnt do boss any favors tonight w shouted amateur briefing/lecture about bigness-Once you play numbers you lose to math experts
