timestamp;sn;text
2017-02-01 03:23:45;GovMikeHuckabee;"Will the ""Never Trumper"" skeptics now acknowledge that @POTUS is doing exactly what he promised?  Gorsuch: another promise made,promise kept"
2017-01-31 14:10:39;GovMikeHuckabee;"If Federal employees can't work for @POTUS then ""don't let the door hit you where the Good Lord split you!""  #draintheswamp"
2017-01-31 03:16:11;GovMikeHuckabee;"Media going more ape than usual because @Potus expects ppl who work FOR him to act like it; Media still don't get it--ppl are w/ Trump!"
2017-01-31 02:48:29;GovMikeHuckabee;"@POTUS says to ""Acting"" AG--""You're Fired!"" Refreshing to have Pres w/ guts to fire arrogant and belligerent staff not elected to anything."
2017-01-30 19:55:30;GovMikeHuckabee;"5pm EST today on Fox Biz-I'll explain to leftists why their paranoia about immigration order is absurd;I'll talk REAL SLOW-hope they get it!"
2017-01-30 13:52:40;GovMikeHuckabee;Think media and Dems are either ignorant or deliberately LYING about President's EO on immigration?  You decide:  https://t.co/cTfNFAktEV
2017-01-30 13:50:45;GovMikeHuckabee;"Will be on Fox Newsroom at 9:10am and Varney on Fox Biz at 10:30am; Watch or your passport will be revoked!"
2017-01-29 15:24:38;GovMikeHuckabee;"Virtually every outraged claim about @POTUS executive order temporarily restricting visas is completely wrong. 

https://t.co/FJWUfsEuMb"
2017-01-29 15:12:06;GovMikeHuckabee;If CA were to actually secede, what work it look like?  Hilarious vision by CA resident. https://t.co/4pzwmfQwTB
2017-01-27 17:45:52;GovMikeHuckabee;Pray for Israeli city of Amona where I visited 2wks ago that they will be spared eviction over UN pressure. https://t.co/XKJ1O1cBDK
2017-01-27 16:43:34;GovMikeHuckabee;Why does CNN call prolife ppl anti-abortion and pro abortion ppl pro choice? Prolife ppl are for life of baby and mother. CNN shows bias.
2017-01-27 05:08:15;GovMikeHuckabee;Must see for Dems re: immigration reform from their favorite President.  (Hint:  It ain't Pres Trump!)  https://t.co/9v592Ml9Sj
2017-01-26 22:39:37;GovMikeHuckabee;"Very proud of @VP for his plan to speak on Fri at March for Life in DC-highest ranking official EVER to attend; #respectforALLhumanlives!"
2017-01-26 16:16:18;GovMikeHuckabee;Why does future belong to conservatives?  They have children instead of aborting them. https://t.co/ahquWxKfzp
2017-01-25 19:28:22;GovMikeHuckabee;"NYT Krugman said @potus would=economy that would never recover; today Dow hits 20k; Krugman hits skids-NYT is paper of broken record!"
2017-01-25 14:17:33;GovMikeHuckabee;"DC  elites and the press have hard time dealing w/ Pres Trump; he keeps promises--something Washington isn't used to.  #MAGA"
2017-01-23 21:55:12;GovMikeHuckabee;Interview: AXS talks music and guitars with Governor Huckabee at this year’s NAMM  https://t.co/Vz3KzkBVgL
2017-01-23 20:21:27;GovMikeHuckabee;"Thank God that atheists protect choir students from the trauma of trip to sing at St. Anthony’s Basilica in Italy! 
https://t.co/73BYLBMOxx"
2017-01-23 20:13:19;GovMikeHuckabee;What do I call President Trump's three executive orders earlier today?  A good start!
2017-01-23 14:44:13;GovMikeHuckabee;"Why is Michael Moore so anti-Trump? Afraid if automaking jobs return to Flint, he’ll have to return the money from “Roger &amp; Me”?"
2017-01-22 02:05:00;GovMikeHuckabee;RT @JenniferJJacobs: Deputy press secretary Sarah Huckabee Sanders (in black) is here, next to Lindsay Walters (in orange). https://t.co/7W…
2017-01-21 18:38:10;GovMikeHuckabee;"To all the women marchers....if truly concerned re women's rights --head to the Saudi Embassy; they could use the message!"
2017-01-21 18:18:55;GovMikeHuckabee;"Why do people holding ""Love Trumps Hate"" signs look so mean? No love or joy on faces. Are they angry and unhappy or just constipated? #MAGA"
2017-01-21 15:40:29;GovMikeHuckabee;Pres Trump has brought back the bust of Churchill to Oval Office. Someone in the media can explain how admiring Churchill is  Hitler-like
2017-01-21 15:26:57;GovMikeHuckabee;As per WaPo, the sun rose at 7:23 a.m. in Washington, DC.  casting doubt on everything else WaPo predicted would happen if Trump became Pres
