timestamp;sn;text
2017-01-31 19:27:20;HillaryClinton;"What I'm thinking about today:

Khizr Khan:
https://t.co/wrHK7IkBrG

And a vet who fought with those now excluded:
https://t.co/4LhNIT8xVo"
2017-01-29 03:49:45;HillaryClinton;"I stand with the people gathered across the country tonight defending our values &amp; our Constitution. This is not who we are."
2017-01-23 00:20:14;HillaryClinton;.@MichaelNutter got a lot of great points into 140 characters here. We have to keep the momentum. https://t.co/Bd66lBPMEs
2017-01-23 00:18:36;HillaryClinton;"Scrolling through images of the #womensmarch is awe-inspiring. Hope it brought joy to others as it did to me.
https://t.co/29oaMvk3hU"
2017-01-21 20:27:17;HillaryClinton;"I stand w/ Nora Harren, a 17-year  from Boise, ID, &amp; every person marching for our values today. Onward! ✊✊🏾✊🏽✨… https://t.co/Zt8THPtAn8"
2017-01-21 16:39:53;HillaryClinton;"'Hope Not Fear'
Indeed. 
And what a beautiful piece by Louisa Cannell. 
#womensmarch 👊👊🏻👊🏼👊🏽✨ https://t.co/7h3Bzx79nB"
2017-01-21 15:07:21;HillaryClinton;"Thanks for standing, speaking &amp; marching for our values @womensmarch. Important as ever. I truly believe we're always Stronger Together."
2017-01-20 15:53:50;HillaryClinton;"I'm here today to honor our democracy &amp; its enduring values. I will never stop believing in our country &amp; its future. #Inauguration"
2017-01-19 00:00:19;HillaryClinton;"Indeed. Bill &amp; I have you in our thoughts &amp; look forward to you both being back on your feet soon, wild socks &amp; all… https://t.co/yUWSbJDnlH"
2017-01-03 23:28:01;HillaryClinton;"Delighted that @NYGovCuomo proposed free college for ppl making &lt;125K in NY. A plan @SenSanders &amp; I worked hard on. https://t.co/V0aXjhxKpm"
2016-12-26 21:37:34;HillaryClinton;"The holidays are a time to be thankful for our blessings. Let's rejoice in this season &amp; look forward with renewed hope &amp; determination. -H"
2016-11-24 20:40:17;HillaryClinton;I was greeted by this heartwarming display on the corner of my street today. Thank you to all of you who did this.… https://t.co/fWPOa4Bgzc
2016-11-24 20:37:00;HillaryClinton;"Hoping everyone has a safe &amp; Happy Thanksgiving today, &amp; quality time with family &amp; friends. -H"
2016-11-17 00:15:53;HillaryClinton;Looking forward to honoring some brave young people tonight at @ChildDefender where I started my career. Tune in: https://t.co/4gmaM2A9Dx -H
2016-11-09 18:55:10;HillaryClinton;Scripture tells us: Let us not grow weary in doing good, for in due season, we shall reap, if we do not lose heart. https://t.co/snXfdLgZq8
2016-11-09 16:53:19;HillaryClinton;“Let us have faith in each other. Let us not grow weary. Let us not lose heart. For there are more seasons to come and...more work to do.”
2016-11-09 16:53:02;HillaryClinton;“We are stronger together and will go forward together. And you should never, ever regret fighting for that.” —Hillary
2016-11-09 16:52:19;HillaryClinton;“I am grateful to our country for all it has given me. I count my blessings every day that I am an American.” —Hillary
2016-11-09 16:51:59;HillaryClinton;"""To all the little girls watching...never doubt that you are valuable and powerful &amp; deserving of every chance &amp; opportunity in the world."""
2016-11-09 16:51:46;HillaryClinton;"""We have still have not shattered that highest and hardest glass ceiling. But some day, someone will."" —Hillary"
2016-11-09 16:50:46;HillaryClinton;"""To all the women...who put their faith in this campaign and in me...nothing has made me prouder than to be your champion."" —Hillary"
2016-11-09 16:50:23;HillaryClinton;"""This loss hurts. But please never stop believing that fighting for what’s right is worth it."" —Hillary"
2016-11-09 16:47:31;HillaryClinton;"""To Bill, Chelsea, Marc, Charlotte, Aidan, our brothers, and our entire family—my love for you means more than I can ever express."" —Hillary"
2016-11-09 16:47:13;HillaryClinton;"""To Barack and Michelle Obama, our country owes you an enormous debt of gratitude. We thank you for your graceful, determined leadership.”"
2016-11-09 16:45:58;HillaryClinton;"""I want to thank Tim Kaine and Anne Holton for being our partners on this journey."" —Hillary"
2016-11-09 16:45:42;HillaryClinton;"""Our responsibility as citizens is to keep doing our part to build that better, stronger, fairer America we seek. And I know you will.”"
2016-11-09 16:44:28;HillaryClinton;"""Our constitutional democracy demands our participation, not just every four years, but all the time."" —Hillary"
2016-11-09 16:43:34;HillaryClinton;“Donald Trump is going to be our president. We owe him an open mind and the chance to lead.” —Hillary
2016-11-09 16:43:20;HillaryClinton;"""We have seen that our nation is more deeply divided than we thought. But I still believe in America—and I always will."" —Hillary"
2016-11-09 16:43:06;HillaryClinton;"""I want you to remember this: Our campaign was never about one person or even one election. It was about the country we love.” —Hillary"
