timestamp;sn;text
2016-11-09 02:48:17;HFA;@DebGoBlue Thanks for telling us! What's the polling place, and how long is the wait? Remember, every vote counts! -MFS
2016-11-09 02:47:11;HFA;@TommyTrinh1 Thanks for telling us! What county/state are you in and what's the name of your polling place? Remember, every vote counts. -TJ
2016-11-09 02:47:01;HFA;@SarahHerreraTV Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -LH
2016-11-09 02:46:43;HFA;@caffeineguru  Thanks--we'll look into this! - Rishi
2016-11-09 02:46:24;HFA;@courtgolf Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:43:20;HFA;@AnnaLieAlvarez Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -LH
2016-11-09 02:43:14;HFA;@RandyJSchneider  Can you DM/send us your name and e-mail or phone number, so that we can look into this? Thank you! -Rishi
2016-11-09 02:43:01;HFA;@tay_nicole98 Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! - Dan
2016-11-09 02:42:51;HFA;@xo_celesteee Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:42:42;HFA;@camdb1011 Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:40:06;HFA;@oyalep @KTLA Thanks for informing us! What county/state are you in and what is the name of your polling place? - Laura
2016-11-09 02:39:47;HFA;@KDessellier Thanks--we'll look into this! - Laura
2016-11-09 02:39:17;HFA;@ainetboyle Thanks for informing us! What county/state are you in and what is the name of your polling place? - Laura
2016-11-09 02:38:17;HFA;@ljanem @AnneCraig8 Thanks! What is the name of your polling place? -Zach
2016-11-09 02:37:54;HFA;@CarlosRawrrr Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! - Dan
2016-11-09 02:37:13;HFA;@OHHYEAHHES Thanks for informing us! What state are you in and what is the name of your city/county? -Zach
2016-11-09 02:36:04;HFA;@DanteFlorence Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! - Dan
2016-11-09 02:34:59;HFA;@Jmilllzzz Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:34:25;HFA;@caffeineguru  Thanks for informing us! What county/state are you in and what is the name of your polling place? -Rishi
2016-11-09 02:34:01;HFA;@EnergizerHunnii Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Dan
2016-11-09 02:33:18;HFA;@Onikanism Thanks for informing us! What county/state are you in and what is the name of your polling place? -Zach
2016-11-09 02:31:55;HFA;@CastanedaPeter_ Thanks--we'll look into this! -MFS
2016-11-09 02:30:56;HFA;@BigMikeOnAir  Can you DM/send us your name and e-mail or phone number, so that we can look into this? Thank you! -Rishi
2016-11-09 02:29:54;HFA;@Valgreen89 Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:29:20;HFA;@BoBBoTheKlown We can check that info for you -- what county/state are you in? - Laura
2016-11-09 02:29:05;HFA;@lahelamaxwell Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -MFS
2016-11-09 02:28:16;HFA;@Coach_Ralph Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:27:55;HFA;@ashleypmoore1 Thanks for informing us! What county/state are you in and what is the name of your polling place? - Laura
2016-11-09 02:27:44;HFA;@BMurph_10 Thanks--we'll look into this! -MFS
2016-11-09 02:27:34;HFA;@RandyJSchneider Thanks for informing us! What county/state are you in and what is the name of your polling place? -Rishi
2016-11-09 02:27:18;HFA;@karlarecinos6 Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! - LF
2016-11-09 02:26:35;HFA;@jocboo927 Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:26:14;HFA;@taylorniss Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:25:45;HFA;@deeloc37 Thanks for letting us know! -Lauren
2016-11-09 02:25:13;HFA;@hirschikiss Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -TRJ
2016-11-09 02:24:45;HFA;@CastanedaPeter_ Were there people outside of the facility on a line who were not allowed in to vote at closing time?
2016-11-09 02:24:23;HFA;@deeloc37 Can you tell me polling place too? -Lauren
2016-11-09 02:23:29;HFA;@ameenah_thomas Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -SH
2016-11-09 02:22:58;HFA;@gisellearely Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:22:29;HFA;@lordbeef Thanks for telling us! What's your county, polling place, and how long is the wait? Remember, every vote counts! -Steph
2016-11-09 02:22:12;HFA;@wella Thanks for informing us! What county/state are you in and what is the name of your polling place? -Steph
2016-11-09 02:21:56;HFA;@deaarstacy Thanks for informing us! What county/state are you in and what is the name of your polling place? - Laura
2016-11-09 02:21:33;HFA;@Tresilaze Thanks for informing us! What state are you in and what is the name of your city/county? -Steph
2016-11-09 02:21:04;HFA;@NonSorry Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Steph
2016-11-09 02:20:56;HFA;@hubbardhawkeye Thanks--we'll look into this! -Zach
2016-11-09 02:20:40;HFA;@kanubelievethis  Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -RM
2016-11-09 02:20:25;HFA;@venegass_97 Stay in line! As long as you're in line by closing, you can still vote! -Zach
2016-11-09 02:20:10;HFA;@sierryay Thanks--we'll look into this! - Dan
2016-11-09 02:19:29;HFA;@BMurph_10 Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:19:06;HFA;@deeloc37 Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:18:16;HFA;@CastanedaPeter_ Just to clarify, they are letting everyone in line, vote, correct?
2016-11-09 02:17:52;HFA;@paix120 VA polls are open 6am-7pm. If you’re in line by 7pm, you're allowed to vote. For more info, visit https://t.co/aBNlsmATAX -Steph
2016-11-09 02:17:10;HFA;@A_TizzleYo Thanks for informing us! What county/state are you in and what is the name of your polling place? - Laura
2016-11-09 02:16:00;HFA;@CarezAH1 Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! - Laura
2016-11-09 02:15:02;HFA;@ljanem @AnneCraig8 Thanks for informing us! What county/state are you in and what is the name of your polling place? -Zach
2016-11-09 02:14:27;HFA;@krissymurnieks  Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! - RM
2016-11-09 02:13:37;HFA;@BaewonDanillo Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -TRJ
2016-11-09 02:12:31;HFA;@RaiderWoody Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! -Lauren
2016-11-09 02:11:27;HFA;RT @tyleroakley: IF YOU ARE IN LINE, STAY IN LINE #ElectionNight
2016-11-09 02:11:14;HFA;@ydrcom Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! - Dan
2016-11-09 02:11:01;HFA;@kindakija Thanks for telling us! What's your county/state and polling place? -Lauren
2016-11-09 02:10:53;HFA;@samikimr Thanks--we'll look into this! - Laura
2016-11-09 02:10:44;HFA;@RPswerve Thanks for informing us! What county/state are you in and what is the name of your polling place? -TRJ
2016-11-09 02:09:39;HFA;@sierryay Thanks for telling us! What's your county/state, polling place, and how long is the wait? Remember, every vote counts! - Dan
