timestamp;sn;text
2016-11-08 23:01:29;HillaryForGA;"RT @HillaryClinton: Election Day is almost over. Don’t wait—go vote now! 
Confirm where you vote at https://t.co/jfd3CXLD1s https://t.co/Iv…"
2016-11-08 22:37:54;HillaryForGA;"""I'm betting that...you will reject fear and you will choose hope.""—@POTUS last night in PA 

Let's prove him right… https://t.co/0a5UT41r4w"
2016-11-08 22:05:04;HillaryForGA;RT @RobbyMook: Across the country, @HFA volunteers setting all-time records for shifts, doors, calls. Join them making history: https://t.c…
2016-11-08 21:49:20;HillaryForGA;Vote to protect the progress we've made. Vote to move our country forward. https://t.co/ro9FX730XV #StrongerTogether https://t.co/Tyi5way03B
2016-11-08 20:47:44;HillaryForGA;Questions about voting? @HFA is here to help. Just tweet or DM and you'll get a response in real time! https://t.co/XdUfGrYYTq
2016-11-08 20:24:25;HillaryForGA;If you believe, VOTE: https://t.co/Zzzkurmji8 https://t.co/GRMJSMYdz8
2016-11-08 19:05:29;HillaryForGA;RT @HillaryClinton: It's going to be close, and we need you on this team. Confirm where to vote today: https://t.co/jfd3CXLD1s
2016-11-08 18:20:14;HillaryForGA;Help @HillaryClinton win by taking a few minutes today to call voters in key states. We need you on the line:… https://t.co/AuH3z3NBpc
2016-11-08 17:30:40;HillaryForGA;Go high, Georgia—and let's make history: https://t.co/ro9FX730XV https://t.co/Z13SximjKl
2016-11-08 17:20:18;HillaryForGA;RT @HillaryClinton: Today, let's show the world that love will always trump hate. https://t.co/jfd3CXu1CS https://t.co/a7FXGtAfiG
2016-11-08 17:05:02;HillaryForGA;RT @aliciakeys: This morning, I woke up feeling hopeful for the power of our voice, for unity, for our continued progress. #VoteLove #ImWit…
2016-11-08 16:30:57;HillaryForGA;RT @HillaryClinton: Already voted? That's great! Now help Hillary win by signing up to make calls now: https://t.co/2yc00omuvC
2016-11-08 16:29:33;HillaryForGA;RT @POTUS: Today, progress is on the ballot. Go vote - then make sure your friends, your family, and everyone you know votes too.
2016-11-08 15:11:35;HillaryForGA;RT @HillaryClinton: Happy Election Day! https://t.co/jfd3CXLD1s https://t.co/IfOBRuvQzJ
2016-11-08 14:50:45;HillaryForGA;Questions about how or where to vote today? The @HFA team is on hand to help in real time—just tweet or DM! https://t.co/KxGf7JyHA6
2016-11-08 14:34:05;HillaryForGA;When barriers fall in America, for anyone, it clears the way for everyone: https://t.co/zCLmF6XDXV
2016-11-08 14:17:59;HillaryForGA;RT @RobbyMook: Today, we'll make history. Share https://t.co/huK6I75Q2q with friends across the country #GOTVforHRC https://t.co/SrMkagiu2O
2016-11-08 14:13:10;HillaryForGA;It's #ElectionDay—start your day at the polls! Join millions of Americans who will cast their votes for Hillary: https://t.co/Zzzkurmji8
2016-11-08 14:03:44;HillaryForGA;RT @HillaryClinton: Everything we’ve worked toward comes down to today. RT this if you're voting for Hillary: https://t.co/jfd3CXLD1s https…
