timestamp;sn;text
2016-11-09 00:49:00;HillaryforMI;Remember if you are in line at 8pm, stay in line. Report any issues to our voter protection hotline. #MIVote https://t.co/9phVnKcs3X
2016-11-09 00:40:00;HillaryforMI;If you’re still in line at 8pm, stay in line to vote. Make sure your voice is heard. #MIVote https://t.co/KqOVJpVNso
2016-11-09 00:17:00;HillaryforMI;Remind your friends and family members, there is still time to vote in Michigan. Polls close at 8pm.… https://t.co/y65TO7wHt9
2016-11-09 00:02:17;HillaryforMI;RT @timkaine: Spread the word: If you're in line by the time polls close, you can vote. https://t.co/P9VTasrQIN
2016-11-09 00:00:01;HillaryforMI;Polls in Michigan are closing in one hour! Don’t miss your chance to  keep moving our country forward. Vote!… https://t.co/8I9wuQ0yWj
2016-11-08 23:49:57;HillaryforMI;RT @TeamPantsuit: Amy, along with our other great volunteers are still going strong tonight! #MiSheCan #MIVotes  #Detroit https://t.co/gTqH…
2016-11-08 23:30:01;HillaryforMI;Michigan, it’s not too late to make history. Polls close at 8pm. → https://t.co/hVuCHgQKsS #MIVote #MISheCan https://t.co/a1WtJkOCDN
2016-11-08 23:12:01;HillaryforMI;There is still time to get your #iVoted sticker. Find your polling place: https://t.co/hVuCHgQKsS #MIVote https://t.co/9a2Igk44mV
2016-11-08 21:57:14;HillaryforMI;RT @troy96xxx: My mom voted for the first time in 40 years and she voted for the only person who can stop Trump, @HillaryClinton #ImWithHer…
2016-11-08 21:51:59;HillaryforMI;RT @PINKDetroit: Taelor and Taylor voted, did you? #PINKOUTTheVote #ViewsFromPINK #MISheCan #StrongerTogether #PINKdetroit #WorldsGreatestM…
2016-11-08 21:51:30;HillaryforMI;RT @JohnDingell: The little one's vote might not count, but thank you for bringing them to make history. https://t.co/tXl78CxOlq
2016-11-08 21:48:00;HillaryforMI;Polls in Michigan close at 8pm, find your polling place: https://t.co/3KmUvEGmVs #MIVote https://t.co/5qrpxlvyPG
2016-11-08 21:15:21;HillaryforMI;RT @GRITSloveMI: Our volunteer leadership voted FIRST then came to help us run our location! #MISheCan is truly #StrongerTogether https://t…
2016-11-08 20:32:40;HillaryforMI;RT @JohnDingell: If any of my Michigan followers hear of any issues at the polls, make sure to call @HillaryforMI's Voter Protection Hotlin…
2016-11-08 20:19:50;HillaryforMI;Voters are making a difference all over Michigan. Don’t miss out. → https://t.co/hVuCHgQKsS #MIVote https://t.co/83HdgGu4s5
