timestamp;sn;text
2016-11-08 21:49:20;HillaryForNY;Vote to protect the progress we've made. Vote to move our country forward. https://t.co/UVQ2DJmpSv #StrongerTogether https://t.co/s3D5I3swnS
2016-11-08 14:48:42;HillaryForNY;"RT @ELaserDavies: FIRED UP &amp; READY TO GO. @HillaryForNY is coming for you, @HillaryforPA! #StrongerTogether https://t.co/w5w390RQGs"
2016-11-08 14:46:50;HillaryForNY;"RT @OhKaye_DohKaye: Just knocked on a woman's door who started jumping up and down yelling ""I VOTED THIS MORNING"" with tears in her eyes! T…"
2016-11-08 14:37:46;HillaryForNY;"RT @HillaryHQVols: ELECTION DAY IS FINALLY HERE! And so are our incredible #HQvols who are FIRED UP &amp; READY TO GO to #GOTV4HRC in Pennsylva…"
2016-11-08 12:35:32;HillaryForNY;Make sure all of your friends and family know: @HFA and @TheDemocrats has answers to their voting questions.… https://t.co/nqSQzpNxYD
2016-11-08 12:30:45;HillaryForNY;It’s #ElectionDay! Join millions of Americans to vote for Hillary. Find out where you'll vote:… https://t.co/i3dHX7jjXu
2016-11-08 12:10:19;HillaryForNY;"RT @HillaryHQVols: New Yorkers, the polls are open! Find your polling location at https://t.co/tvwx5iahuh and make sure you #GOTV4HRC &amp; #Ma…"
2016-11-08 04:51:30;HillaryForNY;RT @AybarF: Amazing experience at the @HFA HQ! Don't forget to #VOTEHILLARY tomorrow! #ImWithHer @HillaryClinton @HillaryForNY 🇺🇸 https://t…
2016-11-08 01:51:20;HillaryForNY;LIVE on #Periscope: Live from #ClubGOTV https://t.co/Jhz7oiuwaF https://t.co/JisH0uELMB
2016-11-07 17:20:52;HillaryForNY;RT @HillaryHQVols: On this day 16 years ago Hillary was elected Senator of New York. Tomorrow she may be elected President of the United St…
2016-11-07 02:42:30;HillaryForNY;RT @HillaryHQVols: The last 50 days have been incredible but now we have 50 HOURS LEFT UNTIL THE LAST POLLS SHUT ON E-DAY! #LetsDoThis #Fig…
