timestamp;sn;text
2016-11-10 19:27:08;HillaryforPA;"""Never stop believing that fighting for what's right is worth it."" —Hillary

Thank you, Hillary and thank you Penns… https://t.co/DgI7LDbbLa"
2016-11-09 00:57:54;HillaryforPA;RT @PADems: Alright Pennsylvania, we've only got four minutes to save the world... get in line before 8 pm AND VOTE FOR DEMOCRATS. #StayInL…
2016-11-09 00:56:17;HillaryforPA;Pennsylvania: STAY IN LINE at the polls! As long as you are in line by 8pm, you will be allowed to vote. https://t.co/5DUmqO18cq
2016-11-09 00:50:48;HillaryforPA;Pennsylvania, you have 10 minutes left to get to your polling place. If you are in line before 8pm, you'll be able… https://t.co/fNmSoCvXya
2016-11-09 00:40:02;HillaryforPA;Pennsylvania—if you haven't voted yet, go to your polling place NOW. If you are in line by 8p, you can vote!… https://t.co/h77zLr3ECJ
2016-11-09 00:30:04;HillaryforPA;Experiencing problems at the polls? Our team is here to help. Tag, tweet or DM @HFA with questions. https://t.co/LmXC87kMR4
2016-11-09 00:20:02;HillaryforPA;Hillary is a fighter who never gives up. Tonight, we need to be there for her. Make sure to get to the polls before… https://t.co/cVI4C8OoCw
2016-11-09 00:15:02;HillaryforPA;If you are in line before the polls close, you have the right to vote. Stay in line! #ProudToBePA https://t.co/7IPDXlfWZG
2016-11-09 00:00:10;HillaryforPA;Polls close in PA in ONE HOUR at 8pm. Get there now and vote! Don't know where to go? Confirm before you leave:… https://t.co/crBpKFwDbE
2016-11-08 23:58:08;HillaryforPA;"RT @NancyAndrews: Ground game continues @HillaryforPA marching orders ""leave EVERYTHING on the field"" off to door knock w/ 1.5 hrs left 2 v…"
2016-11-08 23:45:06;HillaryforPA;Vote, the choice is yours. Don't vote, the choice is theirs. #ProudToBePA https://t.co/t14xEvOX6y
2016-11-08 23:30:04;HillaryforPA;We need your help to make sure that everyone in Pennsylvania has the chance to have their voice heard. #ProudToBePA https://t.co/9lXDP4tUKg
2016-11-08 23:18:04;HillaryforPA;This is it, PA. The last sprint to the end of this historic campaign. Make sure everyone you know has voted. If the… https://t.co/MZBkTwQrW7
2016-11-08 22:59:55;HillaryforPA;RT @JennyRuth81: Go vote, #Pennsylvania! @HillaryforPA #ProudToBePA #Election2016 https://t.co/BkyWK6xf2d
2016-11-08 22:58:58;HillaryforPA;RT @thelifeofolive: #boilingtogether #StrongerTogether #proudtobepa #ImWithHer https://t.co/bfCQVBwAEY
2016-11-08 22:58:29;HillaryforPA;RT @swat4hillary: #Swatties4Hillary members came through for one final GOTV push! #ProudToBePA #ElectionDay https://t.co/FAzr1FiGUK
2016-11-08 22:55:36;HillaryforPA;Pennsylvania—it's been a great day so far but it's not over yet. If you haven't voted yet, GO VOTE NOW! #ProudToBePA https://t.co/uvcxPnvMQT
2016-11-08 22:50:31;HillaryforPA;RT @payoungdems: PENNSYLVANIA: GO VOTE. And remember, if you're in line at 8, STAY IN LINE. #GOTVforHRC #ProudToBePA https://t.co/vP7HxDgDRz
2016-11-08 22:50:24;HillaryforPA;RT @J_dem_7: This image gives me hope for our future #proudtobepa #Hilladelphia #GOTV https://t.co/kO1X5AXJmI
2016-11-08 22:50:20;HillaryforPA;RT @Christinelpearl: Branin was a delegate @BernieSanders. Today he's making calls for @HillaryClinton because he knows we are #StrongerTog…
2016-11-08 22:50:13;HillaryforPA;RT @JamesForPA: Last hours of volunteering at #hillanova for the campaign. could not be prouder of the work they did #proudtobepa #proudtob…
2016-11-08 22:50:03;HillaryforPA;"RT @SarahAudelo: Aaaaaaaand we're playing ""Fight Song"" to kick off our LAST #proudtobepa shift! 

We are SO CLOSE."
2016-11-08 22:48:15;HillaryforPA;"RT @reshinip: THREE HOURS until polls close in PA &amp; we elect the next POTUS. GO VOTE! #BerksGoesBlue #ProudToBePA #ElectionDay https://t.co…"
2016-11-08 22:17:24;HillaryforPA;RT @gmlively: I have the Hillary H down pat. These #NastyWomen are ready to #GOTV #ProudToBePA https://t.co/3xvlL7BCQg
2016-11-08 22:17:17;HillaryforPA;RT @maxwellkayton: Getting ready for that final march to the polls #ProudToBePA https://t.co/6Y7uVHUTKT
2016-11-08 22:17:10;HillaryforPA;RT @shanharves: Just got to door-knock someone I registered in September. He voted, for the first time today! #proudtobepa #ImWithHer #Elec…
2016-11-08 22:05:55;HillaryforPA;RT @SuperStartz: We forced our Uber driver to listen to Fight Song #GOTVforHRC #proudtobepa https://t.co/kYEwClJ3YL
