timestamp;sn;text
2016-11-09 02:46:56;HillaryforUT;Polls close in 15 minutes! Confirm where you vote at https://t.co/TJ1phv5hVM and remember to stay in line.
2016-11-09 02:21:40;HillaryforUT;This election is looking VERY CLOSE -- it could all come down to Utah. If you're in line to vote by 8pm, stay in line! #StrongerTogether
2016-11-09 01:36:11;HillaryforUT;A message from @POTUS: If you're in line to vote, stay in line! https://t.co/ATPPXD5uKQ
2016-11-09 01:22:55;HillaryforUT;RT @ElizabethBanks: If you're in line to vote before the polls close, STAY IN LINE to vote! Never give up. Never surrender. Please RT. #Sta…
2016-11-09 01:16:25;HillaryforUT;RT @tamaralgray: My daughter and I out to vote and wearing white - remembering the women who fought for our vote and the women who still ca…
2016-11-09 00:13:17;HillaryforUT;RT @HillaryClinton: Remember, if you are in line before polls close, you can vote! Have a question? Call 1-917-444-5915. https://t.co/2MVKO…
2016-11-08 23:23:35;HillaryforUT;Live in Salt Lake county? Remember -- you can register AND vote at the polls today! https://t.co/HDaQnVs1rN
2016-11-08 23:19:13;HillaryforUT;RT @BenWinslow: A reminder: if you missed the postmark deadline on your mail-in ballot, you can still drop it off at a polling place to be…
2016-11-08 22:38:13;HillaryforUT;RT @_kaitbee: Olivia voted for @HillaryClinton in the mock election at her school today 💙 #ImWithHer https://t.co/NiTRWo8LHE
2016-11-08 22:37:54;HillaryforUT;"""I'm betting that...you will reject fear and you will choose hope.""—@POTUS last night in PA 

Let's prove him right… https://t.co/kItNptDnmf"
2016-11-08 22:05:05;HillaryforUT;RT @RobbyMook: Across the country, @HFA volunteers setting all-time records for shifts, doors, calls. Join them making history: https://t.c…
2016-11-08 21:29:47;HillaryforUT;RT @LLittlefieldUT: If you haven’t voted don’t wait until after work. GO NOW! Short lines at Midvale City Hall and Millcreek Senior Center…
2016-11-08 21:05:06;HillaryforUT;"RT @UtahRossRomero: Proud to show our support from Utah for @HillaryforUT &amp; @HillaryClinton.  We are excited for the 1st Female #POTUS. htt…"
2016-11-08 20:01:21;HillaryforUT;"RT @adinofacollege: This is my dad w/ @HillaryforPA and my mom &amp; best friend w/ @HillaryforUT GOTV-ing for @HillaryClinton. 

Vote now. htt…"
2016-11-08 19:52:14;HillaryforUT;RT @JimDalrympleII: Their goal is to do 100,000 more door knocks/phone calls during the last 4 days of the election.
2016-11-08 19:51:59;HillaryforUT;RT @JimDalrympleII: Clinton's team in UT has made 400,000 door knocks/phone calls over the last 4 months. Theyve done 1000 volunteer shifts…
2016-11-08 18:42:27;HillaryforUT;"""It often takes a village — or a ward — working together to build the change we hope to see."" https://t.co/7APm6iXM8Y"
2016-11-08 18:04:37;HillaryforUT;In case you missed it, read @HillaryClinton's message to Utahns in the @DeseretNews: https://t.co/yMwwwv030c
2016-11-08 17:49:54;HillaryforUT;RT @SpencerJCox: Important reminder: DO NOT mail your ballot in today. DO drop it off at a polling location or vote center. #utpol https://…
2016-11-08 17:21:28;HillaryforUT;RT @RobbyMook: Made a plan 576 days ago to vote for @HillaryClinton for President ✔️  https://t.co/huK6I75Q2q #ImWithHer https://t.co/BmUpG…
2016-11-08 16:49:25;HillaryforUT;RT @HFA: Not sure if you're registered to vote? Don't know your polling place? Whatever it is, we’re here for you! Tweet or DM us your ques…
2016-11-08 16:31:24;HillaryforUT;RT @HillaryClinton: Already voted? That's great! Now help Hillary win by signing up to make calls now: https://t.co/2yc00omuvC
2016-11-08 15:42:56;HillaryforUT;"""Even though my name isn't on the ballot, the progress we've made together is. Go vote!"" – @POTUS… https://t.co/mswffaGtqy"
2016-11-08 15:16:47;HillaryforUT;If you're #WithHer today, make the calls for your future: https://t.co/BRactcUvfn https://t.co/6voCQHSbQy
2016-11-08 14:45:39;HillaryforUT;Have any questions about voting? Just tag, tweet, or DM @HFA -- they've got you covered. #ElectionDay #utpol https://t.co/lbLn9oX0Nu
