timestamp;sn;text
2017-01-29 05:07:21;IvankaTrump;https://t.co/aWXH6lKF3g
2017-01-27 04:16:52;IvankaTrump;💞 https://t.co/O4B6fszJ0S
2017-01-25 01:03:51;IvankaTrump;Goodnight! 🐻 https://t.co/JUonepFTFU
2017-01-24 03:13:49;IvankaTrump;Blair House, DC #latergram https://t.co/89RqVQcvfR
2017-01-23 21:08:34;IvankaTrump;My youngest brother proves he's a baby whisperer—while my father signs his first executive orders. https://t.co/UqJeCcTjg3
2017-01-23 03:30:26;IvankaTrump;.@DebRobertsABC and I sat down to discuss what the move to D.C. means for me. See the full interview here: https://t.co/g8IR2eVLsY
2017-01-22 23:30:20;IvankaTrump;RT @POTUS: I am honored to serve you, the great American People, as your 45th President of the United States! https://t.co/BVtt7lSrlA
2017-01-22 21:54:13;IvankaTrump;Family photo moments after my father @realDonaldTrump was sworn in as the 45th President of the United States. https://t.co/hpLsTVwgXM
2017-01-22 12:53:00;IvankaTrump;With my family at the inaugural interfaith prayer service at National Cathedral. https://t.co/95SeiXx0sB
2017-01-22 02:00:58;IvankaTrump;Last night from the Freedom Ball. The start of a new chapter for our family, and I'm looking forward to what lies a… https://t.co/Cyc3WVIfUc
2017-01-20 20:32:00;IvankaTrump;Heading to the parade! 🇺🇸 #inauguration https://t.co/cBg6UuO05A
2017-01-20 04:51:49;IvankaTrump;Tomorrow will be an incredible day. Goodnight everyone! #Inauguration #MAGA https://t.co/EkkvXwscHA
2017-01-20 04:08:48;IvankaTrump;A perfect day! #MAGA #inauguration https://t.co/NROtvI5u5u
2017-01-20 04:01:26;IvankaTrump;https://t.co/PpjW5qXn9T
2017-01-20 00:21:51;IvankaTrump;On the steps of the Lincoln Memorial with my father, the 45th president of the United States, and family. #MAGA… https://t.co/cXNHmnRua6
2017-01-19 18:30:32;IvankaTrump;Arriving in Washington DC with my family.  A very special moment! #MAGA #Inauguration2017 https://t.co/whZxJdFiQ3
2017-01-19 11:55:19;IvankaTrump;I sat down with @DebRobertsABC this week. Catch the interview on @GMA today around 7am and @ABC2020 Friday evening! https://t.co/DJ7jDcljvn
2017-01-19 04:17:54;IvankaTrump;RT @DebRobertsABC: Talked with @IvankaTrump about her new #life and possible role in trump administration  will share on @GMA tomorrow http…
2017-01-19 01:59:23;IvankaTrump;"RT @DanScavino: Stopped by the @USCapitol on the way back to #TrumpTransition offices. Ran into some of the #TrumpTrain from IA &amp; FL! A bea…"
2017-01-18 23:34:40;IvankaTrump;#TeamIvanka threw me a going away party 🎉 Next stop—Washington, D.C.!! https://t.co/RybnRcAcAZ
2017-01-18 16:47:40;IvankaTrump;My #WomenWhoWorkBook is launching May 2nd. Get the details here: https://t.co/6i4euj20hs
2017-01-18 14:51:50;IvankaTrump;#Inauguration day has almost arrived!!! The last 19 months have been remarkable but this amazing journey is just ge… https://t.co/2WAy79UZ7v
2017-01-17 23:31:03;IvankaTrump;The whole office is incredibly excited about the upcoming inauguration and 45th Presidency but will miss… https://t.co/nlFO0jXS8T
2017-01-17 03:23:03;IvankaTrump;bright lights, big city                      #datenight https://t.co/XclaOxvus4
2017-01-16 16:43:11;IvankaTrump;Remembering the words of one of our nation's greatest heroes, and celebrating this day in his honor.… https://t.co/hkahLthgFI
2017-01-11 20:17:34;IvankaTrump;I will be taking a leave of absence from my businesses and relocating to DC. See what I'll be doing here: https://t.co/qs29RBinrR
2017-01-09 00:41:16;IvankaTrump;Baby it's cold outside! https://t.co/hQTti70cOu
2017-01-08 17:12:23;IvankaTrump;Sledding! ❄️ https://t.co/fYaNPaZWj8
2017-01-04 22:09:35;IvankaTrump;"Congrats to my brilliant, kind &amp; wickedly funny friend Hope Hicks on being named to the @Forbes #30Under30 list! https://t.co/s3YO9Eq83Z"
2017-01-01 21:37:16;IvankaTrump;"RT @realDonaldTrump: TO ALL AMERICANS-
#HappyNewYear &amp; many blessings to you all! Looking forward to a wonderful &amp; prosperous 2017 as we wo…"
2017-01-01 19:35:15;IvankaTrump;Looking forward to an incredible year to come! From my family to yours, happy new year! 💫#happynewyear #2017 https://t.co/ZaIYGWnS8q
2017-01-01 10:23:16;IvankaTrump;New Year's Eve + Last Night of Chanukah https://t.co/38wgnXmqC0
2017-01-01 04:24:25;IvankaTrump;2016 has been one of the most eventful and exciting years of my life. I wish you peace, joy, love and laughter. Hap… https://t.co/A1I3tvTySZ
2016-12-31 03:09:23;IvankaTrump;Chasing waterfalls 💦 https://t.co/dT2gZgBBjo
2016-12-30 19:50:26;IvankaTrump;Beach buddy https://t.co/dO6pF45Cv8
2016-12-30 04:19:54;IvankaTrump;https://t.co/M4pp4RxVB9
2016-12-29 21:07:10;IvankaTrump;Hawaii 📷@JoshuaKushner https://t.co/iIx9Xcz0DY
2016-12-29 18:53:13;IvankaTrump;Kilauea volcano https://t.co/rBvlmpj4GM
