timestamp;sn;text
2017-01-28 01:01:25;jastengco;In Houston, TX for our #NaFFAA 2.0 Board Summit! @NaFFAA_National https://t.co/gmQulyznbs
2017-01-17 02:39:30;jastengco;RT @thefilamnet: @NaFFAA_National on 20th yr: Fresh leadership takes on continuing mission ‘One Voice,’ FilAm empowerment  https://t.co/m87…
2017-01-12 21:38:02;jastengco;"RT @NaFFAA_National: #NaFFAA on 20th year: Fresh leadership takes on continuing mission toward ‘One Voice,’ #FilAm empowerment

Read: https…"
2017-01-09 03:16:06;jastengco;Meryl Streep!
2017-01-05 03:47:05;jastengco;"Check out ""Take These Precautions Before Trump Takes Office"" by Glenn Magpantay, Executive Director of @NQAPIA: https://t.co/gA61l5usiC"
2017-01-04 22:28:49;jastengco;"This woman's racist rant against her Filipino neighbor is unacceptable. Hopefully her apology is sincere. 
https://t.co/bMdj1H04Cr"
2016-12-24 02:37:40;jastengco;Excited to start the next journey with @NaFFAA_National! https://t.co/wHefydMhBr
2016-11-30 23:00:47;jastengco;Amazing news for our veterans! And congrats to all those who worked hard to make this happen! https://t.co/xkG0tNVSQI
2016-11-08 18:04:56;jastengco;Hafa adai, Guam! We're off to a great start on E-Day! #AAPIforHillary https://t.co/6yqKX0wDpX
2016-11-08 14:48:38;jastengco;RT @HillaryClinton: Yesterday, Khizr Khan told the story of a 10-year-old boy who was bullied at school—until his class watched Mr. Khan's…
2016-11-08 14:05:30;jastengco;"RT @AAPIData: BREAKING NEWS: ""Ballots from Asian-Americans have roughly doubled in Florida, Arizona, Virginia and North Carolina"" https://t…"
2016-11-08 01:53:20;jastengco;"Getting Out The Vote in Vegas with @gregorycendana, @johanna_hester, @vsplanning, &amp; #AAPIforHillary leaders! https://t.co/59qINobdwQ"
2016-11-07 18:34:42;jastengco;"T-1 til #ElectionDay! Read &amp; share @AAPIforHillary's open letter for @HillaryClinton, translated in 10 languages → https://t.co/BFpKyBv1Gz"
2016-11-07 04:26:19;jastengco;Awesome op-ed by @gregorycendana on why he's proud to stand behind @HillaryClinton! #AAPIforHillary https://t.co/aeu1eVHjZE
2016-11-05 04:26:12;jastengco;"RT @HillaryClinton: ""I'm with her!"" —@Beyonce https://t.co/RGabD4XXQT"
2016-11-05 02:16:32;jastengco;Great op-ed on why @CatherineForNV is the best choice to fill @SenatorReid's seat! https://t.co/NjQYRJNBrm
2016-11-05 02:04:06;jastengco;Yaaaas!! https://t.co/ahgvjs85Up
2016-11-03 15:59:51;jastengco;Here are a few of the reasons why I'm with her. Share your reasons too! #AAPIforHillary https://t.co/PTV7mZWAxb
2016-11-03 15:39:21;jastengco;RT @HFA: What issues matter the most to you? Create your page and share with your friends to tell them why they need to vote: https://t.co/…
2016-11-03 02:23:45;jastengco;Thank you Glenn Magpantay for sharing the top 5 reasons why you're excited to vote for @HillaryClinton! https://t.co/sAnIAxWV8d
2016-11-02 22:53:06;jastengco;So excited for President Bill Clinton to join @steveaoki tomorrow here in Vegas for a #LoveTrumpsHate GOTV Performa… https://t.co/xISCf8SwlM
2016-11-02 04:38:38;jastengco;"RT @EliteDaily: ""She is for you, even if you are not for her."" - @ConstanceWu on why she supports @HillaryClinton  #WhyImWithHer https://t.…"
2016-11-01 16:43:09;jastengco;.@HillaryClinton has had a career-long record standing w/ AAPIs. Let's continue fighting for her these last 7 days! https://t.co/mApJYZ70f1
2016-10-30 19:53:15;jastengco;RT @HFA: Here's to a bright year, and the triumph of good over darkness and hate. Happy Diwali. https://t.co/2Ap391h0fN
2016-10-30 19:53:01;jastengco;RT @timkaine: Diwali is a beautiful reminder of the ultimate victory of light over darkness. Saal Mubarak to all those celebrating!
2016-10-30 19:52:49;jastengco;RT @HillaryClinton: “To those of you celebrating this joyous occasion, I wish you and your loved ones a Happy Diwali and Saal Mubarak.” —Hi…
2016-10-30 16:15:18;jastengco;Happy Diwali and Saal Mubarak, everyone! https://t.co/MmDlt83hA3 https://t.co/zLCGdlHJ4C
2016-10-28 17:57:17;jastengco;Thank you @Grace4NY for reminding us why @HillaryClinton is the best candidate for AAPI voters! #AAPIforHillary https://t.co/DRRQYSLSSv
2016-10-28 17:41:40;jastengco;"RT @HillaryClinton: “I need you to knock on doors.
I need you to make phone calls.
You gotta talk to your friends, including your Republica…"
2016-10-28 17:05:22;jastengco;RT @HillaryClinton: Thankful for @TammyforIL's—and her family's—service to this country. It's really not that hard to grasp, @MarkKirk. htt…
2016-10-27 21:22:55;jastengco;".@HillaryClinton &amp; @TheDemocrats know that AAPI voters can be the margin of victory on November 8! @AAPIforHillary https://t.co/J76ueOQCfQ"
2016-10-27 06:47:38;jastengco;RT @PBS: Check out reporting on voting access, with new content from @CAAM https://t.co/1ClzPYlpAA #electionPBS | Asian Community Alliance…
2016-10-27 02:43:38;jastengco;"Love it!! &lt;3 #AAPIforHillary https://t.co/hfY5bOP9SM"
2016-10-26 17:22:26;jastengco;RT @HillaryClinton: Wish Hillary a happy birthday by making a plan to vote: https://t.co/tTgeqxNqYm https://t.co/Zavx99ZLdC
2016-10-23 00:23:19;jastengco;"RT @HillaryClinton: Nevada! You can cast your vote as early as Saturday, October 22.

Make a plan to vote early! https://t.co/FAE4T0bGz3"
