timestamp;sn;text
2017-02-01 01:35:03;JeffFlake;Great to be at the @WhiteHouse for announcement of #NeilGorsuch's #SCOTUS nomination. Read my full statement at  https://t.co/xAWjn4sicm
2017-02-01 01:12:48;JeffFlake;Neil Gorsuch. Excellent pick for the #SupremeCourt https://t.co/1sNYSSZFms
2017-02-01 00:57:25;JeffFlake;At White House for announcement of #SupremeCourt pick. Great choice https://t.co/lab1qe9cmf
2017-01-31 00:04:18;JeffFlake;Looking forward to the imminent #SCOTUS announcement and doing whatever it takes to make an up or down vote on the nominee happen.
2017-01-29 00:47:09;JeffFlake;My view on immigration executive order  https://t.co/9PvXbqE5JK
2017-01-27 14:32:01;JeffFlake;"Proud to support #MarchForLife. Inspiring to see so many gather in celebration of the sanctity of life &amp; in solidar… https://t.co/nOpdg1TCJf"
2017-01-27 05:57:58;JeffFlake;Trade deficits are often confused with budget deficits. Here's context from Wash Post on our trade deficit with Mex… https://t.co/vI0HmhuZTK
2017-01-27 04:15:06;JeffFlake;NAFTA is good for Mexico. Pew Research found that since 2009 more Mexican immigrants have returned to Mexico than have migrated to the U.S.
2017-01-27 04:07:37;JeffFlake;Since NAFTA was adopted, U.S. exports to Mexico have gone from $68 billion in 1994 to $235 billion in 2016. Trade is good for all of us.
2017-01-27 03:53:05;JeffFlake;"Free trade is not a zero sum game where someone wins and someone loses. NAFTA benefits both the U.S. &amp; Mexico. https://t.co/I7O72DMqeo"
2017-01-26 23:32:29;JeffFlake;Thanks @TempeChamber biz ldrs for mtg w/ me to discuss trade, regs, noms @ASU https://t.co/cSfKRqI1Yn
2017-01-26 21:55:40;JeffFlake;"Enjoyed mtg w/ students/staff @UATedu in #Tempe to discuss tech &amp; commerce. Thanks @AZTechCouncil! https://t.co/GGxPidBUAr"
2017-01-26 20:28:03;JeffFlake;Met w/ AZ #schoolchoice leaders to discuss ed options during @SchoolChoiceWk. https://t.co/nbEd4FHlHw
2017-01-26 20:11:34;JeffFlake;Great meeting w/ healthcare stakeholders this morning from around Arizona. Thank you! https://t.co/WQ8xaLVGS6
2017-01-26 04:39:02;JeffFlake;"RT @schoolchoicewk: BREAKING NEWS: The U.S. Senate passed a resolution designating this week as ""National #SchoolChoice Week"" Thank you @Se…"
2017-01-25 16:40:31;JeffFlake;"With national debt hurtling towards $30 TRILLION, Congress needs to find the courage to curb spending &amp; find it fast https://t.co/l2qJc9mRTN"
2017-01-24 20:30:15;JeffFlake;"Inflated union contracts under #DavisBacon result in fewer improvements to #Arizona infrastructure &amp; fewer jobs for… https://t.co/zKIxzmwOnv"
2017-01-24 19:04:06;JeffFlake;My TIRE Act will make tax $ go further by suspending Davis-Bacon on fed highway contracts https://t.co/ubVVoBzq4c https://t.co/sEMZHrcge7
2017-01-24 16:41:07;JeffFlake;Unions lobbying @POTUS against my bill to push $ to projects, not inflated labor contracts https://t.co/7qbWNfiM8z https://t.co/s7iQhrVROd
2017-01-23 21:58:57;JeffFlake;Pleased to help advance #RexTillerson's nomination through SFRC today. I'm confident he'll serve our nation well as #SecretaryOfState
2017-01-23 18:45:26;JeffFlake;Globalization has occurred. We either harness it or we'll be left in its wake https://t.co/rJ2bEISjg1
2017-01-23 03:24:29;JeffFlake;What a wonderful thing to do. https://t.co/RhK51LgEKq
2017-01-21 22:28:58;JeffFlake;This is really good news: Gambia’s defeated leader Yahya Jammeh now leaving the country, ending political standoff https://t.co/7cAlS2KmYt
2017-01-21 04:43:25;JeffFlake;Enjoyed speaking with @CBSNews at the #InauguralBall https://t.co/0aSW7gvyIy
2017-01-21 04:11:36;JeffFlake;Nice to run into @GovDucey and Angela at the #InauguralBall https://t.co/DEAE1Fakib
2017-01-20 03:47:08;JeffFlake;It's a Capitol night #Inauguration https://t.co/OMScdwBjEp
2017-01-20 01:19:00;JeffFlake;"RT @TortoiseNHound: I appreciate the staff at both @JeffFlake and @SenJohnMcCain's offices taking my calls &amp; hearing my concerns today."
2017-01-19 20:09:58;JeffFlake;RT @MayorStanton: Enjoyed good conversation with @JeffFlake regarding strengthening water policy and protecting Phoenix neighborhoods from…
2017-01-18 20:48:22;JeffFlake;Thanks to @GilbertAZMayor @GilbertJenn for stopping by my DC office to discuss issues facing @GilbertYourTown https://t.co/vuffW0o9zN
2017-01-18 20:46:37;JeffFlake;RT @VaiSikahema: Lunch w fellow BYU alum Az Sen @JeffFlake in Senate Dining room after an interv in his office @NBCPhiladelphia https://t.c…
2017-01-18 19:47:46;JeffFlake;"Appreciate Administrator @MarkAGabriel coming to DC to discuss my concerns about transparency &amp; financial accountab… https://t.co/l0nGpxQecV"
2017-01-17 23:03:19;JeffFlake;Wishing former AZ Governor Janet Napolitano the best, and a speedy recovery https://t.co/ba927qxLUU
2017-01-17 16:01:02;JeffFlake;Hoping these VIPs bring some #AZ sunshine with them when they join me here in DC for the #Inauguration https://t.co/8bbt1lDgpy
2017-01-17 00:43:43;JeffFlake;Nothing like traveling Arizona highways in January https://t.co/7FVYpqbJji
2017-01-12 23:10:16;JeffFlake;Individuals on both sides of the #Cuba debate recognize and agree ending #WetFootDryFoot is in our national interest https://t.co/KMyUPILcTZ
2017-01-12 22:09:48;JeffFlake;.@POTUS ending wet foot/dry foot #Cuba policy. Positive move for the U.S. and for Cuba
2017-01-12 19:54:22;JeffFlake;Thanks to @peta for their support and this great write-up. #Wastebook sure does make strange bedfellows... https://t.co/ONPpLMfa5b
2017-01-11 23:44:49;JeffFlake;RT @KurtRDavis: Thanks to the hard work of @SenJohnMcCain, @JeffFlake, @RepGosar, @mohavecounty Supervisors and the @azgfd Staff and Commis…
2017-01-11 23:35:19;JeffFlake;"#RexTillerson understands America’s strategic interests &amp; has skills to advance those interests as #SecretaryOfState https://t.co/nkltfbbuVl"
2017-01-11 22:52:20;JeffFlake;Worth reading @joannaallhands' column on my HSA Expansion Act if only to see her accuse me of making too much sense https://t.co/mv0J0ynocb
2017-01-11 19:55:31;JeffFlake;RT @ShopFloorNAM: Congress needs to fix the 2015 #ozone reg. #Mfg champion Sen @JeffFlake is out of the gates in 2017 pushing for commonsen…
2017-01-11 14:36:54;JeffFlake;#Wastebook sparking lots of great convo but none more entertaining than this @oreillyfactor @greggutfeld… https://t.co/rZmOJmuD7k
2017-01-11 03:04:18;JeffFlake;Just listened to @POTUS final address. Haven't always agreed on policy, but I appreciate his dedication and service to the country.
2017-01-10 23:40:37;JeffFlake;"My full statement on supporting the #confirmation of my friend &amp; colleague @jeffsessions for U.S. Attorney General https://t.co/LxmqCba2us"
2017-01-10 21:04:51;JeffFlake;So I guess that wasn't a rhetorical question @rollcall? #SameStoryDifferentHeadline #TurnThatFrownUpsideDown #AZSEN https://t.co/lAflS4mrjD
2017-01-10 20:40:18;JeffFlake;.@SenateGOP approval of my #earmark ban extension is a good start as we work to make a dent in our national debt https://t.co/lGOYJQwt9d
2017-01-10 14:55:59;JeffFlake;"Unveiling my latest #Wastebook &amp; discussing #earmarks at @Heritage today at 10am ET/8am MT. Watch livestream at https://t.co/7WrkfVun5e"
2017-01-10 01:31:22;JeffFlake;"Grateful to have @dougducey &amp; the AZ legislature as partners in the #Senate effort to break up the overburdened… https://t.co/U15Rb2eHsX"
2017-01-09 23:20:56;JeffFlake;Thanks @dougducey for your continued partnership in effort to break up the #9thCircuit. Together we can secure a better judiciary for #AZ
2017-01-09 01:13:50;JeffFlake;Remembering victims and heroes on anniversary of Tucson shooting @gabbygiffords https://t.co/3e6264YmwP
2017-01-06 20:28:23;JeffFlake;"w/ AZ Gov &amp; Legislative ldrs @AZChamber #LFL2017. @DougDucey @JDMesnard 
@Rios_Rebecca @KatieHobbs &amp; Steve Yarbrough https://t.co/aZEdMcyXFV"
2017-01-05 21:55:49;JeffFlake;Talk about fish-cally irresponsible. If you’ve got a better pun let minnow #Wastebook #FishOnATreadmill https://t.co/y2z2u5WcmU
2017-01-05 21:02:57;JeffFlake;Growing momentum for my effort w @dougducey to break up the #9thCircuit wouldn't be possible w/o Judge O'Scannlain https://t.co/xXUdaICM6w
2017-01-05 18:28:02;JeffFlake;In #AZ, #Obamacare premiums for a family of 4 are more expensive than the avg. mortgage payment. My HSA Expansion A… https://t.co/W1J4ukgOh0
2017-01-05 17:42:29;JeffFlake;RT @washcampus: Students from @WPCareySchool met with Sen. @JeffFlake today during our #CapitolHillDay. #MBA1 https://t.co/DAKrygngrR
