timestamp;sn;text
2017-02-01 03:36:19;jmpalmieri;RT @ASDem: Greetings. This is a heaping pile of bullshit. Carry on with your evenings. https://t.co/bLyngqWlIv
2017-02-01 03:35:14;jmpalmieri;RT @loril: This is not a fact sheet. This is a poorly formatted resume. https://t.co/Gjjc1sOOV8
2017-01-31 16:37:45;jmpalmieri;RT @AmbassadorRice: Sally is a highly respected career professional. To attack her judgment, integrity or commitment to our country is both…
2017-01-31 16:37:41;jmpalmieri;RT @EricSchultz: .@kalpenn is patriot who is constantly finding ways to make this country a better place https://t.co/DJVsLMlhj0
2017-01-31 06:50:49;jmpalmieri;RT @guycecil: This picture. https://t.co/YqRZymQmY8
2017-01-30 17:38:12;jmpalmieri;@RepAdamSchiff is an American hero. https://t.co/VBaZjyysCV
2017-01-30 17:14:19;jmpalmieri;Words to remember https://t.co/CNnDrkmrvF
2017-01-30 08:54:52;jmpalmieri;"RT @BeauWillimon: Give me your tired, your poor, your huddled masses yearning to breathe free...then detain &amp; coerce to sign an I-407.
#Fai…"
2017-01-30 08:52:36;jmpalmieri;RT @CoryBooker: No. https://t.co/VecZwYlRT4
2017-01-30 08:51:43;jmpalmieri;RT @barb_kinney: At #sfoairport today for the #refugeeswelcome and #antitrump  and #immigration protest event. https://t.co/Yj5mvJE4IQ
2017-01-30 08:51:34;jmpalmieri;RT @barb_kinney: One more from San Francisco International Airport #sfoairport today. #afghan #refugeeswelcome… https://t.co/U8nlv9kF5p
2017-01-30 04:39:21;jmpalmieri;"RT @RonaldKlain: If they vote to confirm Tillerson without answers from him on the EO, then the ""concerned"" statements are meaningless. htt…"
2017-01-30 03:55:00;jmpalmieri;Important message from @marceelias on voting. He knows of what he speaks. https://t.co/F3W0nWuqgu
2017-01-30 00:21:39;jmpalmieri;RT @owillis: let us remember that when other governors on the east coast stood up to #MuslimBan, maryland's larry hogan was AWOL #MDpolitics
2017-01-30 00:20:46;jmpalmieri;RT @seungminkim: SCOOP w/ @eschor: Big coalition of evangelicals write to Trump, urging reinstatement of refugee resettlement https://t.co/…
