timestamp;sn;text
2017-01-30 15:29:54;jessetyler;really, who actually lets me on these carpets tho #sagawards #jazzhands #broadway https://t.co/jRRdJEK8Dr
2017-01-30 04:42:36;jessetyler;RT @GovPenceIN: Calls to ban Muslims from entering the U.S. are offensive and unconstitutional.
2017-01-30 03:04:19;jessetyler;Incredible! I'll match your donations to @ACLU in support of our LGBTQ immigrant family up to $10,000 through… https://t.co/mjxtAFeyZf
2017-01-30 02:39:57;jessetyler;Congrats OITNB! Love you Lea! #sagawards #modernfamily @realleadelaria @ericstonestreet https://t.co/kzWE67rAnS
2017-01-30 00:53:14;jessetyler;Giving @SofiaVergara much needed Makeup tips at #sagawards https://t.co/xswApAfP9e
2017-01-29 23:05:29;jessetyler;Off to the #SAGAwards with my #ModernFamily crew. https://t.co/Fb6CKYS3Uv
2017-01-29 18:17:58;jessetyler;Pre #sagawards hike with my tiny family  ❤ https://t.co/0LaQiqhnZs
2017-01-29 16:59:44;jessetyler;Let’s build a wall of kindness for #LGBTQ students so they know we have their backs: https://t.co/ltsjpDvr79 #KindnessInAction
2017-01-29 16:20:20;jessetyler;Thank you @lyft! @Uber deleted! Proud of this support to the @ACLU. https://t.co/Geowi73NTU
2017-01-29 07:18:48;jessetyler;Another day, and yet another reason to peacefully protest. #Day9 #democracy
2017-01-29 06:16:57;jessetyler;"RT @frankrichny: ""Where are the tapes?"" and hissing greeted @MarkBurnettTV when he won Producers Guild award for ""The Voice"" just now."
2017-01-29 02:21:55;jessetyler;RT @JustinMikita: RESISTANCE WORKS. STAY GRANTED. 🙌🏻✊🏼 https://t.co/B9acktqmoS
2017-01-29 00:56:12;jessetyler;All who want to argue this Immigration ban need to be ready to explain why the countries where Trump holds businesses are exempt. Wake up 🇺🇸
2017-01-29 00:49:33;jessetyler;I hope that the world knows that our president does not represent all Americans. Most of our country is horrified by this Immigration ban.
2017-01-29 00:37:53;jessetyler;It's a well oiled machine! Glad I got to chit chat with the #BwayCon2017 fans for a bit! XO https://t.co/87KZXe22JD
2017-01-29 00:36:06;jessetyler;You guys it's no big deal but this text came in while I was on the #BROADWAYCON blizzard party line. Can I bring ba… https://t.co/ToOGyP6X61
2017-01-28 01:42:47;jessetyler;For those who don't believe our administration is against women's reproductive rights, wake up! I will #StandWithPP: https://t.co/bVDzJsEGdy
2017-01-27 23:00:19;jessetyler;Those are some good looking sheets designed by a good looking dude 🙌🏻 @ThreadEx https://t.co/4KPiLyCA5S
2017-01-27 21:18:51;jessetyler;RT @KopperKrow: What could be better than @jessetyler winning the #ShortyAwards? Nothing. So vote like I did! https://t.co/2Epe7rurQs
2017-01-24 21:03:22;jessetyler;This is very cool. https://t.co/2xjg0DDFXq
2017-01-23 21:40:52;jessetyler;RT @KamalaHarris: This group just made it more difficult for women to get access to health care worldwide. You tell me what's wrong with th…
2017-01-21 07:04:15;jessetyler;"BTW: my response to this comment was: ""Well I USED to like YOU but then you said THAT"". https://t.co/KZxnUZjyZD"
2017-01-21 07:02:22;jessetyler;"2nite a guy told me he USED to like me but I pissed him off years ago when I was ""having a bad day"". Proof I'm human &amp; can't please everyone"
2017-01-20 23:32:48;jessetyler;RT @jessetyler: In case you missed it, I'm nominated for the @shortyawards! You can vote for me if you like fun. https://t.co/pekIHTzlxh #Y…
2017-01-20 22:45:01;jessetyler;"RT @TieTheKnotOrg: The White House website has already taken down the LGBT page. Hint: not the best way to start off your presidency. 
http…"
2017-01-20 22:24:46;jessetyler;The new White House website has a full run down of all the magazines our First Lady has appeared on but the LGBT page has been taken down.
2017-01-20 22:10:22;jessetyler;@ColinHanlon 😳
2017-01-20 22:08:53;jessetyler;The show must go on! Break legs Spencer Baker! Make Derek proud! You are all part of the Spelling Bee family now! https://t.co/pph0Luq3ok
2017-01-20 22:06:31;jessetyler;The OBC of Spelling Bee is sending all our love to the Spelling Bee cast at the Firehouse Theater in Dallas, TX on their closing weekend!
2017-01-20 19:26:40;jessetyler;"If you're in NYC tomorrow - support @PPFA by joining a class at @TheMonsterCycle &gt; https://t.co/o1H8KdlNQd https://t.co/WC4h7edqq9"
2017-01-20 18:47:07;jessetyler;"Early production photos from the first Community Theater production of ""Hamilton"" have been released. https://t.co/iju5MxQFbi"
2017-01-20 18:44:31;jessetyler;Preparing to do a safety briefing for the aircraft. https://t.co/3jWAqd43Ix
2017-01-20 18:29:52;jessetyler;Katniss takes her victory lap. https://t.co/JcfD9JvMKH
