timestamp;sn;text
2017-02-01 01:30:16;JoeNBC;RT @BenSasse: a tremendous pick by the President. https://t.co/Ox5YjoSzSC
2017-02-01 01:29:11;JoeNBC;RT @mattklewis: Two words: Trump delivers. (Almost nothing is more important to conservatives than a solid #SCOTUS pick.)
2017-02-01 01:28:22;JoeNBC;RT @mattleeanderson: I was wrong. I hope I can say this often the next four years. https://t.co/3dUDcY9MMJ
2017-02-01 01:26:55;JoeNBC;RT @nickconfessore: Trump may cause his party a lot of problems, but restoring and preserving its generation-long hold on SC will outlast m…
2017-01-31 21:49:22;JoeNBC;Firmino blows another great chance at goal. https://t.co/TO8NDytvDG
2017-01-31 21:34:27;JoeNBC;"Mignolet!!!!!!
#Liverpool"
2017-01-31 21:15:19;JoeNBC;"YES!!!!!!!!!!!
#LFC"
2017-01-31 21:13:31;JoeNBC;Just gave away two more. https://t.co/TO8NDytvDG
2017-01-31 21:09:22;JoeNBC;And Firmino just gave away another?? What is up? https://t.co/bOjPQ7qVWa
2017-01-31 21:07:31;JoeNBC;How did Firmino miss that badly? And how is he so horribly off? One bad pass after another and then that?
2017-01-31 18:52:31;JoeNBC;RT @LFCBoston: #Liverpool v Chelsea: Premier League – live! https://t.co/xiyvdOXHIo https://t.co/wYOHPIRZb6
2017-01-31 18:51:48;JoeNBC;"Besides, we're going to win. 
#YNWA #LFC #LFCvCFC https://t.co/h2QPKpxXzW"
2017-01-31 18:47:36;JoeNBC;Dude, that's cold. I'm not the winger Mane is but I gave it my all for 3 tough matches. He may be back today so I'l… https://t.co/0iH14WZTtv
2017-01-31 17:46:31;JoeNBC;RT @josh_hammer: Good for @JoeNBC here for calling out Obama on his brutal hypocrisy re Syrian refugee crisis. https://t.co/5qclc7htFm
2017-01-31 17:42:14;JoeNBC;Scarborough: On Immigration, Stephen Miller 'Betrayed' Mattis, Kelly, Tillerson https://t.co/y5mZoKg4tL
2017-01-31 17:11:43;JoeNBC;'Hypocrisy': Scarborough Slams Obama Response To Travel Ban | The Daily Caller https://t.co/gjHBvuIRnw
2017-01-31 17:10:09;JoeNBC;RT @independenceusa: Big Government Republicanism is replacing Big Government Liberalism. That will wreck the economy and drive us toward $…
2017-01-31 17:07:18;JoeNBC;"RT @CBSNews: ""This is not a travel ban... it's a temporary pause that allows us to better review the existing refugee &amp; visa vetting,"" DHS…"
2017-01-31 14:48:09;JoeNBC;"VIDEO: Why doesn't Stephen Miller trust Generals Mattis, Kelly &amp; Dunford? https://t.co/C0PUP9EpC3 https://t.co/m7u06QxB7I"
2017-01-31 14:20:39;JoeNBC;"RT @brianklaas: Yates knew she would be fired. That's not shocking. But Trump saying she ""betrayed"" him is something from Game of Thrones,…"
2017-01-31 13:33:48;JoeNBC;"RT @AbramsonFL: .@JoeNBC ""It is frightening that the Trump administration actually views dissent that way."""
2017-01-31 13:33:28;JoeNBC;"RT @DefenseBaron: ""Take that to Venezuela, ok? We don't really want to use that sort of language here. It's time for you guys to grow up.""…"
2017-01-31 12:56:15;JoeNBC;Did Stephen Miller tell CBP to ignore a federal judges' order? @TimKaine thinks he might have. If so, he must be held in contempt of court.
2017-01-31 12:53:00;JoeNBC;RT @Morning_Joe: WH: Yates ‘betrayed' the DOJ … @JoeNBC: It is frightening that the Trump admin. actually views dissent that way https://t.…
2017-01-31 12:52:54;JoeNBC;RT @Morning_Joe: .@JoeNBC slams Stephen Miller and Steve Bannon for leaving parts of Trump admin. in the dark about the travel ban  https:/…
2017-01-31 12:27:08;JoeNBC;"RT @nycjim: |@JoeNBC on Trump's firing of Yates: ""The word betrayed...that’s frightening. That’s what an autocrat would use."" https://t.co/…"
2017-01-31 12:26:21;JoeNBC;"RT @MaryMurrayNBC: Turn on @MSNBC @JoeNBC now to try &amp; make sense of the last 12 days. Passionate insight with historical context. https://…"
2017-01-31 11:52:07;JoeNBC;"Thank you. See you at breakfast again this Saturday? 
#EatingWithTheEnemy https://t.co/rU5uV21fsU"
2017-01-31 09:05:44;JoeNBC;RT @FrankJannuzi: @JoeNBC @rorycooper You said it. Biden would have shown me the door in nano-seconds.
2017-01-31 02:26:48;JoeNBC;Any staffer doing that in my congressional office would be fired immediately. The chairman should do the same. https://t.co/EewRI18Txu
2017-01-31 02:09:39;JoeNBC;RT @independenceusa: Country over party. Always.
2017-01-31 02:09:09;JoeNBC;General Mattis, who stood next to Trump during Friday's signing ceremony, is said to be particularly incensed.  https://t.co/N8q7zBJpMn
2017-01-31 02:08:00;JoeNBC;Senate Foreign Relations chairman Bob Corker said despite WH claims, he only learned about the order in the media. https://t.co/N8q7zBJpMn
2017-01-31 02:06:11;JoeNBC;Tillerson told the president's political advisers he was baffled over not being consulted on the order's substance.  https://t.co/N8q7zBJpMn
2017-01-31 02:00:06;JoeNBC;A damn good thing that he did. https://t.co/hjufK6La8v
2017-01-31 01:18:16;JoeNBC;"RT @RobertRaben: Irony alert: The DC Circuit, arbiter of how President Trump's (@potus) Executive Order on regulations
will work, is lead b…"
2017-01-31 00:58:33;JoeNBC;RT @benpauker: SecState, SecDef, and DHS head reportedly kept in the dark about Trump's refugee ban. Mattis said to be furious. https://t.c…
2017-01-31 00:11:58;JoeNBC;Why did Stephen Miller keep Secretary Mattis, General Kelly and Director Pompeo in the dark on a matter of vital na… https://t.co/NQiQAjxw4S
2017-01-31 00:09:00;JoeNBC;What did the CIA know and when did they know it? https://t.co/ohDcsfVRcV
2017-01-31 00:08:37;JoeNBC;What did the Department of Homeland Security know and when did they know it? https://t.co/ohDcsfVRcV
2017-01-31 00:08:23;JoeNBC;What did the Pentagon know and when did they know it? https://t.co/ohDcsfVRcV
2017-01-31 00:08:10;JoeNBC;What did the State Department know and when did they know it? https://t.co/ohDcsfVRcV
2017-01-31 00:06:32;JoeNBC;Then call them to the Hill. @marcorubio @SenBobCorker https://t.co/ohDcsfVRcV
2017-01-30 22:43:46;JoeNBC;@SenWhitehouse is now insufficiently liberal? I'm a Republican so don't take my word for it, but two years of this… https://t.co/mUVWQdyvuH
2017-01-30 22:38:26;JoeNBC;RT @AymanM: Powerful images https://t.co/nMxsYnz1eY
2017-01-30 20:24:09;JoeNBC;"Our video montage of this weekend's momentous events set to U2s ""The Refugee."" https://t.co/BwpL1wZ8Qb"
2017-01-30 19:24:04;JoeNBC;General Mattis Weighs In: Pentagon sending White House a list of Iraqis to be allowed into the US.  https://t.co/lkrnRyxuwi!
2017-01-30 18:37:32;JoeNBC;RT @mikebarnicle: Amen brother https://t.co/b5JTRYsUaw
2017-01-30 18:01:18;JoeNBC;RT @jheil: #lockthemup https://t.co/FSMWuCoQ3O
2017-01-30 17:58:26;JoeNBC;Did those instructions include ignoring federal court orders? https://t.co/8LgkQaZpF1
2017-01-30 17:27:55;JoeNBC;This is simple: ANY federal official who did not strictly adhere to Judge Brinkema's order is in Contempt of Court. https://t.co/ioX4y1HQSH
2017-01-30 17:27:05;JoeNBC;Any federal official directing others to ignore a US judicial order is in Contempt of Court and should be jailed.  https://t.co/ioX4y1HQSH
2017-01-30 17:15:57;JoeNBC;RT @jimsciutto: Just in: Jt Chiefs Chmn Gen Dunford never saw final draft of Executive Order before Trump signed at pentagon -US official #…
2017-01-30 16:55:14;JoeNBC;RT @davidwchen: For more on aide @JoeNBC says is on “power trip,” re-read this great @juliaioffe profile https://t.co/pxxDmRNUNx https://t.…
2017-01-30 16:04:12;JoeNBC;"RT @thebeatles: 1969. The photo session that turned out to be The Beatles' last as a group.
Listen: https://t.co/1isKw3lUdq https://t.co/Cr…"
2017-01-30 15:48:39;JoeNBC;RT @Jamie_Weinstein: Spencer talked about their association w/ Miller on my podcast in Nov (around 55:55) https://t.co/gs8dKlYzyx https://t…
2017-01-30 15:27:15;JoeNBC;RT @RyanLizza: Miller is top White House policy adviser and the author of Trump's immigration ban. https://t.co/GDMjpx5PTc
2017-01-30 15:17:22;JoeNBC;“She says she's going to live in America.” Scenes in the streets from a weekend of waiting in America. https://t.co/OjkykYaijc
2017-01-30 14:08:13;JoeNBC;Richard Spencer, a leading white nationalist, said he was a “mentor” to Stephen Miller while at Duke.  https://t.co/q2dY0ZO8nK
2017-01-30 13:29:04;JoeNBC;Those focusing on White House staff being critical of Miller are missing the bigger story. It is the foreign policy team he angered most.
2017-01-30 12:43:23;JoeNBC;RT @maggieNYT: Have heard similar to @JoeNBC in terms of complaints within West Wing being trained on Stephen Miller amid EO fallout
2017-01-30 12:42:59;JoeNBC;RT @jacobsoboroff: To @JoeNBC, @pressec: *only* 109 green card holders “slowed down” bc EO. Like 75 y/o grandma I met @ LAX held 9 hrs. htt…
2017-01-30 11:49:52;JoeNBC;RT @Morning_Joe: .@JoeNBC and @morningmika met with President Trump yesterday. Here’s their reporting.  https://t.co/3p9XGwUQrw
2017-01-30 11:47:48;JoeNBC;That take on Miller was confirmed by multiple WH insiders and agency heads. https://t.co/EelFJCXp2V
2017-01-30 11:38:29;JoeNBC;"RT @SCMitchP: ""Whoever drafted this up wrote it like a seventh grader."" - @JoeNBC on the confusion over President Trump's executive order."
2017-01-30 10:52:04;JoeNBC;We also spent the weekend talking to Democratic senators, former high level Obama officials and members of the incoming foreign policy team.
2017-01-30 10:51:41;JoeNBC;We will discuss what we learned from them coming up on #morningjoe.
2017-01-30 10:48:34;JoeNBC;We will be discussing our conversation with the president coming up in 10 minutes on #morningjoe.
2017-01-30 10:47:07;JoeNBC;Mika and I met with the president yesterday and discussed outrage over the immigration order, the NSC changes and his first week in the WH.
2017-01-30 01:58:43;JoeNBC;The incompetence on the NSC release and Miller's refusal to get interagency sign off on the refugee order are firea… https://t.co/yKVHV3QsLB
2017-01-30 01:56:45;JoeNBC;Is that an old picture or is it still standing? https://t.co/4LFI7McUmw
2017-01-30 01:55:55;JoeNBC;"...&amp; laid the foundation for the Beatles. Songs like Words of Love &amp; True Love Ways are as timeless as his rock cla… https://t.co/zGom3fAeUu"
2017-01-30 01:52:15;JoeNBC;Few remember just how breathtaking Buddy Holly's short run was. He was the first singer-songwriter rock star, pione… https://t.co/Yae4i3Obd2
