timestamp;sn;text
2017-01-30 00:16:04;repjohnlewis;We must work together to make a way out of no way.  #goodtrouble https://t.co/LPk18qCoIS
2017-01-29 02:11:11;repjohnlewis;"RT @JeremyLRedmon: Rep. John Lewis after an immigration official declined to say how many are being detained: ""Why don't we just sit down a…"
2017-01-29 01:39:28;repjohnlewis;RT @MarissaMFOX5: @repjohnlewis tells me he's going to sit at airport and wait for info on delays for processing Iranian families returning…
2017-01-29 01:25:23;repjohnlewis;This is a dark hour for America.
2017-01-29 01:24:57;repjohnlewis;To treat as strangers these law-abiding immigrants threatens the democratic principles this nation stands for.
2017-01-29 01:24:38;repjohnlewis;People immigrate to America because they are inspired by our commitment to justice and democracy.
2017-01-23 21:12:32;repjohnlewis;Congratulations @AtlantaFalcons! You worked. You played hard. And you made it happen. One more game to go. #RiseUp
2017-01-19 21:10:07;repjohnlewis;"Thank you @POTUS &amp; @FLOTUS for your years of service. You made us proud."
2017-01-16 14:54:22;repjohnlewis;"Our nation has at times created &amp; enforced unjust laws. It is up to people of conscience to expose such injustice through nonviolent means."
2017-01-16 14:49:03;repjohnlewis;"We honor Dr. King’s legacy through service to our community and adherence to the philosophy &amp; discipline of nonviol… https://t.co/PYyMUl3F9N"
2017-01-16 14:46:09;repjohnlewis;He gave his life for us. https://t.co/tKtk0fvY6J
2017-01-16 14:42:04;repjohnlewis;He went to jail for us. #goodtrouble https://t.co/saHB1WsfbV
2017-01-16 14:38:47;repjohnlewis;He protested for us. #goodtrouble https://t.co/DDkjh7USxD
2017-01-16 14:35:27;repjohnlewis;He marched for us. #goodtrouble https://t.co/ulzC3CBAeh
2017-01-16 14:33:45;repjohnlewis;Dr. King taught us to recognize the dignity and worth of every human being. He was the moral compass of our nation. #IHaveADream
2017-01-16 14:30:36;repjohnlewis;"Dr. Martin Luther King, Jr. was my friend, my mentor; he was like a big brother."
2017-01-11 19:46:27;repjohnlewis;We need someone as Attorney General who is going to look out for all of us, not just some of us. https://t.co/7rdUAFrobA
2017-01-11 18:33:46;repjohnlewis;RT @cspan: .@repjohnlewis testifies on Sen. #Sessions becoming Attorney General – LIVE online here: https://t.co/Fk4gZhbaSj #Sessionshearin…
2017-01-05 18:35:09;repjohnlewis;Affordable health care is the birthright of every American. At stake are not just the details of policy but the character of our country.
2017-01-05 16:24:01;repjohnlewis;RT @cspan: .@RepJohnLewis reads the 13th Amendment of the U.S. Constitution. Full video here: https://t.co/oVwYRlISRR  #Constitution115 htt…
2017-01-03 21:30:59;repjohnlewis;We must never, ever give up the right to protest for what is right, what is good, and what is necessary #goodtrouble https://t.co/PwRzZj55S4
2016-12-25 21:52:25;repjohnlewis;Wishing everyone peace and good will this Christmas holiday. I spent time today serving at Hosea Feed The Hungry. https://t.co/ItvQ8OM1N2
2016-12-05 18:32:48;repjohnlewis;61 years ago today, the Montgomery Bus Boycott began. It was the birth of the modern-day Civil Rights Movement.… https://t.co/HGauOcDZRs
2016-12-04 23:45:14;repjohnlewis;This is a victory for the protectors, for the environment, and for sacred spaces. #goodtrouble https://t.co/BryZfvzXg0
2016-12-01 16:36:41;repjohnlewis;Half of people living w/HIV in Georgia are not consistently in care. It’s time to #GetTreated to stay healthy. https://t.co/9zNWHmkYmi
2016-12-01 16:34:37;repjohnlewis;19% of people living with HIV in Georgia don't know they are infected. Get tested and know your status. https://t.co/SS86OS24zp
2016-12-01 16:34:12;repjohnlewis;1 in 51 Georgians will contract HIV says @CDCgov. We must change that. #GetTested #GetTreated #EndAIDS https://t.co/7gVIAO9fgS
2016-12-01 16:33:35;repjohnlewis;Georgia ranks 2nd in new HIV diagnoses. HIV is preventable. We can do better and we must do better. #GetTested #GetTreated #EndAIDS
2016-12-01 16:32:54;repjohnlewis;"African Americans are hardest hit by HIV, especially in the South. We must end health disparities &amp; stigma to end AIDS in America."
2016-12-01 16:32:02;repjohnlewis;Stigma causes people not to #GetTested or #GetTreated. We must embrace our brothers and sisters living with HIV/AIDS. #WorldAIDSDay
2016-12-01 16:30:09;repjohnlewis;RT @HIVTaskForceFC: .@repjohnlewis Thanks for your leadership against #HIV. Together we will #EndAIDSFulton @FultonInfo @johneaves @commjoa…
2016-11-24 19:26:05;repjohnlewis;May we all find peace, love, and kindness, this day and everyday. Wishing everyone a happy and safe Thanksgiving holiday.
2016-11-23 15:07:36;repjohnlewis;"Never become become bitter or hostile. Accept the way of peace, the way of love, believe in the philosophy &amp; the discipline of nonviolence."
2016-11-14 19:31:51;repjohnlewis;We mourn the loss of an outstanding and beloved journalist and friend. Gwen Ifill will be deeply missed.
2016-11-11 17:53:40;repjohnlewis;We must honor the service of our veterans by ensuring their well being when they return home. https://t.co/z3YeLYvy2Z
2016-11-11 15:05:30;repjohnlewis;#goodtrouble
2016-11-08 22:41:26;repjohnlewis;Precincts in Georgia close at 7pm. Remember, as long as you are in line by 7pm, you are guaranteed your right to vote. #StayInLine
2016-11-08 22:36:47;repjohnlewis;Do not give up, give in, or give out. You must do what it takes to make your voice heard and cast your ballot in this election. #StayInLine
2016-11-08 22:35:48;repjohnlewis;During another period, people waited in immovable lines, faced billy clubs and cattle prods, just to register to vote. #StayInLine
2016-11-08 14:25:20;repjohnlewis;The right to vote is precious, almost sacred. It is the most powerful nonviolent tool or instrument we have in a democratic society. Use it.
2016-11-07 14:09:03;repjohnlewis;I dream of a world that makes love it’s highest virtue. We must all participate. We must all exercise our right to… https://t.co/XzPo2tOkEv
2016-11-03 12:58:29;repjohnlewis;I’ve marched, protested, been beaten and arrested--all for the right to vote. Friends of mine gave their lives. Hon… https://t.co/sZ42gGXzdN
2016-11-02 18:31:43;repjohnlewis;"Ours is not the struggle of a day, a week, a month, or a year--it is the struggle of a lifetime. Be persistent &amp; consistent. #goodtrouble"
2016-10-19 22:44:52;repjohnlewis;"We are one people, one family, one house--the American house. We must learn to live together as brother &amp; sister or we will perish as fools."
2016-10-13 19:37:25;repjohnlewis;"Thank you @FLOTUS for your powerful voice, and for speaking up for our nation's mothers &amp; daughters, sisters &amp; wives, &amp; human decency."
2016-10-13 13:23:50;repjohnlewis;There is no sound more powerful than the marching feet of a determined people. #goodtrouble
2016-10-11 16:17:30;repjohnlewis;It doesn't matter if we are straight or gay or transgender--we are one people, we are one family, we are one love. #NationalComingOutDay
2016-10-11 14:25:28;repjohnlewis;"Are you registered to vote? Today is the last day to register in Georgia &amp; several other states. Do your part. https://t.co/HlXdbqxdqo"
2016-10-11 13:42:51;repjohnlewis;"We must keep pushing &amp; pulling, speaking up &amp; speaking out, until we build a world at peace with itself and create the beloved community."
2016-10-05 21:14:55;repjohnlewis;"Congratulations to @MidtownATL for being named ""One of the Great Places in America"" by @APA_Planning https://t.co/Oi6j5x8pdU"
2016-10-05 12:37:44;repjohnlewis;The right to vote is being attacked by the @HouseGOP who refuses to #RestoreTheVRA – Where is your courage? Where is your soul? #Doyourjob
