timestamp;sn;text
2016-12-16 14:17:36;johnpodesta;My op-ed: Something is deeply broken at the FBI https://t.co/vnX4pi7Eqr
2016-12-13 15:07:01;johnpodesta;A breath of clean air on climate change. https://t.co/rl4Gqi1Hxq
2016-12-12 19:49:46;johnpodesta;Serious questions about Russia's involvement in the US election deserve answers. https://t.co/3OV5Q5TO3R
2016-11-07 17:39:17;johnpodesta;Stronger together. Let's build an economy that works for everyone not just those at the top. #ImWithHer https://t.co/LHu1K8PWnL
2016-11-06 00:58:20;johnpodesta;Everyone has my permission to take 7 1/2 minutes off knocking doors to watch this video. #ImWithHer https://t.co/E7hWhdAEHl
2016-10-31 23:44:58;johnpodesta;Donald Trump has a secret email server set up to communicate privately with the Russian Alfa Bank. https://t.co/7b3E8VbT6c
2016-10-31 20:08:43;johnpodesta;Shocking to think that Americans didn't deserve this information before Election Day. https://t.co/5LC8LG1Jhy
2016-10-29 23:48:30;johnpodesta;You've probably heard about a bewildering letter sent to Congressional leaders by the FBI Director. Get the facts. https://t.co/1srwHYE2aR
2016-10-26 21:10:48;johnpodesta;Incredibly proud of the team we've built at @HFA. On to victory on Nov 8th! #StrongerTogether https://t.co/qRCZ7fhshg
2016-10-26 20:31:46;johnpodesta;Happy birthday to our next President, @HillaryClinton.
2016-10-20 02:34:45;johnpodesta;"Democrats, Republicans, &amp; Independents are coming together to stand up for our core American values. 

Join them: https://t.co/flcUIanRJy"
2016-10-20 02:32:12;johnpodesta;"Donald Trump called social security a ""ponzi scheme."" Mike Pence pushed to privatize it. https://t.co/plmm6xghyt"
2016-10-20 02:22:08;johnpodesta;"GOP nat sec officials know the personal qualities required to be president &amp; Trump doesn't have them. #DebateNight  https://t.co/uhNTIPAEgC"
2016-10-20 02:08:22;johnpodesta;"Even his campaign manager can’t back up Trump’s delusional claim that the election will be “rigged.” @KellyannePolls
https://t.co/Cxbg8YaO6E"
2016-10-20 02:05:44;johnpodesta;Undocumented workers likely pay more fed income taxes than Trump. Not to mention $7 billion into Social Security every year. #DebateNight
2016-10-20 02:03:46;johnpodesta;"RT @HillaryClinton: The Trump Foundation: ""an arrangement worked out for maximum benefit at minimum sacrifice.” https://t.co/y0bY1efHwL"
2016-10-20 01:55:31;johnpodesta;"“We as women. We as Americans. We as decent human beings. Can come together to stand up and say enough is enough.""… https://t.co/bWnAWZ7NSe"
2016-10-20 01:52:10;johnpodesta;"1990s—
HRC says “women’s rights are human rights” in Beijing. Fights for CHIP.
DJT calls Miss Universe pageant winner “an eating machine.”"
2016-10-20 01:51:37;johnpodesta;"1980s—
HRC works to improve the quality of schools in AR.
DJT borrows what he calls a “small” loan totaling $14 million from his dad."
2016-10-20 01:50:51;johnpodesta;"1970s—
HRC works at Children's Defense Fund &amp; to expose segregation in schools.
DJT is sued by DOJ for racial discrimination. #DebateNight"
2016-10-20 01:49:12;johnpodesta;"Trump stiffed American workers &amp; used Chinese steel, aluminum to build the Trump International, right here in Vegas.
https://t.co/YoFoueG6Fc"
2016-10-20 01:46:47;johnpodesta;RT @HillaryClinton: .@TheEconomist ranked Donald Trump and his economic policies as tied for 4th among the greatest risks to the world econ…
2016-10-20 01:39:57;johnpodesta;"Trump's tax plan:

✓historic tax cuts for the wealthy
✓$6 trillion in tax cuts for corporations alone
✓$20 trillion added to the natl debt"
2016-10-20 01:36:47;johnpodesta;Trump on the prospect of nuclear war in Asia: “Enjoy yourself, folks.” #DebateNight https://t.co/uvxdv8Wf6e
2016-10-20 01:32:36;johnpodesta;"4. It's time for Trump to condemn this intrusion by the Kremlin and tell voters what his campaign know and when they knew it.  
#DebateNight"
2016-10-20 01:31:51;johnpodesta;"3. We know Trump has praised Putin, outlined pro-Putin policies &amp; done hundreds of millions of dollars of business w/ Russian interests."
2016-10-20 01:30:43;johnpodesta;"2. DHS confirmed that Russia directed the cyber attacks to interfere w/ our election. 

So why does Russia want Trump to be president?"
2016-10-20 01:29:59;johnpodesta;1. Let’s be clear about what's happening here—Trump is cheering on a massive Russian attempt to influence our election. #DebateNight
2016-10-20 01:25:41;johnpodesta;".@AFLCIO &amp; @USChamber both agree that comprehensive immigration reform will raise wages, create jobs &amp; grow the economy. #DebateNight"
2016-10-20 01:23:51;johnpodesta;"Strengthening families means keeping them together. Hillary will fight for DAPA &amp; for all the other kids like Karla.
https://t.co/nkIIX0dkgG"
2016-10-20 01:16:17;johnpodesta;"Hillary will appoint justices who will stand up to the assault on abortion rights around the country &amp; defend Roe v. Wade. #DebateNight"
2016-10-20 01:09:04;johnpodesta;Hillary will appoint justices who will protect the rights of the American people, not tip the scales in favor of corporations. #DebateNight
2016-10-20 00:57:52;johnpodesta;"Tolerance, democracy—even our constitution itself—are on the ballot this year. Vote. 

https://t.co/459hfMD5kM"
2016-10-15 23:58:03;johnpodesta;A momentous achievement seven years in the making. The Kigali deal marks a major victory for our planet. https://t.co/gAEzTVT06G
2016-10-14 17:53:18;johnpodesta;3. I bet the lobster risotto is better than the food at the Ecuadorian Embassy. https://t.co/zyViu1R4UL
2016-10-14 17:52:29;johnpodesta;"2. This time with the fabulous Chef @DanielBoulud for Tim Kaine &amp; the Hillary Victory Fund. https://t.co/05Q8Iiq02r"
2016-10-14 17:50:50;johnpodesta;1. Still standing and still making Risotto. https://t.co/y7Y64P7TPo
2016-10-11 21:15:55;johnpodesta;.@chefjoseandres: Thanks for the important tip. Still learning the ropes in the kitchen. https://t.co/SJnn5Le4BA
2016-10-11 20:15:40;johnpodesta;"""Every single vote counts... take it from me, your vote can make all the difference in this election."" -@algore https://t.co/Gm4tFM5uZA"
2016-10-11 20:05:26;johnpodesta;“We now have the ability to change this…And we can create good jobs in the process.” - @algore on the climate crisis
2016-10-11 19:54:11;johnpodesta;We can fight climate change because our next president has a plan. @HillaryClinton #ImWithHer https://t.co/lazxsPm48W
2016-10-11 19:51:13;johnpodesta;"Hillary won’t just meet the goals we set in Paris—she’ll aim to exceed them &amp; cut emissions as much as 30% by 2025. https://t.co/SFtk2ywiAR"
2016-10-11 19:49:46;johnpodesta;"We can reduce the impacts of air pollution and toxic waste on low-income &amp; minority communities. https://t.co/X09nv1BFVM"
2016-10-11 19:45:41;johnpodesta;"If we invest in clean energy we can create millions of good-paying jobs – union jobs that offer security &amp; dignity. https://t.co/MslP2m9OWm"
2016-10-11 19:43:14;johnpodesta;And whether or not he chooses to acknowledge climate change in his campaign, even Donald can’t ignore it forever... https://t.co/92Lo88wXa5
2016-10-11 19:38:16;johnpodesta;The evidence of climate change is overwhelming. $69 billion of South FL property is at risk from sea level rise in the next 15 years.
2016-10-11 19:36:36;johnpodesta;We can be a clean energy superpower. We can cut carbon pollution. And we can and will create millions of good jobs in the process.
2016-10-11 19:34:19;johnpodesta;Climate change is real, it’s urgent, and America must lead the world in taking action. #ActOnClimate
2016-10-11 17:18:18;johnpodesta;"Hillary and I are on our way to FL to talk climate change with our good
friend and climate champion @algore"
2016-10-10 02:34:10;johnpodesta;Hillary's plan for revitalizing coal communities. #debate https://t.co/4rw32Xhv48
2016-10-10 02:31:57;johnpodesta;"ICYMI: Turns out it's not American steel in Trump’s buildings. It’s Chinese steel and Chinese aluminum. 
https://t.co/YoFoueG6Fc"
2016-10-10 02:29:59;johnpodesta;"Climate action is good for our bottom line. Hillary's plan will create good jobs &amp; save us money on energy bills. https://t.co/131mdXCYJK"
2016-10-10 02:20:41;johnpodesta;"Your President is the last person who should make you feel like you don’t belong. 
#debate https://t.co/EQNalkBBT1"
2016-10-10 02:10:13;johnpodesta;"Many Republicans &amp; independents are putting country over party and supporting Hillary for president. 

Join them: 
https://t.co/flcUIanRJy"
2016-10-10 02:05:24;johnpodesta;"""Being a champion for children, an advocate for children, is not easy...""—Shane https://t.co/0bO0a2tLth"
2016-10-10 01:54:19;johnpodesta;"Remember the Bush tax cuts for the wealthy? Donald’s are 3X the size. 

Triple down on trickle down. #debate https://t.co/lF3bgKNiPd"
2016-10-10 01:44:23;johnpodesta;RT @TheBriefing2016: This Muslim ban is...literally still on Donald Trump's website right now. #Debate https://t.co/WKJcZLvPrQ https://t.co…
