timestamp;sn;text
2017-01-31 22:26:15;RepJudyChu;If you don't have time to finish today, don't worry! @CoveredCA is giving you until 2/4 to finish. Help is here:… https://t.co/WQAxcZ5mbN
2017-01-31 20:56:29;RepJudyChu;While Trump continues his anti-immigrant campaign, I've cosponsored this bill to ensure he cannot hurt our cities. https://t.co/1T2HsQxitj
2017-01-31 19:39:28;RepJudyChu;"Trump, Pence, &amp; anti-choice lawmakers want to push abortion out of reach. With the EACH Woman Act, we say NO! We #WontBePunished"
2017-01-31 19:39:17;RepJudyChu;I'm proud to co-sponsor the EACH Woman Act. All should have coverage for the full range of #reprohealth care, incl. abortion. #BeBoldEndHyde
2017-01-31 19:34:42;RepJudyChu;"Trump's Muslim ban hurts refugees, families, those who helped our troops &amp; harms our nat'l security. We're calling… https://t.co/CXVx9I7chJ"
2017-01-31 17:51:13;RepJudyChu;RT @CAPAC: Last night, CAPAC Chair @RepJudyChu joined House and Senate Democrats to denounce the #MuslimBan. Watch→ https://t.co/EfXJnnvsPi
2017-01-31 15:19:53;RepJudyChu;ACA has put healthcare in reach of ALL Americans. If you need help, ACA offers subsidies. Don't miss out. Today is last day to sign up!
2017-01-31 14:56:13;RepJudyChu;This is what our America looks like. https://t.co/AsZV4HlSyU
2017-01-31 14:15:26;RepJudyChu;"When it comes to Russia's hacking to influence this election, the public deserves to know what Trump &amp; his staff kn… https://t.co/QM9LizpVgf"
2017-01-31 13:13:58;RepJudyChu;Here’s Jeff Sessions telling Sally Yates during her confirmation to oppose presidential orders she disagrees with: https://t.co/XTd0re9MTB
2017-01-31 13:00:13;RepJudyChu;Knowing the consequences of doing so, Sally Yates refused to defend Trump's immigration ban. That is courage. Thank you for your example.
2017-01-31 00:06:04;RepJudyChu;Democrats in Congress rallied against #MuslimBan I spoke about rushing to LAX to advocate for people. The ban is Tr… https://t.co/YpyU5JNEW1
2017-01-30 23:59:22;RepJudyChu;"RT @AP_Politics: Acting attorney general  tells Justice Department attorneys not to defend Trump refugee action,
by @jpaceDC 
https://t.co/…"
