timestamp;sn;text
2017-01-31 18:32:05;jtimberlake;What are you doing this weekend? #SB51 @drinkbai https://t.co/tLTamGaHEq
2017-01-30 17:50:00;jtimberlake;Let’s get this party started! #DreamWorksTrolls now available on Digital HD: https://t.co/e0A7xI1XCp Blu-ray/DVD co… https://t.co/CfMCsYXy0Y
2017-01-26 17:12:32;jtimberlake;Yes, we went there... #SB51 @drinkbai https://t.co/6NScgPZ9WD
2017-01-24 19:26:30;jtimberlake;SPEECHLESS. WOWOWOW!!!!!!! Thank you SO MUCH @TheAcademy for this nomination for #CantStopTheFeeling ‼Congrats to ALL the nominees!! -JT
2017-01-23 02:50:08;jtimberlake;I have two pockets. 😬 https://t.co/4Emsy9yjYD
2017-01-21 16:40:18;jtimberlake;Branch’s face says it all … Happy #NationalHuggingDay! @Trolls #TrollsHugDay https://t.co/feRJGKy8Vk
2017-01-19 15:46:04;jtimberlake;Thank you to EVERYONE that voted for Favorite Song and Favorite Male Artist. I'm truly honored… https://t.co/2zob1sR64j
2017-01-17 03:49:15;jtimberlake;"RT @GrizzliesOnFSSE: Today is the last day to #NBAVOTE #CaptainClutch Mike Conley to the NBA All-Star game.

#GrindCity #NBA https://t.co/m…"
2017-01-15 18:47:37;jtimberlake;"RT @memgrizz: “He’s not one of those guys that’s running around &amp; pounding his chest. He’s going out there and getting it done” 

Mike Conl…"
2017-01-15 16:18:45;jtimberlake;"RT @memgrizz: We agree, Mike D'Antoni, we agree.

Mike Conley #NBAVOTE https://t.co/phszy0awng"
2017-01-15 16:09:32;jtimberlake;"RT @memgrizz: We couldn't have said it better ourselves, @SteveKerr. 

RETWEET to cast your #NBAVOTE for Mike Conley https://t.co/yn78egWu4y"
2017-01-13 19:36:22;jtimberlake;Enjoyed working with such talented people to create original music for @bookoflovefilm. Available to stream now:… https://t.co/hQwCxFAidy
2017-01-13 01:22:24;jtimberlake;👀 https://t.co/lMGVAoKeLs
2017-01-12 00:43:59;jtimberlake;"RT @alexiskmorgan: Can't believe they changed the Hollywood sign again 😮

Marc Gasol #NBAVote https://t.co/DedWxVnPxF"
2017-01-10 15:20:58;jtimberlake;"RT @memgrizz: RT if it's Monday! 

Mike Conley #NBAVOTE https://t.co/f7LIQebUTB"
2017-01-08 20:04:40;jtimberlake;"RT @memgrizz: Every RT is a #NBAVOTE for Marc Gasol to make the All Star Game!  

You know whatcha gotta do. #GrindCity https://t.co/0JrV8W…"
2017-01-07 08:03:17;jtimberlake;"That's. My. Dawg. Mike Conley
#CaptainClutch 

Retweet NOW!

#NBAVote https://t.co/As8WA9iQgu"
2017-01-07 00:46:15;jtimberlake;"RT @memgrizz: Listen to @MarcGasol &amp; retweet this tweet to cast your #NBAVOTE for Mike Conley! https://t.co/xnAiLYTA8A"
2017-01-06 01:13:50;jtimberlake;RT @MarcGasol: Mike Conley #NBAVOTE https://t.co/IVNuo9syQ6
2017-01-05 20:37:55;jtimberlake;"Or vote by using these hashtags on socials: #iHeartAwards, #CantStopTheFeeling &amp; #BestMusicVideo OR #BestSongFromMovie (All 3!) -teamJT"
2017-01-05 20:34:05;jtimberlake;JT is up for 3 @iHeartRadio Music Awards! Help him win with a vote a day until Feb 24th! VOTE:… https://t.co/vGPLeYj4Pn
2017-01-04 00:53:09;jtimberlake;"RT @memgrizz: Every RT is a vote for Mike Conley to make the All ⭐ Game! 

You know what you need to do. #NBAVOTE https://t.co/eVgeKZqzZt"
2016-12-31 22:42:23;jtimberlake;RT @Pharrell: https://t.co/d8jGbP4TOD
2016-12-30 20:37:35;jtimberlake;"I AM unemployed... 🤔

#GrindCity https://t.co/tirjI6fXZn"
2016-12-30 04:01:05;jtimberlake;🔥🔥🔥👀 https://t.co/B9AHux1loO
2016-12-23 19:33:22;jtimberlake;"RT @Trolls: Catch @jtimberlake &amp; @AnnaKendrick47 perform ""True Colors"" from #DreamWorksTrolls! https://t.co/eaPZrRilEb"
2016-12-16 19:16:46;jtimberlake;RT @Trolls: Can't stop this #FridayFeeling! #DreamWorksTrolls https://t.co/TEQBfVVm1g
2016-12-16 00:00:16;jtimberlake;"#RIPCraigSager 

You made basketball BETTER. There will never be another you. Prayers to your family and loved ones.

-JT"
2016-12-12 16:40:00;jtimberlake;Woke up to a @goldenglobes nom! And then played hide and seek with my son before breakfast! Double win!Thank you, HFPA!!! 🍾🎉
2016-12-09 20:51:10;jtimberlake;#TisTheSeason to vote for JT at this year's @PeoplesChoice Awards! Every day ‘till Dec. 15th 🎉 VOTE:… https://t.co/WViATD25Nj
