timestamp;sn;text
2017-01-31 20:03:06;RepKClark;"Thank you @MassAGO for taking steps to protect MA families from Trump's illegal &amp; unconstitutional #MuslimBan.… https://t.co/0f4YAUHPsG"
2017-01-31 19:37:59;RepKClark;I co-sponsored the EACH Woman Act b/c all women have the right to full reproductive health care regardless of their income. #BeBoldEndHyde
2017-01-31 14:46:23;RepKClark;"Teamed up w/ @RepZoeLofgren &amp; 170+ Dems to fight Trump's reckless &amp; unconstitutional ban. Statue of Liberty Values… https://t.co/jv0q5Ug38x"
2017-01-31 14:29:08;RepKClark;"""slamming the door shut on those fleeing violence and persecution..is a stark departure from core American values."" https://t.co/NsI2Ms6RFh"
2017-01-31 12:41:09;RepKClark;Thank you @SallyQYates for having the moral courage to stand up for what's right, no matter the consequences… https://t.co/4yuKYPtnQL
2017-01-30 21:00:47;RepKClark;"Will @HouseGOP find the moral courage to join us &amp; fight these unconstitutional executive orders? #muslimban https://t.co/QU5tc20DmC"
2017-01-30 20:18:05;RepKClark;Bannon's appointment to the National Security Council should concern every American. https://t.co/9ue8iRaZcR
2017-01-30 19:59:37;RepKClark;#KorematsuDay reminds us that it's never the wrong time to take a stand and fight injustice.
2017-01-30 03:09:59;RepKClark;I'm committed to using every tool available to fight this unconstitutional Muslim Ban. #NoBanNoWall https://t.co/Z34TqOl4YQ
2017-01-30 03:09:19;RepKClark;"are fearful &amp; uncertain about what will happen to their family members as a result of Trump's reckless &amp; heartless… https://t.co/aZkhEMsN5W"
2017-01-30 03:07:34;RepKClark;Still, too many of our neighbors, like the Syrian American family I met tonight from Belmont #NoBanNoWall https://t.co/58TajEP46y
2017-01-30 03:05:35;RepKClark;The immigration attorneys at Logan Airport are doing amazing work helping families reunite with their loved ones.… https://t.co/3exW25hhoG
2017-01-29 10:02:01;RepKClark;"Thank you to the attorneys in Boston &amp; around the country who've dropped everything to fight Trump's #MuslimBan https://t.co/z5XO75Rius"
2017-01-29 01:37:19;RepKClark;Congress can fix this unconscionable, unconstitutional executive order. Will @HouseGOP summon the moral courage to… https://t.co/W4rtybQnRM
2017-01-28 13:28:10;RepKClark;This is not a question of liberal vs conservative or Democrat vs Republican. This is a question of right vs wrong. https://t.co/VkANI71qjU
2017-01-27 16:45:59;RepKClark;History reminds us to be compassionate and concerned citizens of the world. #HolocaustRemembranceDay https://t.co/RExzqcTmug
2017-01-26 19:04:07;RepKClark;RT @USProgressives: We need @RepKClark 's Presidential Conflicts of Interests Act! Read @ZephyrTeachout oped about the emoluments clause ht…
2017-01-26 17:44:30;RepKClark;In his 1st interview as POTUS, Trump.. https://t.co/QJaWxjWf9A
2017-01-26 15:00:21;RepKClark;#TBT #offensiveandunconstitutional https://t.co/UfltPtyx1b
2017-01-26 14:41:22;RepKClark;"POTUS's move to muzzle @EPA should raise red flags for anyone who believes in transparent &amp; accountable government.… https://t.co/7cxlbg02JL"
2017-01-25 16:14:35;RepKClark;"Turning our back to unprecedented humanitarian crises is not an act of strength; it exposes a lack of moral leadership."
2017-01-25 16:14:09;RepKClark;POTUS's anti-immigrant plans are cruel and un-American.  https://t.co/44iGxO57gY
2017-01-25 15:49:27;RepKClark;Congress should be protecting Americans, not POTUS's conflicts of interest. https://t.co/LY79EQCIYM
2017-01-24 23:23:44;RepKClark;For the record, @BadlandsNPS was tweeting #Science, not #alternativefacts https://t.co/RuYwuHlRsF
2017-01-24 21:54:22;RepKClark;#science https://t.co/FGE4TnLW8c
2017-01-24 18:44:28;RepKClark;Shameful. Instead of helping families at home, GOP has made it a top priority to roll back progress on women's #reprorights. #ProtectOurCare
2017-01-24 18:38:12;RepKClark;"Our msg to POTUS &amp; GOP: Millions marched in solidarity to reject your divisive anti-woman promises. We won't be sil… https://t.co/Bhr2bAKa4N"
