timestamp;sn;text
2017-01-31 21:30:03;SenGillibrand;New Yorkers getting #offthesidelines by marching, protesting, and raising your voices—I hear you. Thanks for making yourselves heard.
2017-01-31 20:10:40;SenGillibrand;A reminder that the deadline is today. #GetCovered: https://t.co/rJyLTZEisH https://t.co/tzZ9113c43
2017-01-31 18:33:29;SenGillibrand;Our willingness to accept those fleeing the most dangerous and violent places on earth is what the Statue of Liberty represents.
2017-01-31 00:58:05;SenGillibrand;"We have to fight.
We have to stand strong.
We have to say no. 

And we must not give up. We must not give in. https://t.co/aUzFOjQJ8u"
2017-01-30 23:15:12;SenGillibrand;Our Secretary of State must be willing to stand up for our values. Not convinced that Rex Tillerson would use this position to do that.
2017-01-30 23:14:20;SenGillibrand;I'm concerned about his enormous conflicts of interest and disturbed by his evasion on basic questions about human rights.
2017-01-30 23:13:51;SenGillibrand;I'm voting no on Rex Tillerson's nomination as Secretary of State and will urge my Senate colleagues to join me.
2017-01-30 21:30:10;SenGillibrand;Proud to join thousands of NYers in Battery Park yesterday to speak out against @POTUS's refugee executive order. https://t.co/MBl5gKvSPl
2017-01-30 20:06:29;SenGillibrand;Outrageous that kids in Upstate NY without Internet service at home have to do their homework in the library parking lot or at McDonald's.
2017-01-30 20:02:53;SenGillibrand;I fought to keep $170m in federal funding to expand rural broadband access in NY, pleased @FCC has approved it. https://t.co/CErWdQdFnW
2017-01-30 18:39:50;SenGillibrand;"Tomorrow, 1/31, is the deadline to enroll in the #ACA for 2017 coverage.

In NY: https://t.co/aDMdiPkbPT
Outside NY: https://t.co/rJyLTZEisH"
2017-01-30 15:32:08;SenGillibrand;"If you're in #NYC, my office is hosting a tax prep workshop today where you can meet with experts &amp; find out if you… https://t.co/cMfIVVIDnK"
2017-01-29 20:26:34;SenGillibrand;I'm with you. I support you. And I'll never stop fighting for our immigrants and refugees.
2017-01-29 20:24:52;SenGillibrand;Keep marching. Keep protesting. Keep raising your voice as loudly and forcefully as you can against this hateful and discriminatory policy.
2017-01-29 20:23:27;SenGillibrand;For those at rallies and protests in New York and across the country: After today, do not quiet down. Do not stop this fight.
2017-01-29 20:20:47;SenGillibrand;It's an absolute moral and ethical failure, and goes against everything the Statue of Liberty represents and our New York values.
2017-01-29 20:18:51;SenGillibrand;.@POTUS's Executive Order on immigrants and refugees is a mark of shame on our country. And it makes us less safe.
2017-01-29 20:17:12;SenGillibrand;An honor to raise my voice with thousands of New Yorkers in Battery Park today. https://t.co/oUpkKN2bKf
2017-01-29 18:37:44;SenGillibrand;Today at 2pm in Battery Park, I'll stand with thousands of concerned New Yorkers to protest Trump's shameful executive order.
2017-01-28 17:20:01;SenGillibrand;"Happy #LunarNewYear! Xin Nián Kuài Lè! Saehae Bog Manhi Bat-eu Saeyo! 

I wish all peace, success and happiness in the #YearoftheRooster!"
2017-01-28 01:04:12;SenGillibrand;"Our diversity is what makes us strong. I'll continue to stand with immigrant &amp; refugee families and I'll fight in the Senate to protect them"
2017-01-28 01:02:31;SenGillibrand;"Taking in refugees helps make our country safer by showing the world that America cares for children &amp; families facing strife &amp; persecution."
2017-01-28 00:59:14;SenGillibrand;"Our willingness to accept those who are fleeing the most dangerous &amp; violent places on earth is what the Statue of Liberty represents."
2017-01-28 00:57:09;SenGillibrand;"Pres. Trump’s executive orders on immigration &amp; refugees fly in the face of our #NY values and the foundation on which our nation was built."
2017-01-27 23:46:05;SenGillibrand;Today we mark #HolocaustMemorialDay, a day to remember the millions we lost and to rededicate ourselves to ensuring it never happens again.
2017-01-27 22:45:28;SenGillibrand;Today is #EITCAwarenessDay to help ensure millions of U.S. workers get the #EITC they've earned. See if you qualify https://t.co/xcAYnRWH4b
2017-01-27 22:00:23;SenGillibrand;Trump admin may not want you to know this, but Jan. 31st is the deadline to enroll in the #ACA for 2017. #GetCovered https://t.co/rJyLTZEisH
2017-01-27 21:32:27;SenGillibrand;So proud to nominate extraordinary students from around #NY for the service academies, congratulations to you all!
2017-01-27 20:45:14;SenGillibrand;We must expand #ruralbroadband service in Upstate #NY, where some kids have to sit in a library parking lot just to do their homework.
2017-01-27 20:40:58;SenGillibrand;I was proud to push for this @FCC funding and will continue fighting to get my bipartisan #ruralbroadband bill passed in the Senate.
2017-01-27 20:31:05;SenGillibrand;Pleased @FCC has approved up to $170 million in federal funding to expand #ruralbroadband access in Upstate #NY. https://t.co/bM35wDh8Hi
2017-01-27 19:31:13;SenGillibrand;"This poster from the #WomensMarch says it all: 

""Today we march, tomorrow we run for office."" #offthesidelines https://t.co/pJHq1XvfTT"
2017-01-27 19:26:38;SenGillibrand;"Make sure the #WomensMarch was the beginning of the movement, not the end. Stay engaged, make your voice heard.

https://t.co/sbfcI67flX"
2017-01-27 01:18:11;SenGillibrand;RT @LessleeSaybah: @SenGillibrand so my kids know that me and millions of moms like me were on the right side of history- we weren't quiet.…
2017-01-27 01:17:58;SenGillibrand;RT @JoyParadeBlog: @SenGillibrand Many reasons, but mostly for my son with Autism. Education is for EVERYONE. He wanted to march too. He ma…
2017-01-27 01:17:49;SenGillibrand;RT @ccaruso330: @SenGillibrand @SenGillibrand I marched for my students who are immigrants and refugees and fundamental human rights https:…
2017-01-27 01:17:05;SenGillibrand;RT @CarolynLanzetta: @SenGillibrand I marched for equality. And to show my daughter that her voice matters. https://t.co/J9CBGidbEP
2017-01-27 00:15:55;SenGillibrand;Did you participate in a #WomensMarch last wknd? Tell me your story. Why did you march? I marched so women's voices will be heard #WhyIMarch
2017-01-26 22:13:43;SenGillibrand;Great that #RPI will be part of Advanced Robotics Manufacturing Innovation Hub to help revitalize US manufacturing. https://t.co/tvmNgdPjKo
2017-01-26 21:01:34;SenGillibrand;"Joined @SenatorTester &amp; all @SenateDems in urging Pres. Trump to exempt @DeptVetAffairs from federal hiring freeze. https://t.co/xnfZYbl3Q1"
2017-01-26 20:13:38;SenGillibrand;I stand with @SAANYS against the nomination of Betsy DeVos for Education Secretary. https://t.co/3X622BFMlo
2017-01-25 22:16:55;SenGillibrand;"I will always fight to protect a woman's right to make her own health care decisions &amp; I'll work to block GOP efforts to repeal the #ACA."
2017-01-25 22:10:58;SenGillibrand;44 years after #RoeVWade, we must stand against rightwing attempts to roll back progress on women's health. https://t.co/PoUIbUt29H
2017-01-25 20:31:28;SenGillibrand;Inspired by these amazing women who took buses to DC for the #WomensMarch from #Hornell, #NY. https://t.co/Bbov44vWOu #offthesidelines
2017-01-25 17:50:22;SenGillibrand;".@SenSchumer, @RepSeanMaloney &amp; I are urging @DeptofDefense to stop contamination of #Newburgh, #NY water supply. https://t.co/eYtaLElEBo"
2017-01-25 15:47:13;SenGillibrand;Horrifying @NYTimes piece about the consequences of failing to hold campus sexual assault perpetrators accountable. https://t.co/a2bNs8zBGT
2017-01-24 23:02:29;SenGillibrand;"I'll continue to fight for every woman's right to make her own healthcare decisions &amp; against repeal of the #ACA. Make your voices heard!"
2017-01-24 23:01:09;SenGillibrand;Yet many in Congress still want to overturn these advancements and turn back the clock on women's health.
2017-01-24 22:57:47;SenGillibrand;"Thanks to the #ACA, millions of women have access to preventive care &amp; repro health services incl contraceptive counseling &amp; birth control."
2017-01-24 22:56:17;SenGillibrand;"Since #RoeVWade, we've made so much progress advancing women's rights &amp; women's health, much due in part to the Affordable Care Act."
2017-01-24 22:53:46;SenGillibrand;Spoke on the floor about the 44th anniv of #RoeVWade--one of the most important SCOTUS decisions in the history of women’s rights in the US.
2017-01-24 21:25:08;SenGillibrand;If our public education fails, then America fails, and I do not believe Mrs. DeVos shares my commitment to a strong public education system.
2017-01-24 21:20:42;SenGillibrand;Students, parents and teachers deserve an Education Secretary whose commitment to public education and safe schools will never waver.
2017-01-24 21:18:58;SenGillibrand;"I share your deep concerns about Betsy DeVos's nomination &amp; will be voting against her confirmation. I'll urge my colleagues to do the same."
2017-01-24 21:18:13;SenGillibrand;Thank you to everyone who has reached out and made your voice heard in opposition to Betsy DeVos's nomination to be Secretary of Education.
2017-01-24 20:04:15;SenGillibrand;Agree with the @PostStar--Saturday's march was just the beginning. Stay engaged, make your voices heard! https://t.co/PYGZ4Koai5
2017-01-24 19:19:12;SenGillibrand;Yet another reason we must elect more women to office! https://t.co/lWr6PYFyyX #offthesidelines
2017-01-24 19:09:36;SenGillibrand;"Thank you @SenatorCardin for leading the fight to pass the #ERA &amp; give women full equality under the Constitution.… https://t.co/brJnceaOQX"
2017-01-23 22:41:01;SenGillibrand;"I'll join @SenatorShaheen &amp; my colleagues this week in introducing bipartisan legislation to permanently repeal the #GlobalGagRule."
2017-01-23 22:28:09;SenGillibrand;"Pres. Trump re-instated #globalgagrule--restricts access to repro care &amp; endangers lives of women around the world. https://t.co/tgHlhPzgGL"
2017-01-23 21:36:35;SenGillibrand;I stand w/the #7in10forRoe bc politicians shouldn’t get in the way of a woman’s right to make personal decisions about her own health #Roe44
2017-01-23 21:33:43;SenGillibrand;#RoevWade turned 44 years old this wknd. I stand w/the #7in10forRoe and won't stop fighting until #reprorights are a reality for all women.
2017-01-23 20:08:02;SenGillibrand;"The #WomensMarch was only the beginning.

What are you doing to continue to mobilize and turn the energy from Saturday into ongoing action?"
2017-01-23 20:03:48;SenGillibrand;"Thank you @WomensMarch for an amazing event &amp; to everyone who gathered on Saturday at marches around the world, tru… https://t.co/zY9MZjzCyY"
2017-01-21 21:31:00;SenGillibrand;"Thank you to everyone who came out to the #WomensMarch today, so inspired by all the women &amp; men who are mobilized making their voices heard"
2017-01-21 21:21:27;SenGillibrand;Amazing to see @RepCheri at the #WomensMarchonChicago with @OTSChicago! #offthesidelines https://t.co/VvAV253SbW
2017-01-21 19:39:59;SenGillibrand;RT @ddiamond: Kirsten Gillibrand at #WomensMarch gives a fiery defense of women's health issues + need for contraception. https://t.co/YKh4…
2017-01-21 19:38:50;SenGillibrand;"RT @NARAL: ""THIS is the moment women stood strong and stood firm and said NEVER AGAIN!"" - Sen. Gillibrand #womensmarch #JoinTheResistance"
2017-01-21 19:35:55;SenGillibrand;"RT @CecileRichards: Proud &amp; grateful to represent Planned Parenthood's 2.5 million patients &amp; 9.5 million supporters at the #WomensMarch ht…"
2017-01-21 19:33:47;SenGillibrand;The fight for equality doesn't end. Thanks for marching! #offthesidelines #WomensMarch https://t.co/cFwEohv74K
