timestamp;sn;text
2017-02-01 05:07:04;latimesopinion;Question for Democrats: Is Neil Gorsuch illegitimate or extreme? #SCOTUS https://t.co/jlNOL2iolQ https://t.co/fNlbAhh1hT
2017-02-01 01:27:27;latimesopinion;Will Democrats unleash vengeance on Gorsuch, or will they roll over and brand themselves patsies? #SCOTUS https://t.co/dIATvRfkGy
2017-01-31 22:38:19;latimesopinion;RT @latimes: When the GOP stole Merrick Garland’s Supreme Court seat, they set the stage for miserable battle https://t.co/I30rKBMHaS via @…
2017-01-31 19:01:03;latimesopinion;When the GOP stole Merrick Garland’s Supreme Court seat, they set the stage for a miserable battle… https://t.co/1x68092qjJ
2017-01-31 18:29:22;latimesopinion;"RT @greenhousenyt: Powerful piece about one man's horror about President Trump: ""A list I never thought I'd ever have to write."" https://t.…"
2017-01-31 18:01:09;latimesopinion;Mike Feuer: Four — no, make that 5½ — more years https://t.co/8goWxxxLUS https://t.co/j08TzA46JY
2017-01-31 17:01:24;latimesopinion;Trump should focus like a laser on judicial philosophy. https://t.co/MJTXj6bzZW
2017-01-31 16:59:13;latimesopinion;"RT @andresDCmtz: Beware of ""alternative facts"" becoming self-fulfilling prophecies. My take on Trump's assault on Mexico. @latimes https://…"
2017-01-31 16:30:37;latimesopinion;Mexico’s a great neighbor, but we could turn it into a bad one https://t.co/vNKnyxbAut https://t.co/WAEuYCaVgj
2017-01-31 16:05:54;latimesopinion;RT @latimes: Trump is taking the Bannon Way, and it will end in disaster, writes @JonahNRO https://t.co/yTCWUxIOJ5 via @latimesopinion http…
2017-01-31 16:01:29;latimesopinion;Trump is taking the Bannon Way, and it will end in disaster https://t.co/OpINIqHwqq https://t.co/PtZHFo08zF
2017-01-31 15:42:25;latimesopinion;RT @JonahNRO: https://t.co/hNVphf2bmq
2017-01-31 15:33:20;latimesopinion;RT @MaxBoot: Conservatives shld not become apologists for Trump’s excesses if they want to emerge with any dignity or integrity. https://t.…
2017-01-31 15:01:12;latimesopinion;C'mon Trumpists — Obama's shortcomings are no defense for Trump's excesses https://t.co/dlmCsXGCLk https://t.co/eF5XDwIdpw
2017-01-30 22:08:47;latimesopinion;Trump’s decluttering plan: ‘The Life-Changing Magic’ of killing regulations https://t.co/ynlIjA5P4Q https://t.co/uG48Ru8ILv
