timestamp;sn;text
2017-01-31 23:30:07;IngrahamAngle;When Obama used the word “betray,” he called Gitmo a “betrayal of American values.” https://t.co/iaAc1JQB5g
2017-01-31 23:18:48;IngrahamAngle;“Less than a third of those surveyed opposed the temporary ban, and 11 percent were undecided.” https://t.co/W6OcnNucHs
2017-01-31 23:18:18;IngrahamAngle;Commonsense: POLL: Voters back idea of Trump's travel halt for Iraq, Syria, five other Muslim countries https://t.co/W6OcnNucHs
2017-01-31 20:41:35;IngrahamAngle;Bubble wrap Generation: Missing Bobcat Forces DC Schools to Cancel Recess https://t.co/QyIfI5bzj4
2017-01-31 20:32:08;IngrahamAngle;No, Trump's Yates' firing isn't anything like the Nixon's Saturday Night Massacre. https://t.co/1OU3K6NBKq
2017-01-31 19:46:56;IngrahamAngle;RT @SeanTrende: People are making the same mistake they made in the primaries and the general. Trump's order not terribly unpopular. https:…
2017-01-31 19:43:14;IngrahamAngle;RT @LifeZette: Former U.S. attorney warns State and Justice Departments are 'cesspools' of 'anti-Trumpism' https://t.co/eFJqA87KVO
2017-01-31 17:15:02;IngrahamAngle;"Great to hear from Gen. Kelly Sec of DHS &amp; his team on the implementation of the temp. visa &amp; refugee policies."
2017-01-31 17:12:13;IngrahamAngle;Liberals Sowing Chaos, Making Obama Happy: Dems boycott confirma hearings for Price and Mnuchin, blocking votes https://t.co/usPkTF7wWw
2017-01-31 17:00:16;IngrahamAngle;Why is Trump’s Temp Travel Ban Authorized? Read sub-section (f)  8 U.S. Code § 1182  (Inadmissible aliens) https://t.co/yQehAeEgU4
2017-01-31 15:57:54;IngrahamAngle;"On radio, Joe DiGenova: ""Sally Yates was a well-known political hack,"" was anti-Trump &amp; shd never have been appointed Acting AG."
2017-01-31 15:25:12;IngrahamAngle;The 1st Annual Fake News Award Winners via @LifeZette https://t.co/BnvfdXo5fs
2017-01-31 12:42:16;IngrahamAngle;Heartless! Trump admin to allow 872 refugees into U.S. this week.  https://t.co/4xpn3Qk4Y5
2017-01-31 04:36:42;IngrahamAngle;"""If she didn't resign, she had to be fired."" -- George Terwilliger, Former Dep AG for George H.W. Bush."
2017-01-31 04:17:40;IngrahamAngle;"Now @CNN has playwrights on to do political &amp; const'l analysis. 87 percent of the world's Muslims are unaffected by the travel ban."
2017-01-31 04:15:25;IngrahamAngle;"Dems &amp; media, not @realDonaldTrump, are sowing chaos &amp; confusion in gov't by delaying confirmations across Exec Branch."
2017-01-31 04:13:17;IngrahamAngle;"Now @CNNPolitics @donlemon is asking guests, ""Is this a constitutional crisis?"" You have got to be kidding me. Read 8 U.S.C. Sec. 1182(f)."
2017-01-31 03:38:14;IngrahamAngle;Ignore the hyperventilating, hyperbolic, highly uninformed commentariat. Go right to American ppl to explain your actions.
2017-01-31 03:34:51;IngrahamAngle;Did @billclinton meet Acting AG Yates on a Tarmac recently?
2017-01-31 03:34:11;IngrahamAngle;Would like to know who advised former Acting AG Yates to refuse to enforce @POTUS Exec Order. Inquiring minds. @realDonaldTrump
2017-01-31 03:07:12;IngrahamAngle;No, but he does have U.S. statutory and Constitutional law on his side. https://t.co/7nZPwgdyUs
2017-01-31 03:05:57;IngrahamAngle;Maybe 5 percent of the ppl on TV tonight have ANY clue abt what the role of the AG is, why Yates had to be fired.
2017-01-31 03:03:05;IngrahamAngle;Watching @MSNBC tonight for a few sec's is thoroughly delightful. Sputtering. Paranoid.
2017-01-31 02:56:45;IngrahamAngle;All Cabinet members shd beware Obama Admin holdovers--but esp @SenatorSessions at DOJ.
2017-01-31 02:53:11;IngrahamAngle;Now @realDonaldTrump shd fire whoever is supposed to update the DOJ Website  https://t.co/df8U2lUh2A
2017-01-31 02:47:05;IngrahamAngle;Hilarious to listen to people in media totally botch the analysis  of the firing of the Acting AG.
2017-01-31 02:42:10;IngrahamAngle;Monday Night Massacre. #YoureFired
2017-01-31 02:26:17;IngrahamAngle;"""You're fired."" Exactly what Acting AG deserved and probably wanted. She left @realDonaldTrump no choice."
2017-01-31 01:40:40;IngrahamAngle;Acting AG Yates is acting out. There is neither a statutory nor Const'l prohib ag @realDonaldTrump Exec Order.  And she knows it.
2017-01-31 01:15:40;IngrahamAngle;Dems delaying agency head confirmations only to sow chaos. The @USTradeRep office stands empty. Much work to do on trade!
2017-01-31 01:14:08;IngrahamAngle;RT @ByronYork: Sessions will be voted out of Judiciary Committee tomorrow, confirmation by full Senate Thursday or Friday...
2017-01-31 01:08:54;IngrahamAngle;"Trump Can &amp; Shd Overrule: Obama Holdover &amp; Acting AG Orders Justice Dept. Not to Defend Refugee Ban https://t.co/xClJoYPQQE"
