timestamp;sn;text
2017-01-30 12:29:42;LSherABC;Where the Trump Executive Order Stands and What Happens Next https://t.co/KzfcZdOgBe
2017-01-20 15:09:35;LSherABC;Melania Trump's Inaugural Outfit Channels Jackie Kennedy Onassis https://t.co/DUDZn46VeC
2017-01-19 15:05:59;LSherABC;"RT @GMA: TOMORROW: Nonstop coverage of the #Inauguration of Donald J. Trump, starting at 7am on @GMA &amp; all-day on https://t.co/awrxcnMw7Y.…"
2017-01-12 18:49:33;LSherABC;ICYMI -- The emotional moment identical twins, separated at birth and adopted by different families, reunite… https://t.co/77d3TIxxXq
2017-01-12 14:21:14;LSherABC;Snow much fun https://t.co/h4CB7iyFut
2017-01-10 12:22:25;LSherABC;What to expect from President Obama's farewell speech tonight https://t.co/wfUr6BnNRx
2016-12-13 22:57:43;LSherABC;Hospital Cafeteria Worker Saves Thousands of Dollars to Buy Toys for Kids at Christmas https://t.co/CUaInXVyUZ https://t.co/7vkzTjcYzz
2016-11-25 16:01:22;LSherABC;"A family affair for #Moana--&gt; @Lin_Manuel's son has been by his side through the creative process https://t.co/o806s4Imes via @GMA"
2016-11-17 14:35:59;LSherABC;+ @luskin626 https://t.co/ZpW9OYmZm1
2016-11-16 22:03:21;LSherABC;Why Trump's Appointment of Steve Bannon Has Raised So Many Alarms https://t.co/ZD7qtn0oGh
2016-11-16 15:12:37;LSherABC;"Mom Draws Napkin Art of Strong Women to Inspire Her Daughter
https://t.co/uZg9QObb4s (via @ElizaWMurphy) https://t.co/qImDB2aqHS"
2016-11-09 20:28:11;LSherABC;A brother of the bride channeled @Lin_Manuel for @HamiltonMusical-inspired toast at his sister’s wedding… https://t.co/6dSjp7YpER
2016-11-09 17:16:04;LSherABC;"RT @ABC: Hillary Clinton publicly concedes to Donald Trump: ""Never stop believing that fighting for what's right is worth it"" https://t.co/…"
2016-11-09 14:15:47;LSherABC;"""The nation is awake now. And it’s about to face one of its biggest tests in decades"" - @rickklein's analysis https://t.co/S7TDiFbTzf"
2016-11-08 14:47:39;LSherABC;It's #ElectionDay! Your 10 Storylines to Watch https://t.co/tRPlVvdiiK
