timestamp;sn;text
2017-01-31 20:37:24;LinkedIn;Using LinkedIn data, we found out what happens to NFL players after they hang up their cleats. Learn more:… https://t.co/ehdArT90PI
2017-01-31 17:14:37;LinkedIn;Learn directly from LinkedIn CEO @jeffweiner with latest @LI_Learning course. Available now — for free: https://t.co/vtLBd5YVBT
2017-01-31 16:15:10;LinkedIn;Top headlines for Tuesday, January 31, 2017: https://t.co/XgpqH8Jy0P #DailyRundown
2017-01-30 18:10:00;LinkedIn;"Looking to mix senses and skills? Check out @absolutvodka's job listing on LinkedIn to be a ""billion dollar nose"": https://t.co/xbrITpnFTd"
2017-01-30 16:29:37;LinkedIn;Top headlines for Monday, January 30, 2017: https://t.co/tUl0nkEyaF #DailyRundown
2017-01-29 20:39:51;LinkedIn;Let’s lead with opportunity and support those looking to make a better life in a new country. https://t.co/qUxdtb2cuK
2017-01-29 18:05:00;LinkedIn;Turn those meeting slides from bland to grand with this @LI_Learning course on PowerPoint animation: https://t.co/Ec6Mc3m4pH #StartSomething
2017-01-28 18:15:00;LinkedIn;By thinking of public speaking as acting, @andymolinsky learned how to turn fear into fun: https://t.co/WUAQ5tPgAB #WeekendEssay
2017-01-27 18:06:09;LinkedIn;Start boosting your productivity with these tips for using the new LinkedIn desktop design: https://t.co/yi9OsD3oSJ… https://t.co/wS4QjgH4ey
2017-01-27 17:23:00;LinkedIn;Top headlines for Friday, January 27, 2017: https://t.co/No36oB51jw #DailyRundown
2017-01-27 17:22:30;LinkedIn;"Why sticking to the ""2 pizza rule"" can help foster a strong company culture: https://t.co/arNWkm0hPV #StartSomething"
2017-01-26 17:34:24;LinkedIn;"""To all the new managers out there, you shouldn’t try to do it alone."" LinkedIn's @wadors shares: https://t.co/1snkGnM6tR #StartSomething"
2017-01-26 16:18:20;LinkedIn;Top headlines for Thursday, January 26, 2017: https://t.co/K0MT4vdhsG  #DailyRundown
2017-01-25 17:05:00;LinkedIn;Tips on what’s changed and how you can make the most of it: https://t.co/AcHmWPOvux
2017-01-25 16:34:24;LinkedIn;Top headlines for Wednesday, January 25, 2017: https://t.co/c3HpSWC4ah #DailyRundown
2017-01-25 08:05:00;LinkedIn;Buzzwords can make the best of us sound bland. Make your profile stand out.  https://t.co/U3udNIoq0l #StartSomething
2017-01-24 17:04:49;LinkedIn;Find what you need using the new LinkedIn search. Check out our latest tips: https://t.co/z9YIwojuSz
2017-01-24 16:52:21;LinkedIn;Top headlines for Tuesday, January 24, 2017: https://t.co/jKNZyCvR07 #DailyRundown
2017-01-23 17:16:44;LinkedIn;"""What I could control was my attitude towards my future."" https://t.co/uMPwISXwmd #StartSomething #MondayMotivation"
2017-01-23 16:34:00;LinkedIn;Top headlines for Monday, January 23, 2017: https://t.co/MseCMp7yxn  #DailyRundown
2017-01-22 19:05:00;LinkedIn;Unlock your inner maestro with this @LI_Learning piano course — it's never too late to get started: https://t.co/OqpcFyDpqd #StartSomething
2017-01-21 18:03:00;LinkedIn;"""We’ve been socialized on what leadership looks like: strong, certain, confident... male."" @SallieKrawcheck shares: https://t.co/TJtuexEyvg"
2017-01-20 21:18:27;LinkedIn;Using LinkedIn data, we put together a list of the most promising jobs of 2017. Learn more: https://t.co/fY8iqrx6Pf
2017-01-20 16:37:46;LinkedIn;Top headlines for Friday, January 20, 2017: https://t.co/cyK566lvax #DailyRundown
2017-01-19 16:54:34;LinkedIn;Top headlines for Thursday, January 19, 2017: https://t.co/ggf7DMQi6K #DailyRundown
2017-01-19 16:30:52;LinkedIn;We have a new look! Our desktop redesign connects you to people and information that matter most: https://t.co/xgXEgPmsKK #StartSomething
2017-01-18 21:40:24;LinkedIn;Our CEO @jeffweiner's first @LI_Learning course is free to all learners: https://t.co/uo7b8HvizU
2017-01-18 17:15:00;LinkedIn;Everything that makes you great — makes you a great mentor. Learn how you can get involved: https://t.co/wL9YhVnjhD #StartSomething
2017-01-18 16:21:29;LinkedIn;Top headlines for Wednesday, January 18, 2017: https://t.co/TzQbdCvrMJ #DailyRundown
2017-01-17 17:08:00;LinkedIn;Don't be afraid to push your career in unexpected directions: https://t.co/0jGZky0urB #StartSomething
2017-01-17 16:08:27;LinkedIn;Top headlines for Tuesday, January 17, 2017: https://t.co/gstcGpAQDP #DailyRundown
2017-01-16 18:08:00;LinkedIn;True change is driven by intention: https://t.co/rbXmmXB6AB #StartSomething
2017-01-15 18:05:00;LinkedIn;Whether it's a new job or a lifelong journey, get the basics with this @LI_Learning course: https://t.co/TrxvV6iElw #StartSomething
2017-01-14 19:00:31;LinkedIn;Learn why there can be a certain magic in the messy. https://t.co/gTLPRBEMEF #WeekendEssay
2017-01-13 17:02:55;LinkedIn;To succeed at innovation — keep things simple: https://t.co/qh4uJjWSmx #StartSomething
2017-01-13 16:09:04;LinkedIn;Top headlines for Friday, January 13, 2017: https://t.co/Xvv2pAuSSr #DailyRundown
2017-01-12 19:35:27;LinkedIn;Top headlines for Thursday, January 12, 2017: https://t.co/Z3sm9LGYq2 #DailyRundown
2017-01-12 18:00:45;LinkedIn;An intelligent risk pays off. How LinkedIn created a strong sense of belonging: https://t.co/jNiXTjPvc4 #StartSomething
2017-01-11 17:23:00;LinkedIn;Diverse workforces are more engaged. Tips to creating a true sense of belonging: https://t.co/HF1DNGAtha #StartSomething
2017-01-11 16:40:27;LinkedIn;Top headlines for Wednesday, January 11, 2017: https://t.co/P28nNGlWLz #DailyRundown
2017-01-10 17:08:00;LinkedIn;New LinkedIn Salary data reveals the 20 highest paying jobs in the U.S. https://t.co/NmZl83c0z7 #StartSomething
2017-01-10 16:21:43;LinkedIn;Top headlines for Tuesday, January 10, 2017: https://t.co/ghcz1xpSXm #DailyRundown
2017-01-09 18:01:51;LinkedIn;Transforming the belief of “needing” to learn to “wanting” to learn. https://t.co/Eg8ZwJkwE2 #StartSomething #MondayMotivation
2017-01-09 16:19:53;LinkedIn;Top headlines for Monday, January 9, 2017: https://t.co/6Nw1KaUWwU #DailyRundown
