timestamp;sn;text
2017-01-31 13:36:52;madeleine;Chaos is not a governing tool. Trump's Muslim ban puts America's security at risk. #NoBanNoWall https://t.co/K1ZXuGhZ90
2017-01-29 17:41:45;madeleine;RT @theIRC: The new president has turned his back on refugees, but the IRC never will. Support our work today: https://t.co/ZyMDIseTUy http…
2017-01-25 18:18:53;madeleine;"I was raised Catholic, became Episcopalian &amp; found out later my family was Jewish. I stand ready to register as Muslim in #solidarity."
2017-01-25 18:18:22;madeleine;"There is no fine print on the Statue of Liberty. America must remain open to people of all faiths &amp; backgrounds.… https://t.co/pKiSaPouGw"
2017-01-20 15:16:40;madeleine;Spending today at @Wellesley, surrounded by @AlbrightInst Fellows. These young women are our future - and it is bri… https://t.co/E40PfxMAZy
2017-01-06 18:08:42;madeleine;"40 yrs ago, #charta77 leaders petitioned for human rights in Czechoslovakia. Today we must summon their courage &amp; defend democracy worldwide"
2016-12-08 20:12:05;madeleine;RT @WFPUSA: We are at the inaugural Samuel R. Berger Lecture with @madeleine Albright. Please follow us this afternoon for the conversation…
2016-11-30 19:59:54;madeleine;It's time for a new strategic approach in the Middle East. #ACMEST https://t.co/rey6GjDP59
2016-11-30 01:03:21;madeleine;Honored to share the stage tonight with my friend @SenJohnMcCain in support of @NDI and @IRIglobal. Democracy must be a bipartisan effort.
2016-11-29 21:52:00;madeleine;"RT @NDI: In just a few hours, @NDI &amp; @IRIglobal will be celebrating the 2016 Democracy Dinner! Follow along using #DemocracyisBipartisan #d…"
2016-11-09 17:26:26;madeleine;America must move forward, but we cannot let our voices be silenced along the way. We truly are #StrongerTogether. https://t.co/W5NC6ssYEX
2016-11-07 20:50:06;madeleine;"We've made many calls &amp; knocked on lots of doors, but tomorrow is the big day! Let's #GOTV for @HillaryClinton!… https://t.co/MGpd3XTqVM"
2016-11-05 23:32:53;madeleine;"Backstage w/@KatieMcGintyPA working on my ""ROAR"" for tonight's @HillaryforPA rally with @katyperry... #imwithher… https://t.co/LkEALAnKe1"
2016-11-05 14:22:48;madeleine;Fantastic turnout here in NH! I know the Granite State will smash through the glass ceiling on Nov 8th! #ImWithHer… https://t.co/TWPcJVdYKW
2016-11-05 02:20:36;madeleine;RT @BostonGlobe: LIVE on #Periscope: Live with @Madeleine and @JamesPindell at #mfaNOW #mapoli #nhpoli https://t.co/gavCU6kxzJ
2016-11-03 13:03:50;madeleine;Russia's hacking has exposed a global threat to democracy. Here's how we fight back:  https://t.co/7DB4oEoEmZ via @USATODAY
2016-10-26 17:35:09;madeleine;And hopefully this one too! #SamanthaBee https://t.co/756hFVTg2o
2016-10-25 02:01:36;madeleine;"@RAMESHFERRIS, I am inspired by your determination, and your fight to #endpolio once &amp; for all. #WorldPolioDay"
2016-10-22 21:30:53;madeleine;A treat to visit the Sunshine State in late October - especially when I get to spend the wkend stumping for… https://t.co/odjKnEbxa4
2016-10-22 02:13:29;madeleine;Pleased to display some of my pins at #DiplomacyXDesign. Definitely the most fashionable tools in my diplomatic too… https://t.co/RFtM49KZyy
2016-10-21 02:16:33;madeleine;RT @KatieMcGintyPA: .@madeleine Albright knows Katie will put the safety and security of all Americans first in the Senate: https://t.co/5N…
2016-10-20 00:35:26;madeleine;RT @HillaryClinton: When there are no ceilings, the sky's the limit. https://t.co/u72wraOmhX https://t.co/a5BnlRg0sF
2016-10-19 22:21:06;madeleine;RT @HillaryforIA: Join @madeleine Albright in Des Moines tonight as we cheer on another former Secretary of State during the debate: https:…
2016-10-19 14:34:33;madeleine;Looking forward to visiting Dubuque again. Let's have lunch and talk about why we support @HillaryClinton.… https://t.co/EpTLc2CRjH
2016-10-18 23:37:51;madeleine;RT @zbig: Temper tantrums and ambiguous statements about US role in the world is not how a potential leader of the world's strongest countr…
2016-10-18 19:36:14;madeleine;"RT @HillaryforMN: ""I met a little boy who said he thought only women could be Secretary of State—@Madeleine, Rice, and @HillaryClinton."" —S…"
2016-10-18 19:34:20;madeleine;"RT @HillaryforMN: ""Words do matter, and our peaceful transfer of power sets an example for the rest of the world."" —@BettyMcCollum04

#Stro…"
2016-10-18 19:25:53;madeleine;"RT @HillaryforMN: ""Voting is the most important privilege—and responsibility—of American citizenship."" —@Madeleine 

#ImWithHer https://t.c…"
2016-10-17 15:58:34;madeleine;"On the trail again today in Columbus &amp; Dayton. Great stops in Cleveland, Warren &amp; Akron too. Buckeye state is sayin… https://t.co/G92mHwmsmj"
2016-10-15 22:14:17;madeleine;".@HillaryforPA Fantastic day! Field offices in Philly, Harrisburg &amp; Johnstown were filled to the rafters. Know PA w… https://t.co/6askoZzBXD"
2016-10-14 17:31:59;madeleine;"Great day on the campaign trail here in Michigan. @HillaryforMI is organized, fired up &amp; ready to go! #MISheCan… https://t.co/SzMuQKxjiY"
2016-10-12 23:19:24;madeleine;@FO_Stephen Actually I am headed over to the #Boulder office to help out with their phone bank tonight! Hope to seeya there! @HillaryforCO
2016-10-12 22:46:59;madeleine;"I love talking w/voters on the campaign trail &amp; today is extra special. Met w/truly great group of young women at… https://t.co/rNuz31lzPm"
2016-10-12 20:58:45;madeleine;RT @FullFrontalSamB: Our extra special new episode featuring Madeleine Albright will air on October 24th instead! Talk about an #OctoberSur…
2016-10-10 23:06:14;madeleine;RT @FullFrontalSamB: Tonight, women grab back. Tune into TBS at 10:30/9:30c. https://t.co/uurcd99yQO
2016-10-06 18:55:28;madeleine;"@UN As I said when he received @NDI's #DemocracyAward, António Guterres lives up to the ideals &amp; values we celebrate https://t.co/ZYbupCBj0C"
2016-10-05 21:44:36;madeleine;RT @SenGillibrand: Honored to join such an inspiring group of women in support of @HillaryClinton at @DNCWomen's #WomensLeadershipForum eve…
2016-10-05 20:43:12;madeleine;"Honored to join @nedemocracy to celebrate 80th birthday of my hero &amp; friend Vaclav Havel. The world misses him &amp; his clear moral leadership."
2016-09-27 02:39:59;madeleine;.@timkaine That's what we @Wellesley girls do! And it's so clear @HillaryClinton is the only candidate prepared to be president #debatenight
2016-09-22 22:36:33;madeleine;Looking forward to #PoliticsOnTap. But is it ok if I have a glass of wine instead @ChrisCuomo? I'm the rare Czech w… https://t.co/2IOBY5vhen
2016-09-20 23:04:47;madeleine;"RT @WhiteHouse: ""Refugees can make us stronger."" —@POTUS 

Read their stories: https://t.co/sSzQ6DLn8i #RefugeesWelcome #UNGA"
2016-09-20 02:10:39;madeleine;@DonaldJTrumpJr And what if 1 could become a Sec of State? America is the land of opportunity - not fear. #RefugeesWelcome #StrongerTogether
2016-09-19 17:14:04;madeleine;"The world is looking for America to lead on the refugee crisis. @Dmiliband &amp; I on why we must act &amp; what we must do: https://t.co/uJOih4YfhQ"
2016-09-19 12:45:49;madeleine;"Advancing global prosperity requires the inclusion of all - especially girls &amp; women 👭. We'll discuss at #CGI2016 → https://t.co/y3VcXhepHe"
2016-09-18 20:01:22;madeleine;"RT @theIRC: Starting now: discussion between resettled refugees in the US (from Iraq, Bhutan &amp; Guatemala) and @TheElders. https://t.co/WDCe…"
2016-09-14 15:54:07;madeleine;Celebrating Constitution Day early in the best way, by welcoming our newest citizens at @USNatArchives. Congratulations #newUScitizens!
2016-09-08 16:23:30;madeleine;@SirPatStew @StarTrek And you Sir, are still hands-down my favorite Captain! #StarTrek50
2016-09-08 14:10:30;madeleine;"Congratulations on 50 years @StarTrek! May you live even longer &amp; continue to prosper. #StarTrek50 #🖖 https://t.co/eL18oGPrK0"
2016-09-01 00:43:29;madeleine;"Living up to my Twitter bio &amp; drumming up support for @HillaryClinton tonight with @EStreetMax!#StrongerTogether https://t.co/WNZoR3RMQf"
2016-08-18 15:47:51;madeleine;I've often said that American dogs are treated better than many refugees. We must do more to help. #refugeeswelcome  https://t.co/zv9ulIAxGZ
2016-08-15 15:49:42;madeleine;"@SenatorWexton Glad to join you all in supporting Kelly Burk, a great &amp; trusted leader for #Leesburg."
2016-07-28 23:25:11;madeleine;After tonight, this pin will be the only piece of glass ceiling left at  #DNCinPHL! #tweetmypins #ImWithHer https://t.co/sm5UUQiVw4
2016-07-28 18:59:51;madeleine;".@ChrisCoons thanks so much for coming. All benefited from ur unique insights &amp; strong commitment to international affairs. @NDI #ILF2016"
2016-07-27 03:51:49;madeleine;Truly honored to take the stage in support of the next President of the United States, @HillaryClinton. #DNCinPHL #StrongerTogether
2016-07-26 15:09:48;madeleine;Great speaking to #DNCinPHL Dem Women's Caucus. There's nothing we can't do when we work together #StrongerTogether https://t.co/mp7oyI3O0N
2016-07-25 23:58:19;madeleine;RT @NDI: And so it begins! #ILF2016 @DemConvention #DemsinPhilly https://t.co/ScAxDCHAWA
2016-07-23 01:52:50;madeleine;".@timkaine is a man of strong values, deep intellect &amp; much experience. As VP, he will be a great governing partner. #ClintonKaine2016"
2016-07-22 19:45:21;madeleine;@SHO_TheCircus @JohnKerry I can confirm this did happen. But no clandestine VP meetings have taken place at my house this cycle!
2016-07-16 02:07:45;madeleine;"Deeply concerned by events in #Turkey. I join @POTUS in urging all parties to support democratic govt, peace &amp; free flow of information."
2016-07-10 14:54:23;madeleine;Congratulations to @jensstoltenberg on a unifying and forward-looking #NATOSummit in Warsaw. https://t.co/7nwQvxITGO
2016-07-07 23:33:59;madeleine;"Nadia Savchenko withstood Russian prison &amp; truly understands freedom. Honored to meet a real heroine at #NATOSummit https://t.co/1Gbdoz5fAi"
2016-07-03 00:42:56;madeleine;Elie Wiesel taught us never to be silent wherever and whenever there is suffering. May his memory, like his life, be a blessing to us all.
2016-06-29 16:08:57;madeleine;RT @CAPAction: The National Security Leadership Alliance is a group dedicated to national security policy rooted in American values https:/…
2016-06-29 02:09:06;madeleine;Backstage with @DMiliband. Thanks for hosting us tonight @92Y. #RefugeesWelcome https://t.co/TofCAqojcw
2016-06-21 20:22:53;madeleine;RT @trumanscholars: What a panel of Truman Scholars! Congrats on your 40th Anniversary @TrumanApp! https://t.co/8tpyar3jne
2016-06-21 12:19:25;madeleine;"RT @AspenInstitute: Joschka Fischer, born in a refugee family, emphasizes we should provide opportunities for refugees. @AspenStrategy
http…"
2016-06-21 12:19:21;madeleine;"RT @AspenInstitute: ""Standing #WithRefugees is investing in the future…they will return as architects, engineers..."" -George Papandreou
htt…"
2016-06-20 16:25:34;madeleine;"RT @USUN: On #WorldRefugeeDay, watch @Madeleine tell her family's story of seeking refuge in the US. #RefugeesWelcome
https://t.co/hVwQ1ynz…"
2016-06-20 14:08:14;madeleine;Refugees and immigrants help make America great. They are not our enemies. https://t.co/AlE2iR1bx4 #WorldRefugeeDay #RefugeesWelcome
2016-06-08 18:36:30;madeleine;Yesterday, history was made. Congratulations @hillaryclinton! #StrongerTogether #ImWither https://t.co/0kOt1Vf2AO
2016-06-07 20:46:57;madeleine;"6/7/1949 my family was granted asylum here. Ever since, I've been proud &amp; grateful US citizen. Others deserve same chance. #RefugeesWelcome"
2016-06-06 17:59:23;madeleine;".@womenwinning Thx for the beautiful pin - &amp; all your amazing work to elect women in MN! #wwVictory16 #tweetmypins https://t.co/t8fTZedbzR"
2016-06-05 00:11:48;madeleine;"So honored to deliver #DUgrad2016 commencement today. My father would be very proud of what @UofDenver &amp; @josefkorbel school have become."
2016-06-04 18:22:41;madeleine;"RT @UofDenver: ""Prague and Denver are two of the world's greatest cities"" @madeleine #DUGrad16"
2016-06-03 03:05:42;madeleine;.@realDonaldTrump would flunk my class on decision-making in foreign policy. The commander-in-chief test is even tougher. No way he can pass
2016-05-31 21:18:47;madeleine;"Congratulations on your #NCAAD3 victory @WellesleyCrew! ""Wellesley Rah!""  https://t.co/5YlFWhyVm8"
2016-05-26 16:45:21;madeleine;".@JenRicher thx for the shoutout yesterday(H/T Amelia, Katie &amp; Wilson). Could you write a foreign policy edition of #CantBeatKelly?"
2016-05-25 13:42:40;madeleine;Honored to deliver @Kennedy_School commencement address today. Spoiler: There will be JFK quotes. #HKS16 Livestream: https://t.co/X7DIBV0My5
2016-05-18 19:50:53;madeleine;.@amyklobuchar, thanks so much for keynoting #NDIMKA. You are a perfect example of how women can get the job done! https://t.co/h9bvCfgbo5
2016-05-18 18:50:21;madeleine;RT @NDI: Learn more about @reactormkd’s work for gender equality in #Macedonia in this short film: https://t.co/IuJiOfiC51 #NDIMKA
2016-05-18 16:50:50;madeleine;RT @NDI: The 2016 Madeleine K. Albright Luncheon is beginning soon! Follow along as we celebrate @reactormkd and women’s leadership. #NDIMKA
2016-05-15 04:11:08;madeleine;"Congratulations to the @scrippscollege class of 2016! I wish you all success as you continue to learn, grow &amp; bring about positive change!"
2016-05-14 23:40:41;madeleine;.@scrippscollege It was wonderful to speak w/some of the Scripps community this morning. Now on to the ceremony! https://t.co/GcYXTe8Obc
2016-05-10 14:59:12;madeleine;RT @AtlanticCouncil: The Atlantic Council today released an open letter on #BremainVsBrexit signed by 13 former #US leaders →  https://t.co…
2016-05-05 14:16:04;madeleine;"So great to see @kerrywashington at #whcd last wkend. Hope we didn't cause a ""#Scandal!"" #TGIT #girlpower https://t.co/pRZW9lXa2T"
2016-05-03 17:57:35;madeleine;".@CARE I was so honored to speak at #CNC16. CARE truly embodies America’s values &amp; America’s spirit - your work is absolutely vital."
2016-04-27 22:02:04;madeleine;The so-called #TrumpDoctrine is simply bellicose rhetoric strung together with contradictory statements. Bluster is no strategy, Mr. Trump.
2016-04-27 22:00:14;madeleine;Trump’s proposals to ban Muslims and deport immigrants would undermine America’s greatest strengths: diversity and tolerance.
2016-04-27 21:57:51;madeleine;"Trump's newest slogan is ""America First,"" recalling the self-defeating isolationism of the 1930s."
2016-04-27 21:53:00;madeleine;Trump’s views on torture are completely out of sync with recommendations by military leaders and America’s values.
2016-04-27 21:51:23;madeleine;Trump praises Western values, then questions why we should support democracy in other countries.
2016-04-27 21:50:24;madeleine;Trump’s understanding of trade policy is simplistic at best, and would have disastrous effects on our economy.
2016-04-27 21:49:44;madeleine;Trump preaches unpredictability as a policy, then asks us to trust him with the nuclear codes.
2016-04-27 21:48:47;madeleine;Trump speaks about regaining the trust of our allies, but then threatens to pull out of NATO.
2016-04-27 21:47:32;madeleine;Trump demonstrates no real understanding of complex international issues and has no serious proposals for how to address them.
2016-04-27 21:46:27;madeleine;So I thought I'd respond using his favorite method of communication and tackle some of the #TrumpDoctrine's biggest flaws head on.
2016-04-27 21:45:58;madeleine;Today, @realDonaldTrump tried out a foreign policy speech - something I have experience with.
2016-04-20 20:18:47;madeleine;.@USTreasury Three (or 20?) cheers for Harriet Tubman! A true American #shero!
2016-04-18 15:03:00;madeleine;Honored to receive Transatlantic Award at #GLOBSEC2016 - a great forum. Proud to see progress Slovakia has made. https://t.co/LNgrf99bGr
2016-04-16 16:23:28;madeleine;RT @Pontifex: Refugees are not numbers, they are people who have faces, names, stories, and need to be treated as such.
