timestamp;sn;text
2017-01-31 15:18:38;MarlonDMarshall;RT @KLewis44: Frm Pres @BarackObama is heartened by the level of engagement taking place in communities around the country. https://t.co/X5…
2017-01-31 15:03:27;MarlonDMarshall;RT @ValerieJarrett: Great reminder @PAniskoff.  Best gift you could give yourself and your family.  #getcovered https://t.co/rkTmZVYxkq
2017-01-29 20:53:01;MarlonDMarshall;RT @ACLU: On week one, Donald Trump suffered his first loss in court.
2017-01-29 20:52:57;MarlonDMarshall;RT @stacymberger: Love, not hate. That's what makes America great. #NoMuslimBan #resist https://t.co/VICwnK8FFQ
2017-01-29 19:41:54;MarlonDMarshall;RT @SteveKornacki: Lyft says it is donating $1 million to the ACLU in protest of Trump's refugee order https://t.co/x6qbDu699W
2017-01-29 19:39:20;MarlonDMarshall;RT @kerrywashington: Exactly. #NoBanNoWall https://t.co/QQb6PF47Ku
2017-01-29 16:26:51;MarlonDMarshall;RT @ValerieJarrett: Well said. https://t.co/sH8QfnDlW5
2017-01-29 01:32:09;MarlonDMarshall;RT @jeremybird: 2015 Mike Pence should stand up to 2017 Mike Pence https://t.co/ZMzBG3chOa
2017-01-28 21:01:37;MarlonDMarshall;RT @jonfavs: Trump could've given a speech about how this wasn't targeted at Muslims. He didn't want to. They want the chaos, fear, and out…
2017-01-28 20:57:14;MarlonDMarshall;RT @lorellapraeli: Silence is complicity. And we will remember. #RefugeesWelcome https://t.co/uXBEn4sQZ6
2017-01-28 17:20:46;MarlonDMarshall;"RT @kylegriffin1: This is worth a read— Malala Yousafzai's statement on Trump's Exec. Order on refugees: ""I am heartbroken."" https://t.co/O…"
2017-01-28 17:03:41;MarlonDMarshall;RT @PaulBegala: Amazing tweetstorm from @peterdaou. Firsthand account of his life as a refugee. Please read. https://t.co/WiUmgYfDQ9
2017-01-28 17:02:26;MarlonDMarshall;RT @EJDionne: Thanks, @repjimcooper. Can anyone call himself or herself a patriot and support this? https://t.co/Ks4s3ZRrZl
2017-01-28 16:56:25;MarlonDMarshall;RT @clairecmc: This makes me want to throw up. https://t.co/R7Gf9Yc5Js
2017-01-26 02:52:01;MarlonDMarshall;RT @Bakari_Sellers: This... https://t.co/urpRDSSxIa
2017-01-23 15:09:56;MarlonDMarshall;RT @loril: For #MuteMonday, unfollow @POTUS and @realDonaldTrump and follow @UNITEDWEDREAM and @Dreamdefenders because love will always tru…
2017-01-16 13:13:09;MarlonDMarshall;RT @Bakari_Sellers: The problem with #MLKday2017 is that by Tuesday people forget his words and mission. Let's carry him in our hearts 365.
