timestamp;sn;text
2017-02-01 03:43:23;MichelleWKwan;"RT @SkatingLesson: The amazing @michellewkwan in her @mkblades 

#figureskating #iceskating #lesmiserables #lesmis… https://t.co/Pb13xBqYHC"
2017-01-31 04:01:13;MichelleWKwan;"Friends unite - epic 4 hour lunch 🍴#dinnertime 
jeffskoll @musical_wheels @AmySmart26… https://t.co/ecAcCgSL7q"
2017-01-31 02:04:54;MichelleWKwan;"RT @allinoleary: ""I was cleaning out my house &amp; I know you love @MichelleWKwan"" I've trained my colleagues so well! #hmmsma #15years https:…"
2017-01-29 05:19:23;MichelleWKwan;"RT @HillaryClinton: I stand with the people gathered across the country tonight defending our values &amp; our Constitution. This is not who we…"
2017-01-26 15:18:00;MichelleWKwan;RT @hellogiggles: Your fave figure skater from childhood @MichelleWKwan is a gorgeous yogi goddess now https://t.co/Mhnrgv0KXI https://t.co…
2017-01-24 09:02:54;MichelleWKwan;.@SpecialOlympics youth circle talking about the importance of inclusion and acceptance #abudhabi2019 https://t.co/1r5Z9JPvYF
2017-01-23 15:42:46;MichelleWKwan;I'm in Abu Dhabi and my friends here think that the USA should consider having their own Ministry of Happiness! 🤗https://t.co/Wg4r3yIlxW
2017-01-20 15:59:17;MichelleWKwan;"RT @HillaryClinton: I'm here today to honor our democracy &amp; its enduring values. I will never stop believing in our country &amp; its future. #…"
2017-01-18 18:13:09;MichelleWKwan;RT @sarahsophief: 25 helpful things you can do to support the #WomensMarch on Washington from home. #WhyIMarch https://t.co/PfNbV4R8Zt
2017-01-17 22:56:47;MichelleWKwan;Some of the best moments in my career at 🇺🇸Nationals. Sending good vibes and lots of luck to all the competitors th… https://t.co/KVXqOD1CsI
2017-01-17 21:52:46;MichelleWKwan;"""Women, if the soul of the nation is to be saved, I believe you must become its soul"" -- Coretta Scott King… https://t.co/kC935uuNgM"
2017-01-16 02:59:02;MichelleWKwan;.@HopeLudvigsen - unfortunately, I won't be at the US Nationals this year but maybe I'll see you next year 😉
2017-01-15 17:06:44;MichelleWKwan;RT @Oliverdirtyb: Sometimes I think about how @MichelleWKwan would skate around the office and it makes me happy.
2017-01-12 02:27:51;MichelleWKwan;Wishing I was a bird of paradise tonight but I guess this will do. #needyoga https://t.co/ZseoNPPREo
2017-01-10 22:12:22;MichelleWKwan;"#ThanksObama - truly an honor to serve as a member on @FitnessGov &amp; advisor/envoy at @StateDept under the leadershi… https://t.co/CJOtZvo0AG"
2017-01-10 21:59:38;MichelleWKwan;RT @kwanette: 19 years ago tonight this happened @MichelleWKwan #musicoftheangels #wingitpose @Grant_Hochstein this 1 is for you.  https://…
2017-01-10 01:12:58;MichelleWKwan;.@Ann_OLeary -- coming out of the abyss too! Miss you 😘
2017-01-09 04:25:23;MichelleWKwan;RT @goldenglobes: At tonight's #GoldenGlobes we honor Hollywood legend Meryl Streep with the prestigious Cecil B. Demille Award. https://t.…
