timestamp;sn;text
2017-02-01 04:40:09;MilitaryTimes;Iran refuses to confirm conducting missile test https://t.co/GBZj66xwUg https://t.co/IY5ugUTx9Z
2017-02-01 03:54:01;MilitaryTimes;McCain emerges as Trump's top Republican nemesis in Congress https://t.co/Ji0nfsllLI https://t.co/J3seRusGkH
2017-02-01 03:07:53;MilitaryTimes;"RT @LeoShane: Trump's pick to lead VA isn't a vet. Does that matter? 
https://t.co/C4mK0zsTTm
One of many ?s for Shulkin's confirmation hea…"
2017-02-01 03:06:49;MilitaryTimes;RT @JeffSchogol: Destroying enemy drones a priority for Marines https://t.co/Gu829TGAzf https://t.co/PLur5i2L4v
2017-02-01 03:05:28;MilitaryTimes;RT @LeoShane: .@SenJohnMcCain: The National Security Council needs the Joint Chiefs Chairman on it https://t.co/VcsivqndWs by @reporterjoe
2017-02-01 03:02:09;MilitaryTimes;RT @MichelleTan32: After 43 years, the Army is finally recognizing this paratrooper's PTSD, via @meghannreports https://t.co/CHYwcglbDo
2017-02-01 03:00:24;MilitaryTimes;RT @adegrandpre: Prior to Yemen raid, US commandos had no intel indicating they'd encounter women trained by al Qaida, officials say https:…
2017-02-01 02:53:01;MilitaryTimes;U.S. official says 872 refugees to be allowed in https://t.co/yy9nedoyJ7 https://t.co/tg8SpEI1Fh
2017-02-01 02:17:08;MilitaryTimes;Trump courts Jordan's king amid embassy, refugee concerns https://t.co/z1pbZyoxsh https://t.co/Ovm3GVuX4B
2017-02-01 01:45:56;MilitaryTimes;Retired Air Force sergeant to host Super Bowl radio show https://t.co/vBc5Hq65Zt
2017-02-01 00:50:21;MilitaryTimes;Report: U.S. military did not distort intelligence reports on Islamic State https://t.co/r8kVbvo56f
2017-02-01 00:05:15;MilitaryTimes;Report: U.S. military did not distort intelligence reports on Islamic State https://t.co/C1vvLmIgwG https://t.co/x88FKF9m6M
2017-01-31 23:45:43;MilitaryTimes;VA is studying gut bacteria in PTSD, TBI patients following success in mice https://t.co/vkCdyuOZIb
2017-01-31 22:48:04;MilitaryTimes;U.S. official says 872 refugees to be allowed in https://t.co/fEgXy3jZnl
2017-01-31 22:19:03;MilitaryTimes;Trump's pick to lead VA isn't a veteran. Does that matter? https://t.co/SBWNE8Z3su https://t.co/91ybtm0yrH
2017-01-31 21:46:11;MilitaryTimes;Trump delays signing cybersecurity executive order https://t.co/GoRiiR1zQB
2017-01-31 20:47:19;MilitaryTimes;Iran refuses to confirm conducting missile test https://t.co/BGdO3tsixP
2017-01-31 19:46:23;MilitaryTimes;Trump's pick to lead VA isn't a veteran. Does that matter? https://t.co/r8svkf2zwL
2017-01-31 19:32:27;MilitaryTimes;Today in history: German U-boats and the U.S. entry into World War I -- https://t.co/Lgd01B1DyF https://t.co/Ldtzgs7N6i
2017-01-31 19:29:01;MilitaryTimes;What percentage of federal workers are veterans? https://t.co/w6gNJpkFx2 https://t.co/06CrSTd09g
2017-01-31 18:58:25;MilitaryTimes;RT @DavidLarter: BREAKING: USS Antietam ran aground off the coast of Japan yesterday, dumping 1,100 gallons of oil into the water. https://…
2017-01-31 17:21:33;MilitaryTimes;Officials: Navy cruiser ran aground near Japan -- https://t.co/YiFXmGk6bx https://t.co/xGbEjK1Uuc
2017-01-31 16:46:58;MilitaryTimes;New commissary calculations show shoppers save less money than previously thought https://t.co/2d3Q4VA7DG
2017-01-31 13:00:20;MilitaryTimes;Sponsored by @navyfederal: Paying off debt: A credit card expert’s guide to balance transfers… https://t.co/SxptCawB0D
2017-01-31 10:34:38;MilitaryTimes;U.S. forces killed a number of women who allegedly shot at the Americans during a raid in Yemen.… https://t.co/L5yrCqTy51
2017-01-31 09:46:21;MilitaryTimes;During troubled Yemen raid, U.S. troops fought and killed several women trained by al-Qaida https://t.co/LbgxeT1CAK
2017-01-31 04:30:02;MilitaryTimes;Veterans protest travel ban, saying it hurts interpreters https://t.co/m7Blw3xzUB https://t.co/m6He3tSayI
2017-01-31 03:40:06;MilitaryTimes;Air Force Academy to pay $25,000 to settle suit over records https://t.co/V7modYZ9NC https://t.co/wgb866n1op
2017-01-31 03:08:52;MilitaryTimes;UPDATE: Trump fires Justice Department head over executive order defiance https://t.co/VMWRORik5B https://t.co/luiTrNUzNB
2017-01-31 03:02:02;MilitaryTimes;White House, U.S. diplomats clash over travel order https://t.co/AZrotN9st7 https://t.co/cU2EDuJ0WO
2017-01-31 02:00:50;MilitaryTimes;Justice head tells staff not to defend Trump refugee order https://t.co/mNrZqybj5Z https://t.co/TWw61zOZ2p
2017-01-31 01:59:49;MilitaryTimes;RT @scribe4squids: Pentagon identifies Navy SEAL killed in Yemen raid https://t.co/UbaQ5rgzuE
2017-01-31 01:58:20;MilitaryTimes;RT @adegrandpre: This is Chief Petty Officer William Ryan Owens, the Navy SEAL KIA in Yemen. He earned numerous combat valor awards https:/…
2017-01-31 01:46:38;MilitaryTimes;Veterans protest travel ban, saying it hurts interpreters https://t.co/9DXpZZXorc
2017-01-31 01:34:03;MilitaryTimes;U.S. and Polish troops hold first joint training in Poland https://t.co/9w9nN6j9wI https://t.co/r5rVUhP1oa
2017-01-31 01:05:11;MilitaryTimes;Pentagon identifies Navy SEAL killed in Yemen raid https://t.co/KESRMUyQBz https://t.co/V5EWCvPpPF
2017-01-31 00:50:31;MilitaryTimes;Trump faces blowback from Cabinet, diplomats for refugee ban https://t.co/xtO7FPojHx
2017-01-30 23:00:21;MilitaryTimes;Breaking silence, Obama speaks out on Trump immigrants order https://t.co/hz27LPGaZZ https://t.co/DS9GnfmqPI
2017-01-30 22:49:24;MilitaryTimes;"RT @adegrandpre: Pentagon has identified the service member killed Saturday in Yemen. RIP, Chief Petty Officer William ""Ryan"" Owens. SECDEF…"
2017-01-30 22:45:58;MilitaryTimes;U.S.: Iran has tested a ballistic missile https://t.co/FFmrPKSOSX
