timestamp;sn;text
2017-01-16 15:32:23;MittRomney;"MLK inspired my mom: ""We must forever conduct our struggle on the high plane of dignity and discipline."" https://t.co/HaBg7s7Qco"
2017-01-08 12:03:15;MittRomney;Betsy DeVos is a smart choice for education secretary. My op-ed in today’s @washingtonpost: https://t.co/5LmmbrHSt1
2016-12-25 13:06:45;MittRomney;From our family to yours: Merry Christmas. https://t.co/9n2omOws7M
2016-12-13 02:38:13;MittRomney;It was an honor to have been considered for Secretary of State of our great country. https://t.co/FC9tB7rdoy
2016-12-11 23:09:28;MittRomney;Honored today to help ordain my grandson Wyatt a deacon in my church. https://t.co/NND17FQKpF
2016-12-08 23:47:40;MittRomney;As a boy, John Glenn lifted my eyes to the heavens. Today, they welcome him back.
2016-12-01 20:12:49;MittRomney;Thank you, @NHJennifer for your steady hand guiding the NH GOP. Your leadership will be missed.
2016-11-28 03:43:59;MittRomney;No greater joy than making discoveries together with grandchildren. https://t.co/NxIYsog6lC
2016-11-24 16:44:39;MittRomney;RT @AnnDRomney: Thankful today for a full house and full heart. https://t.co/KGfOO4LWW2
2016-11-15 02:42:38;MittRomney;One of America's finest journalists gone far too soon. We will miss Gwen Ifill's brilliant voice and kind heart.
2016-11-11 19:08:30;MittRomney;Let us today honor the sacrifice and service of our heroic men and women in arms. #VeteransDay
2016-11-09 14:25:32;MittRomney;"Best wishes also for the GOP victors in the House, Senate &amp; statehouses: may you govern with the high seriousness befitting our great nation"
2016-11-09 14:03:42;MittRomney;Best wishes for our duly elected president: May his victory speech be his guide and preserving the Republic his aim.
2016-11-04 21:44:33;MittRomney;Great to spend some time in Arizona in support of my friend @SenJohnMcCain. We need his leadership in the US Senate. https://t.co/BeI0R8sZe9
2016-11-04 18:58:42;MittRomney;RT @thatgirlmarg: Gov. Romney: We need John McCain and the get-it-done-attitude #AZSen https://t.co/t9YWuoM8lP
2016-10-27 17:42:17;MittRomney;RT @LegalReform: WATCH: @MittRomney 's speech at the @LegalReform  #ILRSummit yesterday at the @USChamber: https://t.co/3goeavBi1M https://…
