timestamp;sn;text
2017-02-01 01:11:44;NFIB;.@NFIB encouraged by #SCOTUS nominee Judge Neil Gorsuch’s record of opposing executive overreach… https://t.co/WIyOTeAzd1
2017-01-31 22:10:13;NFIB;Should #smallbiz go cashless? Less robbery, better (and cheaper) tech driving shift to cashless economy, says @WSJ:… https://t.co/iUlip55YLI
2017-01-31 15:25:04;NFIB;Looking for ways to improve your #smallbiz? Consider starting here: https://t.co/wdTQU0ezf7
2017-01-30 18:07:13;NFIB;".@NFIB President &amp; CEO welcomes @POTUS’ latest Executive Order to cut back on burdensome regulations for #smallbiz: https://t.co/rL1L81KM7U"
2017-01-30 18:05:21;NFIB;"“We want to renew optimism in our economy."" Was the SBA Confirmation Hearing for  @Linda_McMahon a Knockout?… https://t.co/b8OVPSCQ0I"
2017-01-30 15:15:28;NFIB;Mesmerizing store displays aren’t just for big brands. Tips to make more engaging displays in your #smallbiz:… https://t.co/2RGGsM6you
2017-01-29 15:25:13;NFIB;Are you a sole proprietor? Take note of these #smallbiz #taxtips: https://t.co/9nec4X6zOG https://t.co/IihtvqChDo
2017-01-28 15:10:21;NFIB;Lonely at the top: How #smallbiz owners can build a solid personal network and invest in self-care… https://t.co/4nqFQPgO05
2017-01-27 22:15:12;NFIB;It looks like @POTUS @realDonaldTrump is about to make good on regulatory campaign promises:… https://t.co/DuLWaY1IrW
2017-01-27 19:16:39;NFIB;RT @nfib_tx: Find out what is going on at the Capitol impacting #TXSmallBiz with the Spilman Report by @SmallbizAnnie https://t.co/Pz4Nvokr…
2017-01-27 19:16:31;NFIB;RT @nfib_pa: Mayor Kenny has signed the bill preventing city #smallbiz employers from asking wage history questions. https://t.co/BF1o50GdxJ
2017-01-27 19:16:22;NFIB;"RT @nfib_oh: IRS &amp; @OhioTaxation renew warning of email scam using corporate officer’s name to request W-2 from payroll &amp; HR https://t.co/8…"
2017-01-27 15:10:33;NFIB;Have a great idea for your own #smallbiz? Try these techniques to test it, create a plan, and get started:… https://t.co/bXXoX6YDDY
2017-01-26 21:05:14;NFIB;Survey shows #smallbiz continues to turn to #digitalmarketing, with 70% planning to spend more this year:… https://t.co/FH5drnF6uq
2017-01-26 15:15:37;NFIB;Time is running out for #openenrollment. The deadline to secure a #healthcare policy is 1/31.  Shop now at… https://t.co/RrJGAO3y7S
2017-01-25 19:35:57;NFIB;"RT @RepKristiNoem: This is why I fight so hard against the #deathtax &gt;&gt;&gt; https://t.co/RXOqMZfp8T"
2017-01-25 19:32:01;NFIB;"Big thanks to @senjohnthune &amp; @RepKristiNoem for fighting with #smallbiz against the Death Tax: https://t.co/Pj6zZyRkk2"
2017-01-25 18:45:06;NFIB;What are your top #smallbiz goals for 2017? https://t.co/PGBiMKpm4T
2017-01-25 15:40:11;NFIB;How to choose #lifeinsurance that's right for you and your #smallbiz needs, both now and in the future:… https://t.co/LtyOvNfJ6L
2017-01-25 15:07:40;NFIB;RT @nfib_tx: NFIB/Texas appreciates @DrSchwertner and authors for filing SB 575 further exempting #TXSmallBiz from franchise tax. https://t…
2017-01-25 15:07:25;NFIB;RT @nfib_ca: NFIB Reax to @JerryBrownGov #SOTS: State of the State Left Much to be Desired for Small Business https://t.co/7AH55MjK1c @NFIB…
